Node,Betweenness,BridgingCoefficient,BridgingCentrality
1153933,0,2,0
1129572,0,0.0774194,0
632935,0,1,0
40583,0,0.181818,0
1136110,0,0,0
286562,0,1,0
1152904,0,0.190476,0
1152162,0,0.190476,0
1135746,0,0.181818,0
1129608,0,0.5,0
1122574,0,0,0
1112426,0,0.5,0
1125402,0,2,0
1128542,0,0,0
1153897,0,0.148148,0
1106671,0,1,0
217852,0,0.4,0
1105433,0,0.266667,0
1112911,0,0.15,0
1135345,0,2,0
1116044,0,2.5,0
1121459,0,0.625,0
595193,0,0.333333,0
1128369,0,0.333333,0
1138091,0,1,0
1116397,0,0.210526,0
686061,0,0.208333,0
1153879,0,1,0
1153736,0,0,0
18833,0,1,0
20920,0,0,0
1112686,0,0,0
35854,0,0.5,0
1116530,0,0,0
245955,0,0,0
1107136,0,0,0
1129570,0,0.277778,0
1126012,0,0,0
1152991,0,0.5,0
646195,0,1.5,0
1131236,0,0.0697674,0
1120019,0,0,0
1125944,0,2,0
1129683,0,0.184615,0
1131167,0,0.375,0
1123689,0,0.25,0
1120049,0,0.1875,0
1131266,0,0,0
1107418,0,0.190476,0
1152308,0,0.25,0
1105932,0,0.109091,0
1103969,0,0.375,0
1103031,0,0.428571,0
1103016,0,0.5,0
1110494,0,0,0
1152272,0,0.190476,0
987188,0,0.25,0
411005,0,0.130435,0
214472,0,0,0
63832,0,0.102564,0
1071981,0,4,0
189577,0,1,0
1152490,0,0.148148,0
1132285,0,3,0
1106112,0,0,0
1106854,0,0,0
1153861,0,0.148148,0
309476,0,0.9375,0
1119471,0,0.25,0
1127657,0,0,0
1129835,0,0.136364,0
248119,0,1,0
1102873,0,1,0
686532,0,0.0615385,0
1107567,0,0.0774194,0
1112099,0,0.230769,0
1131634,0,0.166667,0
1154068,0,0.222222,0
593210,0,0.0888889,0
46536,0,3,0
1153280,0,0.1875,0
711598,0,3,0
1153003,0,0.1,0
1152676,0,2.5,0
1126503,0,1,0
1107808,0,0,0
1125092,0,1.25,0
1118209,0,0.4,0
650834,0,0.181818,0
785678,0,1,0
1102751,0,0.157895,0
1132809,0,0,0
167205,0,1,0
1120650,0,0.133333,0
1120059,0,0.222222,0
1111788,0,0.333333,0
1152917,0,0.5,0
1108728,0,0.166667,0
105057,0,0.107143,0
120013,0,0.5,0
1121603,0,0.266667,0
1114125,0,2,0
763181,0,0.5,0
1135082,0,1,0
1120880,0,0,0
1115670,0,0.5,0
1114526,0,0.196078,0
1155073,0,0.181818,0
1153811,0,0.0986842,0
1105011,0,2,0
1131184,0,0.5,0
1117219,0,0.714286,0
22876,0,0.136364,0
1114664,0,0,0
300071,0,0.24,0
1117348,0,1,0
1154103,0,0.147059,0
211875,0,0.375,0
1153024,0,1,0
1111240,0,0.0923077,0
1131611,0,0.25,0
348437,0,1.66667,0
892139,0,0.3,0
682666,0,0.137931,0
28473,0,1.5,0
1112075,0,0,0
1106103,0,1,0
1102364,0,1,0
1153703,0,0.266667,0
1112574,0,0.210526,0
1127530,0,2,0
1132083,0,0.47619,0
1120866,0,0,0
1152975,0,0.266667,0
1152448,0,0.266667,0
1121057,0,0,0
1108656,0,0,0
1102794,0,0,0
1132706,0,0.5,0
235776,0,0.3,0
1130356,0,0,0
1104787,0,0.5,0
1152740,0,0.307692,0
101145,0,0.210526,0
628668,0,0.1875,0
1129243,0,0.4,0
1122425,0,0.272727,0
1117760,0,0.384615,0
1128977,0,1,0
608292,0,0.277778,0
1131752,0,0.375,0
1111230,0,0.857143,0
1105764,0,0.141176,0
1128198,0,2,0
95579,0,0.5,0
181782,0,0.25,0
1153922,0,0.375,0
1108329,0,0.109091,0
1107355,0,0.223881,0
1126050,0,0,0
1106547,0,0.384615,0
1107572,0,0.277778,0
