Node,Hub,Authority
35,0.0128294188,0.9733959166
1033,0.0775693124,0.0000060849
103482,0.0737409529,0.0058187770
103515,0.0746829032,0.0306609413
1050679,0.0767984275,0.0000000000
1103960,0.0805133226,0.0000000000
1103985,0.0785544836,0.0000000000
1109199,0.0748967063,0.0000000000
1112911,0.0778402874,0.0000000000
1113438,0.0775079738,0.0000000000
1113831,0.0746253818,0.0000000000
1114331,0.0816167691,0.0000000000
1117476,0.0790852171,0.0000000000
1119505,0.0741665972,0.0000000000
1119708,0.0876358649,0.0000000000
1120431,0.0755483297,0.0000000000
1123756,0.0791935363,0.0000000000
1125386,0.0767231514,0.0000000000
1127430,0.0797697803,0.0000000000
1127913,0.0844860542,0.0000000000
1128204,0.0750992493,0.0000000000
1128227,0.0750327992,0.0000000000
1128314,0.0765027665,0.0000000000
1128453,0.0782469692,0.0000000000
1128945,0.0737409529,0.0000000000
1128959,0.0742070122,0.0000000000
1128985,0.0787986130,0.0000000000
1129018,0.0742248331,0.0000000000
1129027,0.0797697803,0.0000000000
1129573,0.0783121589,0.0000000000
1129683,0.0830837781,0.0000000000
1129778,0.0778893932,0.0000000000
1130847,0.0787224904,0.0000000000
1130856,0.0782706998,0.0000000000
1131116,0.0755144967,0.0000000000
1131360,0.0794894738,0.0000000000
1131557,0.0741690684,0.0000000000
1131752,0.0741665972,0.0000000000
1133196,0.0742304408,0.0000000000
1133338,0.0785544836,0.0000000000
1136814,0.0804461638,0.0000000000
1137466,0.0737409529,0.0000000000
1152421,0.0912583148,0.0000000000
1152508,0.0737409529,0.0000000000
1153065,0.0785544836,0.0000000000
1153280,0.0912583148,0.0000000000
1153577,0.0792873340,0.0000000000
1153853,0.0770357511,0.0000000000
1153943,0.0896940935,0.0000000000
1154176,0.0760165177,0.0000000000
1154459,0.0912583148,0.0000000000
116552,0.0741724808,0.0002266756
12576,0.0783143759,0.0338432613
128540,0.0774265844,0.0058655579
132806,0.0745527911,0.0173165854
135130,0.0783121589,0.0006427452
141342,0.0737409529,0.0251257069
141347,0.0773403521,0.0066389758
148170,0.0737409529,0.0057502095
15670,0.0737409529,0.0000000000
1688,0.0750992493,0.0635396059
175291,0.0755583571,0.0000368822
178727,0.0737409529,0.0000690074
18582,0.0760818058,0.0000000000
190697,0.0793264644,0.0000000000
190706,0.0775693124,0.0005079783
1956,0.0755334596,0.0000423776
197054,0.0784377522,0.0000773315
198443,0.0759855809,0.0060094857
198653,0.0772030448,0.0061795896
206371,0.0750353740,0.0057178107
210871,0.0780750408,0.0457003329
229635,0.0772959446,0.0000000000
231249,0.0737409529,0.0070384034
248425,0.0742103471,0.0060212965
249421,0.0746048801,0.0000671833
254923,0.0747358508,0.0001671998
259701,0.0737409529,0.0061829909
259702,0.0821012699,0.0119036957
263279,0.0777828483,0.0001420556
263498,0.0756869147,0.0004501769
265203,0.0759375286,0.0056512125
273152,0.0865703717,0.0059146824
27510,0.0741817624,0.0002055555
28290,0.0763047960,0.0017639514
286500,0.0751248717,0.0000000000
287787,0.0742449700,0.0597936002
28851,0.0737409529,0.0062364028
289779,0.0759651787,0.0119228419
289780,0.0782337983,0.0120966998
289781,0.0759651787,0.0180234091
307015,0.0816300883,0.0060935990
335733,0.0742025820,0.0000351732
33904,0.0773462755,0.0061684061
33907,0.0793536849,0.0249705722
35061,0.0761423872,0.0256871000
38205,0.0793996204,0.0012793882
387795,0.0774265844,0.0058655579
415693,0.0801246712,0.0056617175
41714,0.0760086337,0.0369618413
427606,0.0737409529,0.0059228472
44368,0.0821538828,0.0056842132
45599,0.0750527948,0.0000000000
46079,0.0737409529,0.0062780330
46431,0.0763734492,0.0000000000
486840,0.0746301862,0.0000736132
48766,0.0769987566,0.0004013679
503883,0.0782706998,0.0193157350
503893,0.0742436248,0.0175530804
513189,0.0826298727,0.0126693897
54129,0.0737409529,0.0128820398
54131,0.0779148310,0.0136712859
56119,0.0798903668,0.0014306500
561238,0.0797697803,0.0000000000
568857,0.0832050568,0.0004171355
573964,0.0747007401,0.0131973620
573978,0.0821012699,0.0000000000
574009,0.0737409529,0.0056185929
574264,0.0737409529,0.0056842672
574462,0.0797697803,0.0000000000
575077,0.0772030448,0.0185466778
575292,0.0761141170,0.0000348498
575331,0.0742449700,0.0000000000
576725,0.0785544836,0.0056514033
576795,0.0745997023,0.0000000000
577227,0.0737409529,0.0056185929
578780,0.0776347091,0.0000000000
579008,0.0770281544,0.0061961002
592973,0.0737409529,0.0001295005
593091,0.0830732562,0.0000000000
593105,0.0765899641,0.0000000000
593240,0.0755326299,0.0000816434
593260,0.0765309864,0.0000000000
593813,0.0788787948,0.0000000000
594047,0.0765410483,0.0003766999
594543,0.0747168497,0.0000000000
594649,0.0765392613,0.0000000000
594900,0.0741665972,0.0000000000
608326,0.0816300883,0.0063317618
634902,0.0782706998,0.0059983543
634904,0.0782706998,0.0059983543
634938,0.0782706998,0.0059637308
634975,0.0791795270,0.0000000000
640617,0.0797697803,0.0062196949
646809,0.0761845191,0.0004496261
646837,0.0750707108,0.0000000000
647408,0.0751979045,0.0000000000
647447,0.0807142659,0.0001114934
66556,0.0811748095,0.0181987148
66563,0.0766544390,0.0000000497
66805,0.0742219451,0.0000000000
69284,0.0823957439,0.0114022189
69296,0.0754762928,0.0056844082
694759,0.0785544836,0.0000000000
735303,0.0741904674,0.0000000000
78511,0.0765579905,0.0059336838
787016,0.0757005245,0.0062196949
801170,0.0791502006,0.0000000000
81722,0.0741665972,0.0000000000
