Node_ID	Betweenness_Centrality
62	11380779.000000
203	8858685.000000
1477	7012697.000000
10700	5830969.500000
439	5528497.500000
433	3101149.750000
700	2391037.500000
107	2193921.000000
58	2188357.250000
61	2097297.750000
630	1903865.250000
261	1868338.000000
2190	1581173.250000
138	1558271.000000
964	1458591.500000
119	1386316.375000
484	1300932.375000
839	1176337.375000
10786	1148880.875000
37	1142518.250000
397	1130882.000000
4380	1114045.000000
1265	1063364.875000
441	1041493.437500
249	1034272.500000
703	1032218.125000
8685	1030101.187500
4730	912403.312500
395	876112.000000
146	870729.500000
144	852332.375000
8304	809362.562500
125	793705.625000
2815	782783.375000
132	764065.312500
2358	720201.500000
95	711929.375000
7320	711394.937500
2925	700147.687500
87	670960.750000
2700	654735.687500
262	624653.625000
8462	617340.250000
8707	578968.562500
11974	563659.562500
442	553129.625000
10581	551566.000000
745	538284.250000
1066	524865.562500
793	518648.437500
551	511541.281250
4848	509015.375000
576	507564.781250
2451	498802.875000
145	491250.343750
9785	480002.625000
10070	472830.531250
881	464197.062500
376	459483.718750
1312	454532.656250
336	449642.250000
12267	447044.812500
6228	442962.343750
143	437722.187500
930	429373.562500
287	424159.687500
1889	417584.875000
141	415019.687500
320	413475.406250
740	405980.937500
1385	398360.062500
3952	394620.875000
6328	390311.843750
480	388957.312500
2236	386499.750000
515	383607.562500
595	378532.312500
9201	377924.687500
6969	376626.093750
724	376579.781250
8876	376282.062500
11846	371004.343750
294	369543.843750
702	365114.656250
375	351334.406250
10940	345124.687500
170	340289.531250
7965	326887.843750
732	324310.406250
608	322736.625000
3338	310336.781250
1735	302909.375000
240	300322.562500
828	298778.187500
2460	290948.406250
625	287573.343750
4498	282013.062500
5104	280687.906250
10088	280352.531250
6720	278313.875000
820	274791.562500
3993	274218.312500
4879	273110.250000
2349	271152.468750
4725	270553.531250
1317	268258.343750
1280	265233.000000
1849	263142.187500
726	260520.921875
4939	258864.140625
1604	256946.046875
413	255475.171875
11112	250309.296875
11915	248183.062500
11651	247135.921875
6034	246013.375000
1690	244214.171875
169	244085.937500
8679	243755.890625
36	242178.140625
8076	242136.859375
10958	242063.312500
7087	241562.500000
7019	240902.656250
3252	239140.203125
10682	239005.593750
573	237753.453125
8189	235129.078125
896	233521.156250
795	233468.656250
11505	231478.343750
11636	231240.703125
11581	230993.796875
683	230392.687500
3073	225846.078125
7697	224813.671875
208	224733.484375
4502	223320.875000
9662	220364.453125
756	220187.656250
6295	219841.609375
414	219200.968750
200	218737.250000
11309	217615.515625
1626	216870.562500
124	216397.453125
1158	215160.921875
968	212825.281250
1953	212572.359375
6504	211671.515625
192	210513.687500
8232	208141.562500
11174	205594.609375
578	204144.609375
3056	203387.218750
4325	203034.062500
3082	201603.046875
14	201323.312500
15	201258.718750
205	200869.421875
3885	199771.343750
7877	197495.078125
9326	197457.562500
11336	197079.875000
552	197078.750000
264	194840.593750
1320	194429.109375
3835	194155.593750
398	194038.203125
88	193679.625000
3177	193244.328125
2275	191751.781250
11093	189216.375000
11835	189093.515625
486	188849.500000
12303	186788.171875
9978	186348.890625
3673	185991.703125
457	185208.203125
373	184026.578125
11450	182294.640625
7620	182103.078125
361	178538.937500
69	175692.687500
8942	175230.906250
7715	174195.593750
10995	173941.343750
11592	173921.046875
11817	173466.453125
1662	173340.468750
12070	172324.125000
11682	172290.875000
3438	172055.218750
57	171635.437500
2628	171235.734375
1500	170865.015625
4253	169404.390625
11609	168764.984375
1790	168736.109375
3644	167446.843750
937	167418.609375
197	167249.109375
517	167163.015625
8049	167080.078125
6562	166135.218750
265	166060.031250
6476	166008.421875
790	164403.218750
2602	164224.796875
3699	163664.671875
1702	163225.390625
511	161797.531250
494	161784.453125
1277	161682.828125
430	161233.625000
9746	161155.125000
266	161090.984375
636	160585.531250
11825	159418.531250
11781	158382.062500
29	158261.937500
5823	158168.968750
3298	158111.718750
612	157783.125000
1284	157239.968750
2548	156975.437500
465	156911.953125
210	156875.187500
11753	156755.250000
1575	156501.609375
2072	155502.968750
830	154716.531250
780	154295.250000
8699	153205.218750
1383	153057.171875
345	152590.265625
9199	152484.765625
2653	152298.312500
3557	151966.281250
1133	151880.812500
10187	151753.796875
10457	151498.312500
374	151394.937500
4051	151370.234375
6909	150891.687500
1571	150887.796875
11873	149702.343750
1390	149039.906250
11072	148680.031250
712	148672.484375
216	147390.906250
5109	146291.546875
7825	145946.875000
11177	145384.687500
4995	144920.890625
8280	144912.328125
940	144626.640625
9980	144586.421875
11118	144181.390625
10102	143604.234375
8541	143489.156250
346	142891.468750
796	142480.875000
3380	142442.312500
3343	142440.078125
2699	142225.562500
1920	141912.437500
350	141896.796875
12107	141546.312500
11664	141453.078125
11647	140859.265625
2625	140771.125000
329	140591.562500
2160	140492.390625
1919	140257.687500
2899	140057.078125
974	139985.031250
9345	139626.484375
1648	139514.296875
2029	138728.562500
2845	138457.406250
10949	138414.625000
10231	138072.359375
2030	137395.437500
4176	136883.656250
1528	135727.140625
9083	135692.375000
70	135692.062500
409	135479.812500
8523	135231.031250
2472	135228.281250
1062	134666.234375
2736	134507.250000
1594	134360.109375
10014	133768.343750
4965	133505.296875
1558	133261.468750
7643	132812.468750
1855	132698.343750
3715	132586.140625
2943	132461.390625
8750	132204.312500
7688	131505.234375
2994	131146.703125
2476	130750.484375
5150	130567.578125
6267	130201.929688
357	130185.023438
74	130030.320312
6993	129833.531250
4524	129705.164062
11233	128496.382812
6421	128334.773438
12089	127995.234375
11540	127956.328125
4714	127912.109375
75	127825.617188
7135	127722.000000
5463	127707.984375
6521	127582.812500
3761	127402.257812
9371	126794.890625
11146	126394.039062
2013	126200.250000
393	126111.710938
753	126066.281250
4556	126021.929688
1857	125563.734375
1906	125531.648438
2577	125406.445312
1719	124796.265625
404	124345.609375
884	124296.976562
938	124200.164062
543	123854.226562
2887	123251.453125
11801	123106.132812
6374	123082.531250
6611	122671.250000
