Node_ID	Betweenness_Centrality	Rank
62	12258616.000000	1
203	9269793.000000	2
1477	7145733.500000	3
439	7072062.000000	4
10700	5247534.500000	5
433	2994358.250000	6
700	2308162.500000	7
61	2165300.250000	8
630	2143747.750000	9
107	2048744.250000	10
58	1809955.375000	11
261	1784246.250000	12
2190	1640142.250000	13
964	1543819.375000	14
484	1477179.125000	15
119	1452150.125000	16
4730	1332754.500000	17
249	1314317.750000	18
10786	1309054.125000	19
37	1303415.375000	20
138	1288217.625000	21
4380	1240360.125000	22
441	1176866.625000	23
395	1165207.250000	24
839	1064982.875000	25
1265	1002069.062500	26
2925	951211.875000	27
703	931265.437500	28
8707	905036.000000	29
132	888973.812500	30
397	881202.437500	31
8685	877495.250000	32
146	756180.062500	33
2815	731095.875000	34
144	729016.125000	35
95	711195.312500	36
7965	685275.312500	37
793	679288.875000	38
2358	676159.687500	39
87	666759.062500	40
1889	644101.812500	41
336	636644.937500	42
262	629986.937500	43
2700	616444.937500	44
125	612845.250000	45
10070	603235.937500	46
8462	549489.187500	47
3252	542719.062500	48
2451	541771.875000	49
8304	535754.000000	50
442	520840.312500	51
7320	508644.625000	52
145	505238.906250	53
881	496422.468750	54
2943	481459.437500	55
828	467596.000000	56
576	465064.375000	57
8076	462037.062500	58
2236	459167.968750	59
11835	442326.500000	60
11974	438708.281250	61
6720	428968.093750	62
12267	426234.593750	63
3952	416893.406250	64
930	412110.687500	65
724	409383.812500	66
1066	409367.437500	67
11817	408416.093750	68
2548	394559.812500	69
10102	393036.750000	70
740	392095.843750	71
4524	388588.093750	72
4848	386704.343750	73
294	383141.593750	74
8876	378406.187500	75
11540	377955.812500	76
1849	377224.000000	77
11675	375472.812500	78
10581	369460.312500	79
320	366076.937500	80
2460	365678.781250	81
170	358291.718750	82
5009	357980.000000	83
6228	357264.375000	84
1312	357114.281250	85
7142	353041.000000	86
11336	352982.843750	87
143	352717.843750	88
6969	352029.218750	89
287	350767.093750	90
11295	350082.250000	91
9886	349708.156250	92
702	349138.250000	93
573	348377.656250	94
4187	346889.812500	95
3338	346865.750000	96
4699	339521.625000	97
