node_id,eigen_centrality,katz_centrality,in_degree,out_degree,foundational,frontier,rank_indeg,rank_eig,rank_katz
35,0.0,1.0,166,3,True,False,1,9,1
6213,0.0,0.289823,76,3,True,False,2,270,6
1365,0.0,0.147144,74,0,True,False,3,386,17
3229,0.0,0.114213,61,4,True,False,4,723,22
114,0.0,0.088557,42,0,True,False,5,179,30
910,0.0,0.080783,41,5,True,False,6,281,33
4330,0.0,0.061694,38,2,True,False,7,827,47
1272,0.0,0.079323,32,2,True,False,8,355,35
3231,0.0,0.054558,32,5,True,False,9,769,59
4584,0.0,0.311404,32,0,True,False,10,863,5
19621,0.0,0.096041,31,3,True,False,11,1500,27
2440,0.0,0.053876,30,1,True,False,12,537,60
24966,0.0,0.076979,29,0,True,False,13,1606,37
2665,0.0,0.074013,28,3,True,False,15,608,40
6214,0.0,0.081283,28,4,True,False,14,232,32
887,0.0,0.258813,27,3,True,False,16,173,8
8224,0.0,0.124727,25,1,True,False,17,1129,19
82920,0.0,0.511769,23,0,True,False,18,2108,4
20193,0.0,0.051104,22,1,True,False,19,1249,64
12182,0.0,0.03272,20,3,True,False,20,889,95
22563,0.0,0.108581,19,3,True,False,22,1139,24
12350,0.0,0.163441,19,2,True,False,26,1311,14
31353,0.0,0.041326,19,1,True,False,25,1239,76
10169,0.0,0.101932,19,3,True,False,23,1203,26
15429,0.0,0.240292,19,1,True,False,24,1215,12
12576,0.0,0.074386,19,4,True,False,21,61,39
2653,0.0,0.02874,18,0,True,False,27,560,112
39890,0.0,0.0613,18,1,True,False,28,1842,48
230879,0.0,0.049675,18,0,True,False,29,2400,65
3220,0.0,0.023607,17,1,True,False,33,699,134
117,0.0,0.059092,17,0,True,False,30,222,51
2658,0.0,0.029749,17,3,True,False,31,588,109
2696,0.0,0.057589,17,1,True,False,32,628,54
85352,0.0,0.025251,16,1,True,False,34,170,127
4335,0.0,0.036168,16,0,True,False,36,849,85
1481,0.0,0.019461,16,0,True,False,35,455,174
39127,0.0,0.044714,16,0,True,False,38,1831,71
643221,1.0,0.238539,16,3,True,False,37,1,13
10177,0.0,0.249932,15,1,True,False,45,1211,9
23738,0.0,0.075967,15,2,True,False,44,1140,38
1688,0.0,0.025425,15,2,True,False,39,69,122
8703,0.0,0.031326,15,4,True,False,43,881,101
3218,0.0,0.033036,15,0,True,False,42,685,94
3191,0.0,0.062397,15,4,True,False,41,668,46
5348,0.0,0.04554,15,1,True,False,40,635,70
54129,0.0,0.029548,14,1,True,False,46,119,110
4804,0.0,0.065832,14,4,True,False,48,884,45
10796,0.0,0.019703,14,3,True,False,47,253,172
2654,0.0,0.015644,13,0,True,False,50,577,221
642894,0.490421,0.117202,13,1,True,False,55,3,21
210871,0.0,0.642228,13,5,True,False,49,80,3
18777,0.0,0.028044,13,0,True,False,53,1474,115
6334,0.0,0.035054,13,4,True,False,52,785,89
35922,0.0,0.025354,13,4,True,False,51,754,124
34257,0.0,0.024142,13,1,True,False,54,1763,132
16819,0.447623,0.1119,12,3,True,False,60,4,23
89547,0.0,0.02526,12,1,True,False,59,1398,126
35061,0.0,0.281265,12,3,True,False,56,104,7
28350,0.0,0.025389,12,2,True,False,57,202,123
46491,0.0,0.0226,12,0,True,False,62,1898,143
36140,0.0,0.070713,12,1,True,False,61,1570,43
3243,0.0,0.018651,12,0,True,False,58,806,182
6209,0.0,0.018571,11,0,True,False,67,959,183
14062,0.0,0.019992,11,0,True,False,71,1360,166
10798,0.0,0.059488,11,0,True,False,69,1246,50
10531,0.0,0.034628,11,1,True,False,68,1232,91
20601,0.0,0.029761,11,2,True,False,70,1314,108
22229,0.0,0.020955,11,2,True,False,73,1554,154
16008,0.0,0.058743,11,0,True,False,72,1412,52
5086,0.0,0.056803,11,3,True,False,66,667,56
38205,0.0,0.02324,11,3,True,False,63,105,137
31489,0.0,0.019201,11,1,True,False,74,1726,177
54131,0.0,0.017602,11,4,True,False,65,120,188
57119,0.0,0.01489,11,0,True,False,75,1970,237
