node_id,eigen_centrality,in_degree,out_degree
35,0.000000,166,3
1033,0.000000,2,3
103482,0.000000,5,1
103515,0.000000,9,2
1050679,0.000000,0,4
1103960,0.000000,0,5
1103985,0.000000,0,2
1109199,0.000000,0,3
1112911,0.000000,0,4
1113438,0.000000,0,5
1113831,0.000000,0,3
1114331,0.000000,0,5
1117476,0.000000,0,3
1119505,0.000000,0,2
1119708,0.000000,0,5
1120431,0.000000,0,4
1123756,0.000000,0,4
1125386,0.000000,0,4
1127430,0.000000,0,2
1127913,0.000000,0,4
1128204,0.000000,0,2
1128227,0.000000,0,4
1128314,0.000000,0,3
1128453,0.000000,0,4
1128945,0.000000,0,1
1128959,0.000000,0,2
1128985,0.000000,0,4
1129018,0.000000,0,2
1129027,0.000000,0,2
1129573,0.000000,0,3
1129683,0.000000,0,5
1129778,0.000000,0,4
1130847,0.000000,0,3
1130856,0.000000,0,2
1131116,0.000000,0,4
1131360,0.000000,0,4
1131557,0.000000,0,2
1131752,0.000000,0,2
1133196,0.000000,0,2
1133338,0.000000,0,2
1136814,0.000000,0,3
1137466,0.000000,0,1
1152421,0.000000,0,4
1152508,0.000000,0,1
1153065,0.000000,0,2
1153280,0.000000,0,4
1153577,0.000000,0,5
1153853,0.000000,0,4
1153943,0.000000,0,5
1154176,0.000000,0,2
1154459,0.000000,0,4
116552,0.000000,2,2
12576,0.000000,19,4
128540,0.000000,1,4
132806,0.000000,3,2
135130,0.000000,3,3
141342,0.000000,7,1
141347,0.000000,1,2
148170,0.000000,2,1
15670,0.000000,1,1
1688,0.000000,15,2
175291,0.000000,1,5
178727,0.000000,1,1
18582,0.000000,0,3
190697,0.000000,0,5
190706,0.000000,2,3
1956,0.000000,8,4
197054,0.000000,1,5
198443,0.000000,1,4
198653,0.000000,5,2
206371,0.000000,1,3
210871,0.000000,13,5
229635,0.000000,0,3
231249,0.000000,2,1
248425,0.000000,4,2
249421,0.000000,2,3
254923,0.000000,2,3
259701,0.000000,1,1
259702,0.000000,2,3
263279,0.000000,1,4
263498,0.000000,2,2
265203,0.000000,1,2
273152,0.000000,1,4
27510,0.000000,4,2
28290,0.000000,6,2
286500,0.000000,0,3
287787,0.000000,10,2
28851,0.000000,3,1
289779,0.000000,2,2
289780,0.000000,3,4
