node_id,katz_centrality,in_degree,out_degree
35,1.000000,166,3
1033,0.004895,2,3
103482,0.009455,5,1
103515,0.018862,9,2
1050679,0.002568,0,4
1103960,0.002568,0,5
1103985,0.002568,0,2
1109199,0.002568,0,3
1112911,0.002568,0,4
1113438,0.002568,0,5
1113831,0.002568,0,3
1114331,0.002568,0,5
1117476,0.002568,0,3
1119505,0.002568,0,2
1119708,0.002568,0,5
1120431,0.002568,0,4
1123756,0.002568,0,4
1125386,0.002568,0,4
1127430,0.002568,0,2
1127913,0.002568,0,4
1128204,0.002568,0,2
1128227,0.002568,0,4
1128314,0.002568,0,3
1128453,0.002568,0,4
1128945,0.002568,0,1
1128959,0.002568,0,2
1128985,0.002568,0,4
1129018,0.002568,0,2
1129027,0.002568,0,2
1129573,0.002568,0,3
1129683,0.002568,0,5
1129778,0.002568,0,4
1130847,0.002568,0,3
1130856,0.002568,0,2
1131116,0.002568,0,4
1131360,0.002568,0,4
1131557,0.002568,0,2
1131752,0.002568,0,2
1133196,0.002568,0,2
1133338,0.002568,0,2
1136814,0.002568,0,3
1137466,0.002568,0,1
1152421,0.002568,0,4
1152508,0.002568,0,1
1153065,0.002568,0,2
1153280,0.002568,0,4
1153577,0.002568,0,5
1153853,0.002568,0,4
1153943,0.002568,0,5
1154176,0.002568,0,2
1154459,0.002568,0,4
116552,0.006323,2,2
12576,0.074386,19,4
128540,0.004146,1,4
132806,0.006244,3,2
135130,0.005500,3,3
141342,0.123052,7,1
141347,0.003546,1,2
148170,0.004523,2,1
15670,0.003546,1,1
1688,0.025425,15,2
175291,0.003918,1,5
178727,0.003546,1,1
18582,0.002568,0,3
190697,0.002568,0,5
190706,0.006293,2,3
1956,0.013467,8,4
197054,0.003546,1,5
198443,0.003546,1,4
198653,0.106208,5,2
206371,0.004146,1,3
210871,0.642228,13,5
229635,0.002568,0,3
231249,0.004523,2,1
248425,0.007078,4,2
249421,0.004895,2,3
254923,0.010137,2,3
259701,0.003546,1,1
259702,0.004523,2,3
263279,0.003546,1,4
263498,0.004523,2,2
265203,0.005457,1,2
273152,0.246923,1,4
27510,0.006849,4,2
28290,0.017885,6,2
286500,0.002568,0,3
287787,0.019935,10,2
28851,0.011964,3,1
289779,0.005638,2,2
289780,0.005500,3,4
289781,0.007593,4,2
307015,0.007963,4,2
335733,0.003918,1,2
33904,0.004523,2,3
33907,0.007827,5,4
35061,0.281265,12,3
38205,0.023240,11,3
387795,0.004146,1,4
415693,0.006425,1,3
41714,0.028737,11,2
427606,0.010354,4,1
44368,0.003546,1,3
45599,0.002568,0,2
46079,0.005723,2,1
46431,0.002568,0,4
486840,0.004523,2,2
48766,0.004523,2,3
503883,0.014391,9,2
503893,0.006244,3,2
513189,0.009644,4,3
54129,0.029548,14,1
54131,0.017602,11,4
56119,0.007593,4,5
561238,0.002568,0,2
568857,0.004523,2,5
573964,0.008936,3,2
573978,0.002568,0,3
574009,0.003546,1,1
574264,0.006779,2,1
574462,0.002568,0,2
575077,0.024121,8,2
575292,0.004523,2,3
575331,0.002568,0,2
576725,0.003918,1,2
576795,0.003546,1,3
577227,0.003546,1,1
578780,0.002568,0,4
579008,0.009170,5,3
592973,0.005723,2,1
593091,0.003546,1,5
593105,0.002568,0,4
593240,0.004523,2,4
593260,0.002568,0,3
593813,0.002568,0,4
594047,0.004523,2,2
594543,0.002568,0,2
594649,0.002568,0,4
594900,0.002568,0,2
608326,0.004523,2,2
634902,0.003546,1,2
634904,0.003546,1,2
634938,0.003546,1,2
634975,0.002568,0,4
640617,0.004289,1,2
646809,0.006244,3,3
646837,0.002568,0,2
647408,0.002568,0,3
647447,0.003918,1,4
66556,0.015086,5,3
66563,0.004523,2,4
66805,0.004895,2,2
69284,0.005723,2,5
69296,0.004146,1,4
694759,0.002568,0,2
735303,0.003546,1,2
78511,0.010386,3,4
787016,0.003546,1,3
801170,0.002568,0,5
81722,0.002568,0,2
82098,0.003546,1,2
84021,0.013152,7,5
85352,0.025251,16,1
86359,0.007593,4,3
8865,0.017468,7,1
887,0.258813,27,3
97645,0.006895,2,1
98698,0.007573,1,3
40,0.006929,3,1
1109017,0.002568,0,1
1114442,0.002568,0,5
114,0.088557,42,0
1103315,0.002568,0,5
1105394,0.002568,0,2
1106112,0.002568,0,3
1106172,0.002568,0,4
1106406,0.002568,0,4
1107455,0.002568,0,4
1111052,0.002568,0,4
1114125,0.002568,0,2
1117942,0.002568,0,3
1118245,0.002568,0,4
1118332,0.002568,0,2
1120170,0.002568,0,2
1126029,0.002568,0,4
124064,0.020593,3,5
128,0.008524,4,4
130,0.006431,3,4
136665,0.004803,1,1
191404,0.002568,0,1
193742,0.004895,2,4
23258,0.005872,3,5
28227,0.008878,2,3
28287,0.016218,8,5
28350,0.025389,12,2
28387,0.003546,1,4
28471,0.003918,1,4
28485,0.005780,2,3
341188,0.004523,2,5
38480,0.003546,1,5
39403,0.005015,1,4
434,0.005189,1,5
55968,0.003546,1,4
58540,0.003546,1,3
6155,0.003546,1,5
6170,0.002568,0,2
6196,0.009919,6,3
6220,0.016433,3,5
64484,0.003546,1,1
7432,0.002568,0,2
755217,0.002568,0,5
8213,0.002568,0,3
91975,0.003546,1,5
976334,0.002568,0,5
117,0.059092,17,0
1109581,0.002568,0,5
149669,0.003918,1,4
17476,0.011364,9,4
189708,0.004059,1,1
206259,0.002568,0,3
28202,0.005500,3,4
28278,0.003546,1,5
32872,0.003546,1,3
33013,0.002568,0,3
6214,0.081283,28,4
75674,0.004523,2,2
20526,0.004523,2,4
13960,0.002568,0,5
345340,0.002568,0,5
288,0.005319,2,1
1118092,0.002568,0,3
36167,0.004661,1,3
424,0.005500,3,2
1135125,0.002568,0,3
218666,0.002568,0,1
47684,0.002568,0,3
267003,0.006887,1,1
463,0.005745,1,0
58454,0.008350,2,1
504,0.022637,4,0
1102364,0.002568,0,2
1112650,0.002568,0,1
506,0.016398,3,2
89416,0.031211,5,2
1106546,0.002568,0,3
10796,0.019703,14,3
1105033,0.002568,0,2
1111304,0.002568,0,5
1113614,0.002568,0,3
114308,0.004431,1,1
134128,0.005500,3,5
161221,0.003546,1,3
170798,0.004254,1,2
19045,0.008278,4,2
20972,0.003546,1,2
28456,0.002568,0,5
299195,0.002568,0,3
299197,0.002568,0,5
334153,0.003546,1,3
35490,0.011252,4,1
595056,0.002568,0,5
6151,0.152236,9,3
6213,0.289823,76,3
6215,0.008139,2,3
64519,0.017516,3,1
87363,0.004146,1,4
906,0.039540,7,0
1103979,0.002568,0,3
1105344,0.002568,0,4
1114352,0.002568,0,4
1136397,0.002568,0,5
1140040,0.002568,0,3
34355,0.003546,1,2
910,0.080783,41,5
1104379,0.002568,0,4
1105530,0.002568,0,2
1108834,0.002568,0,5
1110520,0.002568,0,2
1114118,0.002568,0,2
1116569,0.002568,0,2
1118848,0.002568,0,2
1120858,0.002568,0,3
1122460,0.002568,0,2
1126044,0.002568,0,5
1129111,0.002568,0,2
1135137,0.002568,0,3
1152194,0.002568,0,2
12439,0.006244,3,3
12946,0.002568,0,2
131042,0.003918,1,3
13136,0.004523,2,1
160705,0.002568,0,3
227286,0.003546,1,4
242637,0.003546,1,3
31043,0.002568,0,3
340075,0.002568,0,3
340078,0.004523,2,2
35905,0.011917,4,2
42847,0.003546,1,4
436796,0.002568,0,2
48550,0.006845,2,4
5462,0.036608,4,1
576257,0.004523,2,2
58552,0.005723,2,2
5869,0.034282,2,2
636511,0.002568,0,4
67292,0.003546,1,1
675649,0.003546,1,4
684372,0.002568,0,3
94953,0.002568,0,1
936,0.019827,8,0
1107010,0.002568,0,4
1111899,0.002568,0,3
129558,0.002568,0,2
207395,0.002568,0,4
3084,0.005872,3,3
3828,0.011224,4,4
38845,0.004523,2,4
940,0.013842,3,1
20180,0.010756,2,2
28265,0.007649,2,2
941,0.020085,5,0
943,0.010785,3,2
1152896,0.002568,0,5
91852,0.007801,1,4
1026,0.007827,5,0
1034,0.003546,1,3
1102550,0.002568,0,4
1105231,0.002568,0,2
1129798,0.002568,0,1
1153945,0.002568,0,2
1107062,0.002568,0,3
1035,0.005872,3,2
1110515,0.002568,0,4
1213,0.005872,3,1
1154525,0.002568,0,3
409725,0.002568,0,2
8766,0.003546,1,1
1237,0.007678,4,0
102938,0.004146,1,3
1102400,0.002568,0,3
143676,0.004146,1,3
1246,0.011720,5,0
1104007,0.002568,0,4
42207,0.004911,1,4
57764,0.003546,1,5
6125,0.010458,5,5
1272,0.079323,32,2
1102625,0.002568,0,3
1108167,0.002568,0,5
1120962,0.002568,0,3
112378,0.009597,5,5
1123867,0.002568,0,2
1128256,0.002568,0,2
1129208,0.002568,0,3
1135358,0.002568,0,2
157805,0.003918,1,2
18615,0.008336,3,5
192734,0.002568,0,3
20593,0.002568,0,3
27230,0.003546,1,3
284414,0.003546,1,1
30895,0.007827,5,5
30901,0.002568,0,5
444240,0.002568,0,3
520471,0.003546,1,1
52835,0.003546,1,2
552469,0.002568,0,2
560936,0.006692,2,4
591016,0.004895,2,2
636098,0.002568,0,3
65653,0.004523,2,5
6917,0.004895,2,5
6923,0.011176,6,3
85452,0.004523,2,2
85688,0.068588,5,1
93923,0.003918,1,3
97892,0.002568,0,4
1365,0.147144,74,0
1031453,0.002568,0,2
1102407,0.002568,0,1
1105062,0.002568,0,1
1106287,0.002568,0,4
1108050,0.002568,0,3
1110494,0.002568,0,1
1110998,0.002568,0,4
1113995,0.002568,0,2
1114153,0.002568,0,2
1114388,0.002568,0,3
1114605,0.002568,0,2
1116347,0.002568,0,5
1116594,0.002568,0,2
1117653,0.002568,0,2
1119140,0.002568,0,3
1120211,0.002568,0,2
1120866,0.002568,0,1
1128839,0.002568,0,3
1129443,0.002568,0,1
1130600,0.002568,0,4
1131647,0.002568,0,2
1131745,0.002568,0,2
1131748,0.002568,0,2
1132922,0.002568,0,1
1132968,0.002568,0,5
1135368,0.002568,0,1
1136422,0.002568,0,2
1136442,0.002568,0,1
1152143,0.002568,0,4
1152821,0.002568,0,1
1154169,0.002568,0,2
120084,0.003546,1,4
139865,0.004523,2,2
157401,0.003546,1,2
171225,0.002568,0,2
184918,0.007475,2,4
188318,0.003546,1,3
188471,0.004581,1,4
22835,0.004523,2,1
23448,0.002568,0,3
23502,0.012918,2,4
23507,0.019727,7,4
237521,0.030729,1,1
26850,0.003546,1,1
330148,0.010328,2,3
340299,0.010534,1,2
39904,0.002568,0,2
49482,0.008780,4,3
562123,0.005115,1,3
628500,0.005289,2,4
648232,0.003918,1,1
649731,0.007922,2,2
69392,0.003546,1,3
7276,0.003546,1,4
7297,0.007642,3,4
77758,0.053566,9,1
782486,0.002568,0,3
83826,0.003546,1,3
85299,0.007501,3,1
853150,0.002568,0,1
90888,0.007642,3,2
93555,0.014064,5,1
948299,0.002568,0,3
948846,0.002568,0,1
949318,0.002568,0,1
949511,0.002568,0,2
950052,0.002568,0,2
950305,0.002568,0,2
1481,0.019461,16,0
1102567,0.002568,0,2
1106052,0.002568,0,3
1108267,0.002568,0,5
1111614,0.002568,0,1
1113934,0.002568,0,5
1114864,0.002568,0,4
1117184,0.002568,0,4
1119295,0.002568,0,3
1120563,0.002568,0,5
1153891,0.002568,0,4
200480,0.002568,0,5
399173,0.002568,0,1
4878,0.003546,1,1
521207,0.003918,1,5
521269,0.003546,1,2
1134022,0.002568,0,2
152483,0.004895,2,2
1694,0.004146,1,2
39474,0.004146,1,3
647413,0.002568,0,3
1717,0.009023,5,4
1115291,0.002568,0,4
1116336,0.002568,0,2
1135108,0.002568,0,3
50381,0.005713,1,3
733167,0.003546,1,1
1786,0.008667,1,3
35797,0.016029,10,4
1817,0.003546,1,1
1114502,0.002568,0,5
1919,0.004523,2,1
1108389,0.002568,0,5
1949,0.008322,2,4
129042,0.006244,3,1
3101,0.008878,4,3
1951,0.006748,1,0
3095,0.010985,4,2
1952,0.011067,4,1
1107215,0.002568,0,3
1953,0.008667,4,0
1153166,0.002568,0,2
1153724,0.002568,0,2
1153728,0.002568,0,4
1955,0.011825,4,0
110163,0.005723,2,5
1110390,0.002568,0,3
101143,0.004523,2,3
1118302,0.002568,0,2
1153101,0.002568,0,3
1153150,0.002568,0,3
263486,0.003546,1,2
83449,0.006757,3,3
1959,0.024595,10,0
3097,0.016022,5,3
310530,0.004146,1,4
38839,0.004146,1,3
73327,0.007455,5,3
82664,0.009642,2,1
1997,0.027190,9,2
1102442,0.002568,0,2
1108551,0.002568,0,2
1109439,0.002568,0,3
1109542,0.002568,0,1
129897,0.002568,0,5
154982,0.008432,6,2
3233,0.022959,9,4
49811,0.012281,2,2
7032,0.008198,5,1
1999,0.008853,5,0
1123068,0.002568,0,5
1131471,0.002568,0,3
39126,0.004523,2,5
6771,0.004289,1,5
2354,0.017520,7,2
10186,0.003546,1,5
1107140,0.002568,0,2
1113852,0.002568,0,3
1130539,0.002568,0,5
154134,0.002568,0,4
40151,0.013916,9,1
74749,0.011561,3,2
2440,0.053876,30,1
1000012,0.002568,0,5
1061127,0.002568,0,1
1106388,0.002568,0,5
1107095,0.002568,0,3
1110426,0.002568,0,4
1114512,0.002568,0,3
1117786,0.002568,0,3
1120650,0.002568,0,3
1127619,0.002568,0,2
1153254,0.002568,0,1
136766,0.003546,1,5
136768,0.003918,1,3
151430,0.003546,1,2
212777,0.002568,0,3
23546,0.003918,1,1
49843,0.006385,3,5
49844,0.003546,1,5
49847,0.003918,1,4
582343,0.003546,1,5
591017,0.003546,1,4
63931,0.009827,5,2
72908,0.010638,4,1
2653,0.028740,18,0
102406,0.002568,0,3
107177,0.003546,1,1
1104055,0.002568,0,4
1116268,0.002568,0,5
1116842,0.002568,0,2
1118764,0.002568,0,4
