Dataset: ba_1k_m3 (APPROXIMATE)
Vertices: 1000
Edges: 2991
Samples Used: 461 (46.10%)
Max Betweenness: 110707.178492
Runtime (seconds): 0.086000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	1	110707.178492
2	4	58267.263514
3	5	41796.447625
4	6	40082.306724
5	15	35993.093933
6	14	26320.271558
7	17	25172.220397
8	12	24374.629633
9	22	20451.176742
10	11	18472.483697
11	10	17217.127328
12	19	15323.622200
13	16	15097.584588
14	7	14958.852385
15	13	14673.950733
16	26	12961.910369
17	47	10595.507056
18	31	10518.338035
19	2	10340.077947
20	27	10239.480397
21	8	9052.159320
22	84	8187.423324
23	25	8156.024896
24	9	7971.776407
25	37	7913.982151
26	23	7882.563133
27	131	7382.249001
28	40	7280.496206
29	35	6885.990861
30	46	6840.806932
31	87	6471.610405
32	29	6391.039914
33	45	6335.419427
34	105	6280.307466
35	49	6109.493587
36	32	6040.272950
37	60	6029.448350
38	18	6010.948570
39	39	5895.690082
40	161	5864.036878
41	21	5836.324920
42	56	5702.708862
43	43	5425.909537
44	33	5302.539868
45	72	5262.685286
46	36	4904.399953
47	94	4856.641397
48	80	4811.706300
49	92	4555.009021
50	53	4490.132068
51	28	4415.997025
52	73	4317.244007
53	81	4225.650338
54	103	4142.492018
55	95	4072.362075
56	143	3999.855030
57	24	3792.817251
58	44	3643.743153
59	231	3622.877701
60	55	3446.708292
61	79	3423.444990
62	64	3320.573527
63	91	3298.657964
64	156	3264.793770
65	118	3255.732890
66	114	3246.520789
67	78	3223.327280
68	319	3175.973327
69	145	3075.837517
70	34	3069.932303
71	68	2931.024371
72	174	2905.778640
73	59	2861.504835
74	108	2831.496072
75	71	2825.979148
76	160	2816.635074
77	113	2809.512005
78	98	2750.363138
79	52	2632.052038
80	111	2623.232713
81	141	2556.186823
82	50	2522.956793
83	487	2476.985232
84	345	2471.465300
85	124	2455.127459
86	83	2442.229598
87	54	2429.433135
88	58	2407.653771
89	134	2404.253722
90	97	2381.776806
91	100	2361.026769
92	41	2336.118928
93	169	2309.601005
94	211	2277.861577
95	363	2245.869502
96	51	2233.901479
97	259	2229.612199
98	170	2183.613984
99	77	2131.734656
100	132	2125.159190
