Dataset: cit-DBLP (APPROXIMATE)
Vertices: 12592
Edges: 49621
Samples Used: 1259 (10.00%)
Max Betweenness: 11319933.064126
Runtime (seconds): 2.607000
Memory Usage (MB): 0.76

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	62	11319933.064126
2	203	8809835.914345
3	1477	6850599.252611
4	10700	5824731.418624
5	439	5654831.933619
6	433	2865954.336059
7	700	2413402.659286
8	107	2163248.096515
9	61	2108397.211658
10	58	2092247.869171
11	261	1970966.359259
12	630	1736916.977303
13	2190	1690154.289745
14	138	1685997.244848
15	119	1345975.101337
16	964	1208216.370400
17	37	1189368.022004
18	397	1160538.629979
19	484	1157813.005312
20	10786	1133508.890645
21	839	1079853.458855
22	4380	1040249.144612
23	1265	972517.210089
24	703	946934.515143
25	249	925014.130731
26	395	917747.070272
27	441	870649.505630
28	146	866482.098120
29	8304	832385.207820
30	144	821077.560129
31	2815	808056.052503
32	8685	796153.228101
33	125	792145.561400
34	132	759708.395610
35	2925	759003.250609
36	4730	747929.445105
37	2358	689121.104769
38	87	682395.673451
39	7320	658328.258393
40	262	633158.292933
41	95	618568.918976
42	10070	613351.307709
43	8462	604643.123840
44	9785	582728.402803
45	10581	567154.163157
46	4848	565240.907010
47	2700	564317.054373
48	442	562575.435882
49	793	532161.044805
50	336	518463.008879
51	1066	514195.153269
52	8707	489865.242931
53	1312	489498.645957
54	10940	485391.040172
55	881	485208.854049
56	576	483159.911207
57	145	471863.870833
58	2236	470797.309263
59	1889	461371.601219
60	930	448844.922160
61	11974	446846.588394
62	12267	435206.118688
63	480	425816.220481
64	320	422951.781705
65	287	422658.218411
66	2451	420607.243713
67	6969	416073.719536
68	515	406764.411183
69	375	401859.914801
70	740	398356.120649
71	551	397240.891493
72	11846	391600.986796
73	724	380423.511613
74	143	379666.816892
75	376	377296.554162
76	294	373020.719663
77	7715	371885.538548
78	141	367966.222658
79	595	364858.932576
80	702	362819.835061
81	6228	355607.140374
82	4879	343386.294784
83	3993	339952.405902
84	8189	339445.880666
85	5104	337698.279246
86	36	337529.539746
87	3885	334372.429123
88	2349	331301.144838
89	240	330973.167054
90	170	330622.482617
91	745	329981.551153
92	608	329184.250848
93	7019	327529.930657
94	1626	321378.996140
95	1385	315074.304901
96	3952	311621.574712
97	9201	309446.921140
98	2460	307956.935592
99	1953	303392.867289
100	11309	301207.039632
