Dataset: cit-HepTh (APPROXIMATE)
Vertices: 27769
Edges: 352285
Samples Used: 2776 (10.00%)
Max Betweenness: 31834191.675042
Runtime (seconds): 25.819000
Memory Usage (MB): 3.54

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	22153	31834191.675042
2	14159	27231390.865750
3	19155	15761739.320595
4	26699	15180469.981218
5	25991	14083808.722969
6	16726	11942291.819373
7	22743	11414086.828311
8	14350	9886362.401350
9	15603	9770248.444560
10	26167	9385588.741394
11	22709	8016521.173189
12	19400	5775295.950051
13	651	5600166.388917
14	22116	5212550.401599
15	16838	4911460.696429
16	13240	4904177.947005
17	16907	4728888.249416
18	15156	4119578.597289
19	14724	4086667.173449
20	4345	3965277.195298
21	7079	3960005.391521
22	11054	3555876.558241
23	14487	3299117.717398
24	17389	3112153.468255
25	11788	3032755.138834
26	5338	2933030.965134
27	17550	2619065.487956
28	10572	2603481.108516
29	15195	2603342.246385
30	12191	2556768.429365
31	13758	2523624.715135
32	14811	2483616.567826
33	2832	2241732.804691
34	9945	2235717.899335
35	16195	2139609.787515
36	21761	2118951.626324
37	10750	2106145.515153
38	2156	2011673.566650
39	12064	1999800.235257
40	14908	1915953.022176
41	14328	1873013.061592
42	11905	1725130.817071
43	11439	1717320.927543
44	253	1660459.765465
45	10331	1572553.975435
46	13294	1544957.749611
47	16612	1519240.423357
48	5228	1486927.459091
49	13253	1483799.120675
50	26244	1464219.911687
51	18733	1447872.489283
52	1642	1442448.001749
53	17852	1377245.635383
54	22668	1357088.390639
55	17578	1333316.221009
56	10559	1311013.872927
57	27040	1298858.365464
58	13270	1290848.662661
59	8360	1270811.759219
60	17829	1263601.791644
61	8371	1246512.920466
62	22653	1221278.533930
63	26824	1219756.656084
64	18675	1201383.173386
65	6922	1199621.238282
66	10900	1164065.791423
67	17747	1153836.662883
68	10635	1149825.902263
69	3159	1147840.027986
70	16882	1144786.397247
71	11461	1134094.727103
72	20230	1119597.407440
73	25318	1109450.529270
74	12614	1102355.590047
75	16963	1100018.993658
76	19688	1098335.802915
77	10194	1092065.039367
78	20774	1072544.905533
79	19576	1048757.279773
80	24403	1039778.494644
81	22403	1032014.359991
82	19694	1026671.648291
83	15270	1007461.841258
84	2676	1005980.670386
85	6386	998708.511689
86	14962	991091.995712
87	22430	973637.753404
88	12425	958325.466707
89	26662	956249.491317
90	22119	952138.437897
91	25479	952136.185481
92	17374	951898.148154
93	24965	951802.750645
94	22923	944746.307427
95	24493	943836.616157
96	17211	942210.598154
97	24994	938935.951833
98	17031	931961.986728
99	24152	917419.211682
100	245	913707.169221
