Dataset: citeseer (APPROXIMATE)
Vertices: 3264
Edges: 4536
Samples Used: 520 (15.93%)
Max Betweenness: 398888.902225
Runtime (seconds): 0.175000
Memory Usage (MB): 0.13

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	795	398888.902225
2	2907	312714.923256
3	870	297445.711978
4	179	291311.989558
5	867	253396.635985
6	170	232197.529461
7	2230	225853.544155
8	2092	225028.923194
9	2668	212938.592591
10	2201	202881.861394
11	2093	198648.024852
12	1487	188789.507687
13	623	163666.777498
14	1559	163618.181687
15	3222	142705.728104
16	1284	131543.457278
17	772	128990.335829
18	34	128215.461271
19	1488	124593.434185
20	802	119043.192702
21	854	116956.787148
22	821	113173.013892
23	2754	112310.044626
24	1850	109513.171135
25	753	106105.650899
26	1219	101007.450246
27	2686	95869.028845
28	830	94285.237035
29	735	93866.952311
30	1859	90865.174498
31	2366	89297.406980
32	2496	87181.875624
33	488	84901.661538
34	1342	84316.285527
35	2061	83919.323077
36	1177	83454.203077
37	714	83123.310418
38	2619	81687.257582
39	3240	79972.316852
40	844	79276.886368
41	1855	77472.793170
42	2695	75273.560253
43	558	73582.894567
44	793	71453.302785
45	1358	71206.168171
46	1416	68812.743841
47	2220	68668.297556
48	564	68461.335043
49	1267	68002.238858
50	490	67258.670289
51	1200	64655.722258
52	2309	64030.733024
53	175	63830.490305
54	1882	62382.234137
55	3175	61373.752046
56	1570	60960.115144
57	184	59903.998792
58	1455	58514.554049
59	2741	58126.537746
60	1473	58071.192803
61	920	57706.615788
62	3178	57013.707499
63	1172	56206.195451
64	875	55897.963433
65	25	55646.894648
66	670	55185.494957
67	779	54063.358042
68	769	53367.409188
69	2255	53337.819319
70	2088	53014.336126
71	1872	52640.148044
72	3191	51604.454190
73	2199	51071.906233
74	1313	50538.646154
75	1199	50528.738429
76	1352	49964.200423
77	1080	48807.269851
78	565	48767.633858
79	1918	48582.107550
80	2406	48023.220027
81	356	47202.393964
82	76	46373.907692
83	2207	45778.667106
84	2951	45466.892308
85	2577	45462.667763
86	291	45209.633568
87	871	45063.307431
88	1874	44300.001048
89	46	44062.566106
90	2624	43340.085913
91	2827	43312.148745
92	11	42280.101945
93	37	42280.101945
94	2	42002.853416
95	31	42002.853416
96	1941	41965.153846
97	899	41683.891103
98	8	41547.031392
99	1641	41176.801887
100	601	41009.453513
