Dataset: cora (APPROXIMATE)
Vertices: 2708
Edges: 5278
Samples Used: 511 (18.87%)
Max Betweenness: 844067.538325
Runtime (seconds): 0.126000
Memory Usage (MB): 0.12

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	1	844067.538325
2	72	460869.226890
3	85	329183.699752
4	29	315509.982477
5	122	301379.108979
6	14	282903.704100
7	28	237431.290281
8	16	205113.484167
9	73	164848.113652
10	123	157324.802887
11	151	141850.740069
12	544	130409.886328
13	1741	118672.663990
14	329	116572.435640
15	88	107361.929992
16	380	93756.357268
17	356	90114.007755
18	174	88488.986973
19	208	85920.083221
20	1363	84808.030389
21	118	81718.594533
22	1910	80529.653605
23	43	80147.214246
24	1530	74609.960599
25	603	74330.686732
26	505	72103.699085
27	209	71603.181822
28	237	70463.900327
29	1829	70332.222090
30	53	70078.771830
31	787	66902.660203
32	1078	66292.758090
33	510	65841.508019
34	709	62580.873820
35	1315	62578.904437
36	48	62250.815554
37	604	62034.927593
38	296	61569.958053
39	375	61411.528659
40	1469	60887.604697
41	3	60534.330759
42	199	59436.102469
43	65	57370.988977
44	334	56778.769123
45	1201	56081.288310
46	1163	55466.927558
47	1166	54732.295907
48	1147	53553.217221
49	1941	53095.746545
50	49	52923.323639
51	1043	51971.485312
52	241	51773.318651
53	1299	50483.963044
54	223	49677.220891
55	287	49488.499606
56	280	47899.146510
57	31	47272.254273
58	839	46398.775048
59	1110	46085.517010
60	1136	45785.601950
61	1052	44880.727984
62	807	44698.085856
63	259	44214.802687
64	2519	41661.437705
65	797	39755.012499
66	1358	38739.735902
67	447	38630.291192
68	454	38133.813508
69	503	37939.710751
70	10	37621.291595
71	499	37619.565036
72	473	37342.664318
73	465	36974.599921
74	183	36880.039364
75	1480	36542.278669
76	383	35653.194408
77	844	34987.699322
78	2056	34441.944865
79	1568	34432.666914
80	2060	33932.697236
81	202	33229.685252
82	729	33215.717535
83	86	32625.526232
84	1707	32597.781947
85	34	32171.984909
86	302	31433.625730
87	1208	31038.701586
88	239	30374.194925
89	536	30238.935583
90	1826	30126.091690
91	585	29734.107635
92	385	29684.355633
93	421	29683.885530
94	1123	29605.346285
95	318	29595.999690
96	838	29562.333333
97	2302	28934.343561
98	201	28619.350084
99	643	28592.043081
100	1218	28357.487296
