Dataset: er_1000_dense (APPROXIMATE)
Vertices: 1000
Edges: 10174
Samples Used: 461 (46.10%)
Max Betweenness: 2475.352773
Runtime (seconds): 0.282000
Memory Usage (MB): 0.11

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	497	2475.352773
2	443	2464.562867
3	145	2385.015567
4	14	2322.326366
5	798	2057.812033
6	247	1931.258099
7	857	1910.086808
8	83	1888.591329
9	291	1868.094337
10	806	1867.711512
11	913	1864.130008
12	720	1823.150031
13	665	1814.495917
14	861	1787.746857
15	352	1781.541045
16	132	1753.682478
17	450	1750.278971
18	920	1729.633168
19	888	1729.365034
20	58	1723.255110
21	910	1714.538539
22	629	1683.712068
23	331	1677.509630
24	876	1648.356184
25	912	1642.334712
26	810	1637.283869
27	425	1635.516387
28	318	1634.462178
29	775	1610.286025
30	991	1609.845845
31	301	1603.377744
32	97	1588.063472
33	86	1581.972359
34	750	1572.312596
35	384	1558.247455
36	612	1556.799370
37	156	1555.889280
38	258	1555.419621
39	813	1553.836261
40	598	1552.071806
41	77	1549.705968
42	141	1549.045807
43	451	1540.755317
44	375	1539.506555
45	147	1533.007685
46	4	1532.608560
47	284	1531.359768
48	971	1528.901405
49	521	1526.009226
50	322	1517.366687
51	614	1505.345765
52	928	1498.516654
53	616	1483.207019
54	663	1478.254920
55	815	1472.351421
56	878	1472.170770
57	369	1466.004857
58	831	1463.201272
59	948	1463.144320
60	553	1461.974522
61	632	1450.775900
62	818	1447.317450
63	239	1444.960415
64	851	1443.888672
65	872	1441.279832
66	485	1440.079538
67	190	1439.291102
68	400	1433.898682
69	547	1431.649616
70	475	1431.043174
71	54	1430.607611
72	115	1427.447589
73	581	1424.086956
74	648	1415.005592
75	149	1412.967517
76	347	1407.418612
77	820	1393.913209
78	437	1392.633019
79	688	1388.836323
80	251	1382.730442
81	594	1382.304094
82	727	1376.267348
83	88	1361.669487
84	676	1357.667403
85	193	1357.443002
86	302	1355.298319
87	31	1353.066331
88	273	1350.630030
89	808	1341.034057
90	312	1340.837287
91	221	1340.528169
92	53	1338.728551
93	236	1335.054663
94	890	1332.252570
95	440	1330.135592
96	92	1328.149004
97	714	1327.805347
98	958	1324.358046
99	535	1320.630465
100	840	1308.902902
