Dataset: er_100_sparse (APPROXIMATE)
Vertices: 100
Edges: 233
Samples Used: 100 (100.00%)
Max Betweenness: 455.080757
Runtime (seconds): 0.003000
Memory Usage (MB): 0.00

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	43	455.080757
2	49	366.406671
3	1	343.691351
4	73	321.681543
5	45	308.653089
6	37	268.654495
7	31	254.738091
8	69	250.429282
9	51	250.097887
10	92	242.175649
11	6	236.655343
12	23	210.273870
13	20	197.238221
14	29	192.053264
15	75	167.823309
16	18	166.496778
17	76	166.369877
18	21	161.564719
19	27	159.789029
20	25	159.578039
21	63	157.226021
22	96	155.015951
23	56	150.350729
24	16	148.265914
25	99	147.106309
26	100	146.680660
27	60	145.321737
28	22	139.827844
29	9	134.115657
30	78	133.557845
31	47	128.317258
32	88	126.663393
33	50	126.629109
34	97	125.071156
35	62	123.431906
36	61	121.303094
37	72	118.497591
38	2	117.615275
39	86	111.066424
40	94	109.510251
41	53	106.665804
42	13	105.945476
43	7	105.094674
44	71	103.002264
45	26	102.275708
46	5	101.969444
47	84	92.684476
48	81	91.280948
49	12	84.972284
50	95	84.794005
51	4	74.354681
52	3	65.933730
53	15	65.648286
54	14	65.464711
55	70	57.506751
56	79	57.412228
57	59	56.988346
58	67	49.673496
59	91	48.498423
60	30	46.106999
61	52	45.130898
62	66	41.093175
63	65	40.822738
64	57	39.948834
65	36	38.381077
66	64	37.769986
67	19	36.666083
68	34	36.483005
69	17	33.031685
70	80	32.992325
71	44	31.896501
72	39	30.179614
73	82	29.527554
74	55	26.584463
75	89	24.344646
76	11	22.092292
77	58	21.610843
78	35	19.724206
79	74	19.608766
80	10	16.566667
81	77	16.471515
82	32	15.925000
83	83	12.227814
84	41	11.098602
85	40	11.072024
86	90	10.772205
87	87	10.165909
88	98	9.553028
89	93	7.038889
90	42	5.809163
91	33	5.703604
92	38	4.584524
93	48	2.824242
94	8	0.000000
95	24	0.000000
96	28	0.000000
97	46	0.000000
98	54	0.000000
99	68	0.000000
100	85	0.000000
