Dataset: er_10k_dense (APPROXIMATE)
Vertices: 10000
Edges: 49948
Samples Used: 1000 (10.00%)
Max Betweenness: 100306.474865
Runtime (seconds): 1.586000
Memory Usage (MB): 0.69

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	1487	100306.474865
2	636	82307.794156
3	307	82070.289756
4	8654	81810.840076
5	9530	81278.319225
6	2673	80246.206796
7	813	80197.509277
8	5784	77194.423545
9	803	76060.541208
10	8455	75969.002112
11	6326	75833.128160
12	8738	73796.053014
13	5134	73352.584627
14	2626	72344.319751
15	1762	72311.846547
16	9791	72087.708376
17	2378	71529.987526
18	7364	71358.896574
19	7331	70698.770543
20	3549	69445.243516
21	4209	69024.622288
22	9620	68909.062816
23	8244	68898.950650
24	5469	67660.602305
25	6016	67350.015485
26	4472	66702.588625
27	6193	66605.084387
28	2050	66045.694243
29	2124	65908.340739
30	3049	65867.743118
31	3594	65614.323832
32	1850	65405.403092
33	6701	64989.791634
34	386	64803.238285
35	9747	64169.649202
36	72	64089.496122
37	2333	63959.330802
38	4139	63718.905193
39	3739	63621.529924
40	1519	63360.493179
41	9153	63351.810140
42	3455	63249.537225
43	247	62862.065743
44	210	62728.018327
45	8634	62365.371470
46	7314	61985.475238
47	6164	61721.636903
48	8823	61688.201610
49	2174	61620.328797
50	9531	61610.014426
51	6060	61472.010055
52	455	61392.991509
53	4114	61389.386286
54	7576	60878.330809
55	1292	60727.507486
56	4624	60588.250108
57	1959	60266.329272
58	7288	60248.258127
59	8469	60175.625947
60	8347	59933.779917
61	7176	59448.349633
62	4672	59334.987093
63	1976	59334.714982
64	8642	59280.316949
65	20	59162.736177
66	4855	59113.852651
67	9708	59018.918064
68	9293	58816.762709
69	971	58314.052583
70	5923	58061.211106
71	8820	57717.470292
72	7896	57654.658713
73	4203	57391.152389
74	2724	57288.251620
75	3074	57215.193133
76	3763	57212.224444
77	9882	57203.935613
78	3016	57200.746603
79	9001	57189.441869
80	9685	57077.793535
81	1419	56720.707807
82	3516	56720.082692
83	4309	56501.012868
84	7826	56307.210297
85	4808	56282.618254
86	3871	56219.245698
87	269	56047.758758
88	8828	56047.465969
89	7113	56024.106706
90	2301	55977.612330
91	2245	55868.305058
92	4720	55856.225501
93	9744	55824.123205
94	8572	55648.822613
95	6347	55558.477853
96	4430	55357.454670
97	9482	55182.766164
98	3821	54910.647937
99	3203	54906.371354
100	4198	54746.724723
