Dataset: er_10k_sparse (APPROXIMATE)
Vertices: 10000
Edges: 24717
Samples Used: 1000 (10.00%)
Max Betweenness: 274490.111663
Runtime (seconds): 1.154000
Memory Usage (MB): 0.49

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	241	274490.111663
2	9472	171368.152836
3	3709	170758.632120
4	8024	166992.971868
5	5465	164496.870276
6	8697	163073.622700
7	7053	158995.155514
8	7019	154348.493676
9	4354	154059.724246
10	6822	153157.441072
11	2009	152113.165631
12	8176	151506.782442
13	9764	151206.832228
14	5802	149659.667172
15	7305	146492.491344
16	6047	145616.838526
17	7851	145124.045936
18	2552	142534.435928
19	6221	140543.823994
20	4049	137506.294902
21	7965	137502.294240
22	468	136845.268849
23	6120	136812.709829
24	262	135762.823060
25	3221	133669.240531
26	5323	133519.829465
27	7086	133235.006291
28	1939	133234.524145
29	7592	133185.752165
30	9824	132896.219785
31	2652	132333.368122
32	3567	131789.122251
33	907	131344.809837
34	2506	131335.174824
35	5207	131120.387501
36	7913	131016.578331
37	7061	130643.075821
38	2134	130600.464990
39	1763	130551.773723
40	7656	129754.843397
41	9465	129564.619464
42	2433	129142.842591
43	1064	128376.337993
44	3279	128303.710903
45	6445	128222.859179
46	5417	127614.543684
47	453	126803.374236
48	7665	126246.116888
49	4605	125525.858928
50	3285	125042.801525
51	7405	124742.623087
52	9875	124571.653975
53	1034	124322.057329
54	1743	124042.207233
55	1103	123742.101000
56	2200	123465.357017
57	3808	123010.060254
58	2419	122378.409054
59	6296	121986.557130
60	9516	121540.140444
61	2942	120804.614054
62	4575	120478.837241
63	9846	120185.499948
64	3499	119377.877020
65	6385	119306.565062
66	8784	119102.090103
67	4536	118322.190229
68	9072	117696.508270
69	7903	115777.987424
70	5298	115617.851069
71	8687	115133.168704
72	9130	115027.052006
73	2624	114935.824973
74	4518	114465.976538
75	8440	114133.073093
76	8173	114112.494840
77	1258	114093.283508
78	797	113463.074820
79	6482	113335.920253
80	2907	113106.104739
81	6797	113002.540540
82	7438	112816.175476
83	5406	112739.546846
84	5605	112645.181481
85	242	112352.593264
86	5037	111881.414648
87	4747	111464.106074
88	3272	111365.479637
89	9485	111347.723211
90	9865	111289.294433
91	5717	111149.752928
92	2108	110460.762895
93	4698	110140.441634
94	828	110124.334819
95	461	110056.937873
96	257	109761.054153
97	3381	109270.468969
98	4522	108897.587347
99	3676	108884.837051
100	1602	108859.623358
