Dataset,Vertices,Edges,MaxBC,Runtime_sec,Memory_MB,AvgDegree,Density,Samples
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00,7
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01,6
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01,20
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01,5
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01,9
er_1000_dense,1000,9865,2698.080021,0.162000,0.11,19.7300,1.974975e-02,461
er_1000_sparse,1000,2492,12478.532420,0.094000,0.05,4.9840,4.988989e-03,461
er_100_dense,100,1046,82.967445,0.004000,0.01,20.9200,2.113131e-01,100
er_100_sparse,100,253,393.016144,0.002000,0.00,5.0600,5.111111e-02,100
er_10k_dense,10000,49722,96889.612847,1.531000,0.68,9.9444,9.945395e-04,1000
er_10k_sparse,10000,24850,208959.872425,1.071000,0.49,4.9700,4.970497e-04,1000
er_500_dense,500,6364,846.126215,0.070000,0.06,25.4560,5.101403e-02,426
er_500_sparse,500,1280,3357.278493,0.054000,0.03,5.1200,1.026052e-02,426
er_5k_dense,5000,37714,27119.161104,0.536000,0.44,15.0856,3.017724e-03,541
er_5k_sparse,5000,12660,82386.899563,0.305000,0.25,5.0640,1.013003e-03,541
ba_1k_m3,1000,2991,60275.031700,0.107000,0.05,5.9820,5.987988e-03,461
ba_1k_m5,1000,4975,46736.624653,0.087000,0.07,9.9500,9.959960e-03,461
ws_1k_k10_p03,1000,5000,5084.985485,0.138000,0.07,10.0000,1.001001e-02,461
ws_1k_k6_p01,1000,3000,13212.818283,0.109000,0.05,6.0000,6.006006e-03,461
er_5k_dense,5000,37714,27119.161104,0.607000,0.44,15.0856,3.017724e-03,541
er_5k_sparse,5000,12660,82386.899563,0.333000,0.25,5.0640,1.013003e-03,541
er_10k_dense,10000,49722,96889.612847,1.836000,0.68,9.9444,9.945395e-04,1000
er_10k_sparse,10000,24850,208959.872425,1.084000,0.49,4.9700,4.970497e-04,1000
ba_5k_m3,5000,14991,1710294.855712,0.355000,0.27,5.9964,1.199520e-03,541
ba_5k_m5,5000,24975,1132788.635751,0.420000,0.34,9.9900,1.998400e-03,541
ba_10k_m3,10000,29991,7688096.101726,1.047000,0.53,5.9982,5.998800e-04,1000
ws_5k_k6_p01,5000,15000,166859.401505,0.329000,0.27,6.0000,1.200240e-03,541
cit-DBLP,12592,49621,11319933.064126,1.782000,0.76,7.8814,6.259513e-04,1259
cit-HepTh,27769,352285,31834191.675042,17.307000,3.54,25.3725,9.137330e-04,2776
citeseer,3264,4536,398888.902225,0.051000,0.13,2.7794,8.517964e-04,520
cora,2708,5278,844067.538325,0.083000,0.12,3.8981,1.440000e-03,511
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00,7
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01,6
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01,20
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01,5
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01,9
er_1000_dense,1000,9920,2436.390314,0.105000,0.11,19.8400,1.985986e-02,461
er_1000_sparse,1000,2511,11164.615208,0.082000,0.05,5.0220,5.027027e-03,461
er_100_dense,100,1007,96.813471,0.005000,0.01,20.1400,2.034343e-01,100
er_100_sparse,100,260,515.349562,0.002000,0.01,5.2000,5.252525e-02,100
er_10k_dense,10000,49700,112617.820196,1.562000,0.68,9.9400,9.940994e-04,1000
er_10k_sparse,10000,25314,193800.216368,0.883000,0.50,5.0628,5.063306e-04,1000
er_500_dense,500,6279,872.453326,0.036000,0.06,25.1160,5.033267e-02,426
er_500_sparse,500,1212,3388.201593,0.020000,0.02,4.8480,9.715431e-03,426
er_5k_dense,5000,37567,40777.144037,0.409000,0.44,15.0268,3.005961e-03,541
er_5k_sparse,5000,12655,75958.775442,0.228000,0.25,5.0620,1.012603e-03,541
ba_1k_m3,1000,2991,102823.095499,0.036000,0.05,5.9820,5.987988e-03,461
ba_1k_m5,1000,4975,50154.486968,0.049000,0.07,9.9500,9.959960e-03,461
ws_1k_k10_p03,1000,5000,4444.500922,0.051000,0.07,10.0000,1.001001e-02,461
ws_1k_k6_p01,1000,3000,20328.598211,0.035000,0.05,6.0000,6.006006e-03,461
er_5k_dense,5000,37567,40777.144037,0.405000,0.44,15.0268,3.005961e-03,541
er_5k_sparse,5000,12655,75958.775442,0.224000,0.25,5.0620,1.012603e-03,541
er_10k_dense,10000,49700,112617.820196,1.279000,0.68,9.9400,9.940994e-04,1000
er_10k_sparse,10000,25314,193800.216368,0.905000,0.50,5.0628,5.063306e-04,1000
ba_5k_m3,5000,14991,2018928.296726,0.240000,0.27,5.9964,1.199520e-03,541
ba_5k_m5,5000,24975,1000755.707406,0.302000,0.34,9.9900,1.998400e-03,541
ba_10k_m3,10000,29991,4450641.424463,0.941000,0.53,5.9982,5.998800e-04,1000
ws_5k_k6_p01,5000,15000,153884.078522,0.214000,0.27,6.0000,1.200240e-03,541
cit-DBLP,12592,49621,11319933.064126,1.516000,0.76,7.8814,6.259513e-04,1259
cit-HepTh,27769,352285,31834191.675042,17.394000,3.54,25.3725,9.137330e-04,2776
citeseer,3264,4536,398888.902225,0.054000,0.13,2.7794,8.517964e-04,520
cora,2708,5278,844067.538325,0.081000,0.12,3.8981,1.440000e-03,511
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00,7
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01,6
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01,20
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01,5
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01,9
er_1000_dense,1000,9989,2850.675161,0.068000,0.11,19.9780,1.999800e-02,461
er_1000_sparse,1000,2532,14872.211932,0.035000,0.05,5.0640,5.069069e-03,461
er_100_dense,100,1013,89.770459,0.001000,0.01,20.2600,2.046465e-01,100
er_100_sparse,100,233,361.159009,0.000000,0.00,4.6600,4.707071e-02,100
er_10k_dense,10000,50275,92645.172442,1.295000,0.69,10.0550,1.005601e-03,1000
er_10k_sparse,10000,24695,192931.526452,0.889000,0.49,4.9390,4.939494e-04,1000
er_500_dense,500,6318,753.082288,0.033000,0.06,25.2720,5.064529e-02,426
er_500_sparse,500,1222,4329.433319,0.015000,0.02,4.8880,9.795591e-03,426
er_5k_dense,5000,37326,29251.069299,0.406000,0.44,14.9304,2.986677e-03,541
er_5k_sparse,5000,12510,83032.146663,0.234000,0.25,5.0040,1.001000e-03,541
ba_1k_m3,1000,2991,88342.983700,0.038000,0.05,5.9820,5.987988e-03,461
