Dataset: ws_1k_k6_p01 (APPROXIMATE)
Vertices: 1000
Edges: 3000
Samples Used: 461 (46.10%)
Max Betweenness: 16808.468912
Runtime (seconds): 0.092000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	73	16808.468912
2	893	16387.812066
3	120	14071.691617
4	122	13168.199559
5	802	12872.046128
6	502	12543.019477
7	550	12020.472040
8	236	11900.886557
9	849	11866.091733
10	968	11707.196249
11	958	11374.482925
12	741	11083.008608
13	455	11075.407386
14	948	10369.650257
15	219	10320.733252
16	685	10216.407463
17	935	8884.389490
18	967	8695.662675
19	210	8654.471197
20	349	8651.322089
21	553	8643.121023
22	76	8570.721266
23	239	8550.733078
24	960	8289.996665
25	863	8274.165247
26	117	8258.814388
27	943	8154.280503
28	158	8136.585938
29	799	8064.001791
30	570	8039.366447
31	634	7937.047313
32	895	7909.321063
33	216	7894.051594
34	119	7892.118944
35	390	7815.042913
36	503	7794.877450
37	885	7713.965768
38	971	7623.480883
39	816	7446.822376
40	21	7423.985529
41	394	7398.329062
42	541	7393.861082
43	480	7353.773303
44	674	7324.265899
45	180	7308.066942
46	416	7307.002498
47	611	7292.716321
48	961	7273.109356
49	691	7265.008362
50	186	7186.636593
51	276	7180.601190
52	898	7173.079628
53	983	7168.204884
54	17	7053.324174
55	803	7040.549960
56	287	7037.174239
57	348	7030.864060
58	919	7016.596320
59	614	6981.157618
60	626	6944.562337
61	164	6826.875833
62	912	6823.838317
63	525	6816.580622
64	340	6810.686333
65	937	6796.560820
66	505	6784.519032
67	189	6692.669596
68	831	6447.689246
69	938	6443.505592
70	652	6330.502989
71	438	6292.890191
72	953	6287.889043
73	753	6244.698522
74	985	6230.194895
75	818	6158.008268
76	370	6149.816321
77	148	6149.169703
78	327	6140.191119
79	522	6079.300519
80	271	6051.799453
81	600	6044.772109
82	191	6031.728358
83	252	6020.952652
84	286	5996.477349
85	529	5993.187020
86	560	5948.574940
87	15	5945.252926
88	36	5944.075971
89	471	5925.634376
90	5	5866.144716
91	123	5857.558181
92	623	5842.844410
93	627	5842.803685
94	192	5725.735497
95	649	5709.472524
96	910	5697.187256
97	114	5682.618925
98	54	5672.560594
99	908	5646.306367
100	612	5603.252165
