Dataset: ba_1k_m5
Vertices: 1000
Edges: 4975
Max Betweenness: 44486.351186
Runtime (seconds): 0.245000
Memory Usage (MB): 0.07

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	11	44486.351186
2	1	38573.690449
3	7	36378.758008
4	9	35562.151586
5	3	27506.390368
6	10	26168.461435
7	15	24848.602830
8	13	20977.823125
9	5	20928.665433
10	17	14880.596219
11	8	14574.745078
12	26	14358.767269
13	12	14157.542257
14	31	12838.546527
15	6	12589.284715
16	16	12581.646839
17	25	11005.028125
18	81	10808.192803
19	32	9678.596137
20	18	8724.415863
21	48	8539.154972
22	28	8473.361265
23	20	8150.343224
24	37	8034.501580
25	24	7878.519686
26	14	7323.820631
27	33	6883.958769
28	21	6482.409672
29	41	6182.985445
30	23	5848.957395
31	27	5655.782993
32	73	5590.714059
33	29	5566.729508
34	19	5532.496573
35	49	5232.271973
36	99	5179.664619
37	76	4973.853453
38	38	4352.940743
39	77	4272.538013
40	39	4253.936722
41	132	4123.307374
42	58	4099.506363
43	22	3929.520585
44	78	3736.024324
45	100	3704.684091
46	46	3627.256241
47	57	3336.177397
48	171	3269.469418
49	59	3106.122636
50	197	3034.591309
51	55	2988.318073
52	67	2967.087952
53	30	2934.011835
54	102	2853.321681
55	74	2805.883555
56	71	2761.916559
57	62	2719.339054
58	70	2710.094425
59	110	2639.718224
60	60	2600.102202
61	86	2548.838423
62	42	2517.396197
63	143	2382.807697
64	83	2348.238982
65	54	2297.295505
66	116	2259.164157
67	84	2258.749558
68	51	2252.494547
69	107	2173.663494
70	43	2143.974250
71	129	2117.909603
72	64	2110.910706
73	130	2018.271158
74	108	2016.388560
75	65	1998.577078
76	45	1991.166428
77	85	1969.230686
78	172	1965.349282
79	121	1897.414122
80	63	1863.261206
81	98	1850.940693
82	87	1846.171200
83	114	1845.535213
84	103	1836.557507
85	82	1794.880189
86	47	1767.622019
87	111	1756.353794
88	80	1716.376991
89	126	1711.012483
90	109	1693.532031
91	174	1672.271212
92	168	1665.804037
93	142	1640.337090
94	35	1634.165426
95	128	1607.365321
96	94	1607.077795
97	90	1596.846969
98	182	1596.152859
99	69	1570.146881
100	36	1517.491079
