Dataset: cit-DBLP
Vertices: 12592
Edges: 49621
Max Betweenness: 11391541.943472
Runtime (seconds): 15.851000
Memory Usage (MB): 0.76

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	62	11391541.943472
2	203	8823647.229717
3	1477	7015268.173942
4	10700	5835414.215744
5	439	5530121.314425
6	433	3105406.167793
7	700	2394780.350015
8	107	2196377.860073
9	58	2189499.500693
10	61	2100246.049262
11	630	1904532.044944
12	261	1869143.865707
13	2190	1579055.920281
14	138	1534929.199682
15	964	1458153.137036
16	119	1388687.788777
17	484	1301320.852522
18	839	1177477.148860
19	10786	1148934.359534
20	37	1143430.305563
21	397	1131077.927203
22	4380	1115026.099545
23	1265	1060099.830680
24	441	1038320.639791
25	8685	1033511.022717
26	249	1033464.204643
27	703	1033335.704596
28	4730	913094.850751
29	395	876756.276150
30	146	875728.044852
31	144	853966.343457
32	8304	813571.199551
33	125	794723.253166
34	2815	783089.351119
35	132	764917.189843
36	2358	718920.839284
37	95	712574.625760
38	7320	712008.331057
39	2925	700713.357755
40	87	671550.507725
41	2700	646609.693058
42	262	625127.496607
43	8462	617582.414324
44	8707	579423.339616
45	11974	563676.791142
46	442	553793.684535
47	10581	551855.837095
48	745	538333.796588
49	1066	526900.224793
50	793	518909.219349
51	551	512167.214142
52	576	508148.748214
53	4848	506061.468180
54	2451	498953.148622
55	145	491726.578045
56	9785	480167.394102
57	10070	472953.373219
58	881	465510.121821
59	376	459644.146224
60	1312	454945.307983
61	336	449764.196780
62	12267	447132.505302
63	143	437898.546624
64	930	432973.529542
65	287	424481.579759
66	1889	417675.253704
67	141	415282.402506
68	320	413666.776081
69	6228	412748.093682
70	740	406382.065454
71	1385	397328.439462
72	3952	395007.880540
73	6328	390863.148060
74	480	388725.941504
75	2236	386684.530592
76	595	378406.407756
77	9201	378044.824347
78	6969	376760.747695
79	724	376639.222697
80	8876	376225.790341
81	11846	371050.923400
82	294	369635.949282
83	702	365814.892869
84	515	357352.011514
85	375	351227.538495
86	10940	345061.347577
87	170	340622.981230
88	7965	326930.147872
89	732	324342.455316
90	608	322777.721804
91	3338	310817.204911
92	1735	303265.508312
93	240	300995.489768
94	828	296456.097455
95	2460	291067.742427
96	625	287927.109719
97	4498	282063.699487
98	5104	281139.677618
99	10088	280662.309323
100	6720	278653.897056
