Dataset: cit-HepTh
Vertices: 27769
Edges: 352285
Max Betweenness: 31528431.196295
Runtime (seconds): 298.931000
Memory Usage (MB): 3.54

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	22153	31528431.196295
2	14159	26669689.325159
3	19155	15466665.208545
4	26699	15411769.190734
5	25991	14140295.820961
6	16726	11898091.440731
7	22743	11776779.625211
8	14350	9656804.507123
9	26167	9465634.411821
10	15603	9418348.136200
11	22709	8108726.732493
12	651	5532604.833682
13	19400	5389879.494794
14	13240	5176494.876088
15	22116	5012825.308828
16	16907	4829066.774300
17	16838	4636074.488163
18	15156	4053620.452176
19	7079	4049165.805608
20	14724	3945773.835597
21	4345	3932315.455177
22	11054	3688904.177517
23	17389	3247304.615322
24	14487	3089625.591167
25	5338	3077574.525916
26	10572	3005445.022817
27	15195	2812094.455761
28	13758	2729730.640442
29	11788	2714124.060669
30	17550	2630088.591561
31	2832	2472101.645419
32	14811	2445286.119276
33	16195	2275557.142894
34	2156	2248728.107572
35	12064	2228637.345683
36	21761	2228528.330356
37	14908	2179206.814478
38	12191	2100932.535880
39	9945	2069746.613192
40	10750	2007678.593725
41	14328	2002337.861773
42	11439	1820298.907189
43	11905	1750586.849068
44	13294	1679323.237263
45	26244	1619990.401478
46	16612	1612200.292216
47	10331	1504078.165469
48	5228	1463310.328702
49	26824	1413197.281938
50	17852	1410767.257357
51	18733	1408175.017108
52	253	1407533.831716
53	8360	1388896.515467
54	17578	1381352.513785
55	10559	1375466.132837
56	12614	1368646.439129
57	27040	1345222.713139
58	17829	1335284.314241
59	10194	1327344.118244
60	8371	1315577.520430
61	22668	1313954.592547
62	13270	1305735.435234
63	11461	1284012.013023
64	6922	1230461.982671
65	3159	1216469.043218
66	1642	1210284.728574
67	16882	1185671.806216
68	13253	1184029.306760
69	18675	1174739.723115
70	22653	1169994.429515
71	10900	1159013.308896
72	10635	1158576.652450
73	245	1156117.002746
74	19688	1081293.043222
75	14962	1069705.748972
76	22430	1047026.328782
77	6386	1038588.391413
78	20774	1024417.208216
79	24152	1021873.524062
80	17747	1015808.177360
81	20230	1013043.684611
82	19576	1007041.083096
83	17211	1006338.187660
84	2676	995910.606726
85	16963	983893.523727
86	22119	977446.619758
87	24386	968029.028162
88	8544	965021.358455
89	13180	964745.061026
90	20363	955875.703742
91	15793	951591.419968
92	25318	945986.884135
93	17596	938570.266022
94	15270	925359.143930
95	15919	912954.154736
96	22923	908789.627533
97	24493	908746.677780
98	19694	901031.749456
99	26662	897784.563741
100	21957	888241.001879
