Dataset: citeseer
Vertices: 3264
Edges: 4536
Max Betweenness: 399409.261127
Runtime (seconds): 0.614000
Memory Usage (MB): 0.13

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	795	399409.261127
2	2907	327753.131926
3	870	302007.945500
4	179	287949.712916
5	867	252363.317013
6	2201	234893.655655
7	2230	234496.899459
8	2668	230530.278563
9	2092	228348.612405
10	170	227395.003253
11	1487	207061.130121
12	2093	205560.914062
13	1559	183856.814616
14	623	157260.473294
15	3222	147890.589654
16	1488	142737.391087
17	1284	141352.843995
18	1850	123942.414304
19	772	123341.002967
20	854	120167.872248
21	34	114992.294223
22	2754	114133.817008
23	802	113461.234813
24	830	103739.740493
25	821	103475.522562
26	1219	103210.337616
27	753	97770.381444
28	488	94898.000000
29	2061	92880.000000
30	1177	91461.509138
31	2366	89976.466353
32	735	88984.557263
33	2686	88511.894686
34	714	86825.202992
35	2695	83312.521465
36	2496	82406.946891
37	2220	82165.745130
38	1342	79950.758807
39	2309	79297.715575
40	844	78464.722197
41	2619	76152.773762
42	1859	75191.480460
43	1416	73842.733743
44	1358	70256.392823
45	490	69921.897597
46	558	69621.823308
47	3240	69051.030150
48	1267	68623.437847
49	920	67851.456021
50	1855	66874.639896
51	25	66626.971291
52	1455	66538.137560
53	1570	66275.401407
54	793	66175.636575
55	8	63168.413206
56	564	62708.494393
57	2741	61351.481745
58	3178	61101.029799
59	3191	59737.744731
60	1172	59659.274197
61	1199	59651.661206
62	2255	59223.776913
63	1348	58084.015726
64	670	58065.456951
65	779	57472.243400
66	184	57013.464098
67	1473	56726.871695
68	1641	55572.142735
69	1200	55503.616498
70	2827	55480.987914
71	175	55305.669313
72	875	54548.579317
73	3175	54276.436763
74	769	53923.475302
75	1080	53629.375384
76	2199	52519.632900
77	1918	51950.669332
78	2955	50795.472621
79	871	50444.947501
80	2088	49798.586977
81	2406	49316.854987
82	2369	49282.149652
83	446	49064.627586
84	601	48594.756085
85	646	48017.611321
86	1882	47912.951583
87	2207	47608.102147
88	2624	47250.868635
89	899	46432.622929
90	1117	45976.666667
91	2577	44702.347057
92	1134	44285.213629
93	1603	43636.541277
94	565	43536.370562
95	356	43197.181995
96	840	42599.667244
97	947	42436.037821
98	1874	42376.064294
99	2	42336.807851
100	31	42336.807851
