Dataset: cora
Vertices: 2708
Edges: 5278
Max Betweenness: 851504.958547
Runtime (seconds): 0.783000
Memory Usage (MB): 0.12

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	1	851504.958547
2	72	461853.341580
3	85	327229.249573
4	29	312567.147588
5	122	279728.850446
6	14	248753.178607
7	28	231425.851945
8	16	192243.855084
9	73	182551.695827
10	123	151082.632623
11	151	142401.320276
12	1741	126452.022476
13	544	119279.904026
14	380	108966.518149
15	329	107030.674990
16	88	105914.561938
17	174	95338.272845
18	43	95035.305888
19	1910	88188.765761
20	356	86425.205965
21	1363	83281.996513
22	53	80860.865644
23	208	79078.094047
24	118	78577.232119
25	505	77980.817505
26	1530	76440.136820
27	603	75329.988145
28	31	71886.753617
29	510	71500.466540
30	209	71178.902618
31	237	70679.619631
32	334	66546.413184
33	1315	65172.689041
34	1829	62746.112197
35	296	62215.603751
36	375	61891.648209
37	787	61842.508829
38	1078	61671.906626
39	280	60804.638897
40	709	60092.786661
41	604	59040.000000
42	65	58627.256615
43	48	58551.612809
44	1043	58371.086423
45	199	57898.535564
46	1469	56693.000000
47	241	55042.613324
48	1941	54611.222183
49	797	53483.477904
50	49	52621.783515
51	1166	52199.389272
52	3	51587.849712
53	839	51010.964208
54	1299	50711.708403
55	223	48767.063066
56	1201	48397.687968
57	287	48328.167438
58	1163	47547.100284
59	807	46800.123162
60	1136	45692.152356
61	1110	44017.293731
62	183	43967.100001
63	447	42606.102540
64	1147	41955.000000
65	844	41897.468241
66	2519	41685.103541
67	259	41076.530391
68	101	40541.460603
69	1480	39313.658871
70	302	38350.878094
71	473	37865.991545
72	465	37785.751074
73	1358	36591.649105
74	729	35530.413974
75	92	35030.283512
76	86	34732.253902
77	383	34507.404050
78	2302	34084.086267
79	499	33782.463225
80	1568	33648.645145
81	454	33417.828486
82	536	33218.068309
83	202	32866.884770
84	2060	32835.879380
85	2056	32748.258302
86	644	31343.556377
87	80	31243.446831
88	1052	30916.500000
89	1208	30816.319949
90	512	30749.402006
91	585	30533.399823
92	721	30416.531778
93	1086	30304.503925
94	318	30286.202970
95	1123	30153.275005
96	1128	30093.173164
97	503	29636.126917
98	421	29455.033642
99	1855	29062.231278
100	2135	28998.591374
