Dataset: er_1000_dense
Vertices: 1000
Edges: 10019
Max Betweenness: 2469.306013
Runtime (seconds): 0.266000
Memory Usage (MB): 0.11

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	824	2469.306013
2	58	2053.141145
3	657	1979.522318
4	253	1946.177030
5	153	1890.968220
6	670	1868.005169
7	677	1863.311759
8	185	1859.023599
9	469	1840.805938
10	64	1818.611712
11	416	1811.998948
12	307	1811.912482
13	218	1782.339936
14	424	1773.776845
15	668	1771.209059
16	606	1724.059248
17	301	1719.201590
18	593	1692.756226
19	513	1678.400829
20	697	1655.238895
21	198	1652.230716
22	116	1652.173625
23	712	1620.240045
24	56	1587.754174
25	870	1585.175208
26	927	1579.307054
27	189	1574.741094
28	860	1568.470482
29	280	1568.128507
30	646	1565.853716
31	396	1562.568649
32	708	1557.897350
33	754	1555.046717
34	629	1547.673735
35	497	1542.933719
36	163	1533.105780
37	830	1530.200299
38	742	1521.894268
39	763	1520.260673
40	722	1519.130267
41	998	1516.725341
42	454	1513.799382
43	256	1513.107712
44	586	1513.026342
45	55	1505.692207
46	471	1497.066546
47	845	1494.127850
48	249	1490.562778
49	49	1486.709045
50	473	1484.897024
51	990	1478.203043
52	755	1471.805158
53	864	1471.381287
54	617	1469.802650
55	900	1468.560407
56	5	1467.117779
57	802	1459.331719
58	981	1454.020260
59	571	1452.533694
60	921	1437.442648
61	909	1429.707632
62	636	1422.169103
63	477	1417.006960
64	100	1415.468064
65	239	1413.791177
66	200	1405.389437
67	687	1402.883465
68	734	1400.675629
69	101	1394.273278
70	537	1391.281753
71	403	1385.683341
72	709	1380.900087
73	9	1380.680214
74	568	1380.202350
75	599	1372.749944
76	894	1368.465844
77	70	1358.473247
78	231	1356.687498
79	804	1352.515333
80	726	1351.979456
81	379	1350.250803
82	333	1348.344339
83	210	1346.283055
84	172	1341.114206
85	783	1337.659729
86	264	1337.402947
87	422	1337.290449
88	66	1327.543462
89	816	1326.873207
90	732	1324.056075
91	290	1321.814853
92	429	1321.308516
93	822	1314.681351
94	75	1311.765859
95	564	1309.437568
96	879	1305.970059
97	382	1305.548716
98	853	1305.282401
99	996	1304.777714
100	851	1301.435229
