Dataset: er_1000_sparse
Vertices: 1000
Edges: 2472
Max Betweenness: 10550.750820
Runtime (seconds): 0.143000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	343	10550.750820
2	197	9150.685674
3	49	8899.690916
4	495	7721.968280
5	610	7484.323681
6	333	7202.278882
7	61	7188.814140
8	340	6922.904344
9	275	6729.046911
10	490	6556.647455
11	972	6455.270456
12	166	6345.661803
13	681	6307.769664
14	590	6259.769306
15	136	6201.831434
16	247	6103.094328
17	391	6028.805800
18	446	6004.704980
19	3	5976.903890
20	713	5934.820866
21	416	5856.076006
22	724	5814.473718
23	771	5798.669875
24	978	5711.286327
25	657	5471.680083
26	46	5440.667409
27	80	5424.357066
28	155	5406.423488
29	124	5381.095854
30	780	5334.365974
31	928	5322.703373
32	172	5209.517111
33	668	5196.555725
34	537	5169.619142
35	156	5159.230191
36	313	5149.442739
37	306	5065.777545
38	924	4988.663097
39	148	4926.837215
40	981	4876.879664
41	411	4824.062424
42	281	4817.161439
43	298	4788.470845
44	673	4749.408709
45	277	4679.322452
46	605	4660.298083
47	778	4659.025954
48	943	4650.776907
49	111	4630.812097
50	666	4589.369720
51	378	4567.797332
52	979	4554.275934
53	308	4550.132409
54	517	4533.332289
55	961	4500.185849
56	98	4463.861757
57	474	4444.957076
58	695	4437.899770
59	258	4421.932778
60	164	4383.585230
61	1	4376.094510
62	105	4366.120334
63	375	4341.574902
64	843	4337.567946
65	264	4289.926893
66	481	4254.917771
67	328	4205.907701
68	852	4184.823735
69	303	4179.098419
70	999	4132.889952
71	889	4119.976552
72	273	4118.974900
73	753	4082.401143
74	818	4040.975443
75	779	4035.680934
76	239	4032.913938
77	466	4031.568718
78	451	4027.431484
79	729	4012.521076
80	585	3998.589896
81	601	3937.072580
82	620	3904.021471
83	112	3901.441756
84	448	3893.660599
85	650	3891.801424
86	860	3881.688255
87	745	3878.895625
88	655	3872.394039
89	684	3854.084455
90	442	3849.426257
91	911	3824.969933
92	850	3807.783427
93	63	3762.657935
94	536	3748.951847
95	427	3735.737275
96	412	3733.569019
97	219	3726.256940
98	470	3723.062530
99	130	3699.115147
100	134	3694.522442
