Dataset: er_5k_dense
Vertices: 5000
Edges: 37568
Max Betweenness: 21732.019411
Runtime (seconds): 5.673000
Memory Usage (MB): 0.44

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	1745	21732.019411
2	1814	21012.122028
3	949	20727.513383
4	3471	20429.070558
5	1418	19987.055883
6	540	19915.227486
7	3773	19353.707159
8	2212	18603.639935
9	2865	18575.399332
10	256	18334.822694
11	3112	18248.160847
12	4891	18226.590760
13	1920	18214.615730
14	4722	18048.062646
15	696	17469.810769
16	723	17457.797062
17	259	17398.333085
18	3389	17177.164901
19	3334	17062.662932
20	4716	16918.221646
21	362	16859.471384
22	4449	16788.281415
23	458	16615.108372
24	528	16584.613512
25	4566	16366.880757
26	1684	16351.764207
27	3402	16341.010506
28	669	16060.914091
29	3201	16006.400014
30	20	16004.112435
31	1219	15984.411116
32	261	15982.541344
33	1566	15968.467443
34	2858	15961.772169
35	805	15947.722703
36	1851	15875.841181
37	4098	15801.852424
38	4600	15671.823585
39	2983	15667.865998
40	1095	15599.720493
41	4068	15534.727965
42	2386	15427.420133
43	633	15384.283151
44	770	15329.781089
45	687	15254.094221
46	675	15248.651009
47	4488	15240.600937
48	3638	15184.316448
49	67	15171.050623
50	3373	15160.846392
51	1166	15144.780504
52	3346	15129.077899
53	74	15108.752994
54	3097	15082.724575
55	3215	15071.434247
56	4313	15062.553879
57	1699	14994.769707
58	3474	14962.118374
59	4925	14888.594381
60	843	14870.823883
61	110	14778.556446
62	1343	14761.579637
63	4165	14714.788638
64	4911	14706.740235
65	1740	14670.799576
66	1259	14667.718880
67	2767	14643.510334
68	3067	14625.262161
69	1211	14605.648319
70	4978	14590.799790
71	367	14551.129758
72	3906	14546.191465
73	2576	14530.575937
74	1789	14482.062710
75	451	14466.257886
76	2425	14460.394956
77	4856	14459.573260
78	873	14449.468652
79	2958	14432.832731
80	1489	14403.712937
81	3210	14370.246154
82	2155	14342.114473
83	4921	14313.739144
84	884	14286.969452
85	3104	14279.536277
86	3459	14201.806851
87	4505	14197.384100
88	1741	14181.946184
89	144	14171.512387
90	3145	14116.587745
91	3602	14095.976810
92	4768	14092.315353
93	3852	14087.585704
94	4328	14077.467436
95	442	14074.485720
96	3895	14072.081153
97	727	14008.412456
98	3670	14004.555191
99	1586	13993.525241
100	2494	13967.241447
