Dataset: er_5k_sparse
Vertices: 5000
Edges: 12574
Max Betweenness: 104070.633168
Runtime (seconds): 3.341000
Memory Usage (MB): 0.25

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	281	104070.633168
2	785	89730.974317
3	115	85111.959008
4	4572	84625.544573
5	2804	82420.786854
6	3787	79193.331294
7	343	75811.243791
8	1363	67831.366875
9	2117	66012.621986
10	2178	65275.592949
11	3984	61251.830228
12	3450	59991.389985
13	3370	58572.285234
14	1300	57082.000961
15	4248	53370.569009
16	1148	53103.359240
17	895	52994.275723
18	420	52252.769336
19	3600	51174.810550
20	2296	50897.468847
21	3213	50878.078045
22	4355	50302.733049
23	2862	49883.917302
24	843	49671.112112
25	3979	48957.112069
26	942	48926.267704
27	3462	48580.939958
28	4250	46962.203922
29	1359	46814.934908
30	1645	46271.488795
31	2211	45974.120681
32	3937	45962.785795
33	2619	45686.370836
34	2372	45616.842292
35	3652	45475.078234
36	1557	45059.298457
37	322	45004.949918
38	561	44981.468740
39	4512	44916.899434
40	4963	44588.125409
41	4609	44528.201304
42	3750	44442.440019
43	1058	44328.959912
44	2962	44047.662783
45	4661	44020.745179
46	4339	43724.734616
47	3497	43554.668112
48	2371	43533.808476
49	1751	43430.287465
50	2873	43401.151522
51	2010	43154.129925
52	3823	42828.024684
53	2436	42767.873300
54	638	42740.102907
55	2250	42718.190077
56	1742	42466.266299
57	840	42385.367167
58	195	42282.247759
59	2573	42274.143079
60	1872	42226.683919
61	1691	42189.645054
62	3673	42141.247283
63	483	42124.499234
64	3559	41881.781523
65	778	41747.657417
66	4712	41606.738081
67	4475	41497.498141
68	744	41454.354505
69	2247	41390.887855
70	2569	41358.878563
71	3989	41268.610380
72	639	41265.677577
73	395	41207.122486
74	2272	41166.084625
75	1777	41144.893626
76	1674	40980.127348
77	4829	40919.704492
78	3479	40637.269514
79	1474	40529.411333
80	1560	40522.484523
81	2172	40454.842948
82	1487	40366.000859
83	4064	40364.032949
84	4822	40281.120790
85	3310	40159.437560
86	4267	40151.833527
87	4298	40117.889268
88	2494	40092.745524
89	1230	40066.108769
90	3930	39905.973822
91	2921	39884.113967
92	3340	39808.231514
93	3055	39605.369310
94	2849	39579.316289
95	4971	39546.083635
96	833	39355.923876
97	1650	39303.434020
98	3032	39065.047814
99	1299	39050.157228
100	2814	38790.308420
