Dataset,Vertices,Edges,MaxBC,Runtime_sec,Memory_MB,AvgDegree,Density
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9865,2937.239008,0.237000,0.11,19.7300,1.974975e-02
er_1000_sparse,1000,2492,12329.851642,0.168000,0.05,4.9840,4.988989e-03
er_100_dense,100,1046,82.967445,0.003000,0.01,20.9200,2.113131e-01
er_100_sparse,100,253,393.016144,0.002000,0.00,5.0600,5.111111e-02
er_10k_dense,10000,49722,82218.916649,14.720000,0.68,9.9444,9.945395e-04
er_10k_sparse,10000,24850,180551.812792,10.072000,0.49,4.9700,4.970497e-04
er_500_dense,500,6364,877.627908,0.142000,0.06,25.4560,5.101403e-02
er_500_sparse,500,1280,3201.663993,0.062000,0.03,5.1200,1.026052e-02
er_5k_dense,5000,37714,23973.875946,4.453000,0.44,15.0856,3.017724e-03
er_5k_sparse,5000,12660,79010.713385,2.454000,0.25,5.0640,1.013003e-03
ba_1k_m3,1000,2991,61640.884220,0.107000,0.05,5.9820,5.987988e-03
ba_1k_m5,1000,4975,46432.337240,0.213000,0.07,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,4899.880432,0.212000,0.07,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,14064.595197,0.128000,0.05,6.0000,6.006006e-03
er_5k_dense,5000,37714,23973.875946,4.878000,0.44,15.0856,3.017724e-03
er_5k_sparse,5000,12660,79010.713385,2.527000,0.25,5.0640,1.013003e-03
er_10k_dense,10000,49722,82218.916649,14.521000,0.68,9.9444,9.945395e-04
er_10k_sparse,10000,24850,180551.812792,10.042000,0.49,4.9700,4.970497e-04
ba_5k_m3,5000,14991,1668296.017973,2.608000,0.27,5.9964,1.199520e-03
ba_5k_m5,5000,24975,1130944.043620,3.148000,0.34,9.9900,1.998400e-03
ba_10k_m3,10000,29991,8239775.047999,10.583000,0.53,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,155296.487484,2.231000,0.27,6.0000,1.200240e-03
cit-DBLP,12592,49621,11391541.943472,17.071000,0.76,7.8814,6.259513e-04
cit-HepTh,27769,352285,31528431.196295,186.544000,3.54,25.3725,9.137330e-04
citeseer,3264,4536,399409.261127,0.323000,0.13,2.7794,8.517964e-04
cora,2708,5278,851504.958547,0.450000,0.12,3.8981,1.440000e-03
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9920,2255.175111,0.200000,0.11,19.8400,1.985986e-02
er_1000_sparse,1000,2511,11105.425677,0.101000,0.05,5.0220,5.027027e-03
er_100_dense,100,1007,96.813471,0.004000,0.01,20.1400,2.034343e-01
er_100_sparse,100,260,515.349562,0.002000,0.01,5.2000,5.252525e-02
er_10k_dense,10000,49700,84442.553098,14.825000,0.68,9.9400,9.940994e-04
er_10k_sparse,10000,25314,180568.253523,8.952000,0.50,5.0628,5.063306e-04
er_500_dense,500,6279,864.411387,0.042000,0.06,25.1160,5.033267e-02
er_500_sparse,500,1212,3358.657649,0.019000,0.02,4.8480,9.715431e-03
er_5k_dense,5000,37567,23225.504822,3.732000,0.44,15.0268,3.005961e-03
er_5k_sparse,5000,12655,85474.642866,2.080000,0.25,5.0620,1.012603e-03
ba_1k_m3,1000,2991,104307.109519,0.080000,0.05,5.9820,5.987988e-03
ba_1k_m5,1000,4975,54951.515531,0.098000,0.07,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,4027.345730,0.108000,0.07,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,18926.436718,0.075000,0.05,6.0000,6.006006e-03
er_5k_dense,5000,37567,23225.504822,3.719000,0.44,15.0268,3.005961e-03
