Dataset: ws_1k_k6_p01
Vertices: 1000
Edges: 3000
Max Betweenness: 17282.461846
Runtime (seconds): 0.231000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Betweenness Centrality ===
Rank	Vertex_ID	Betweenness
1	52	17282.461846
2	4	15820.562472
3	502	12533.960235
4	279	11910.443002
5	60	11755.565679
6	120	10738.474790
7	479	10548.020294
8	198	10310.509989
9	224	10195.784749
10	720	9977.702418
11	889	9896.876990
12	209	9817.309437
13	627	9787.609294
14	455	9726.934429
15	17	9094.958595
16	908	8835.697122
17	535	8737.724159
18	742	8608.298463
19	725	8569.529420
20	550	8272.579344
21	61	8265.915981
22	226	8062.039268
23	259	8037.904728
24	504	8028.087887
25	866	7973.740909
26	980	7921.155857
27	338	7867.453461
28	196	7864.932885
29	92	7838.886551
30	609	7789.748511
31	676	7731.232975
32	970	7647.479204
33	461	7602.936078
34	204	7501.756557
35	64	7499.601139
36	405	7318.190927
37	166	7172.085672
38	792	7159.179809
39	193	7109.901046
40	55	7059.282604
41	577	7058.646494
42	476	7039.412565
43	406	7004.759061
44	243	6924.662891
45	195	6898.067414
46	307	6867.691385
47	860	6853.766567
48	778	6852.917748
49	317	6826.825035
50	201	6808.515208
51	303	6798.541607
52	895	6660.058111
53	678	6655.229104
54	524	6621.990424
55	225	6609.579519
56	757	6555.993261
57	643	6536.039415
58	108	6526.105258
59	564	6471.626658
60	546	6458.082403
61	344	6434.742115
62	482	6417.337775
63	568	6363.575761
64	100	6248.766984
65	630	6228.598539
66	404	6215.906828
67	365	6214.612221
68	409	6185.369912
69	598	6179.027600
70	837	6168.771227
71	964	6148.763088
72	437	6142.951377
73	301	6092.150968
74	331	6070.424186
75	315	6065.014454
76	548	6054.494848
77	557	6051.310211
78	376	6049.334997
79	352	6038.112622
80	723	6015.065605
81	599	5994.055381
82	121	5993.251539
83	819	5971.416144
84	477	5941.986611
85	923	5940.722305
86	351	5937.955718
87	758	5916.488736
88	158	5910.716228
89	771	5878.187618
90	847	5859.636675
91	458	5841.120961
92	131	5808.812886
93	300	5743.195373
94	95	5736.180535
95	156	5697.310770
96	50	5680.029197
97	439	5672.991109
98	418	5640.684896
99	849	5601.451191
100	1	5596.530159
