Node,Betweenness,BridgingCoefficient,BridgingCentrality
4107,0.0000000000,0.3333333333,0.0000000000
8557,0.0000000000,0.3333333333,0.0000000000
7309,0.0000000000,0.3333333333,0.0000000000
6860,0.0000000000,0.3333333333,0.0000000000
8619,0.0000000000,0.3333333333,0.0000000000
8052,0.0000000000,0.3333333333,0.0000000000
3878,0.0000000000,0.3333333333,0.0000000000
3835,0.0000000000,0.3333333333,0.0000000000
3242,0.0000000000,0.3333333333,0.0000000000
9297,0.0000000000,0.3333333333,0.0000000000
8226,0.0000000000,0.3333333333,0.0000000000
6829,0.0000000000,0.3333333333,0.0000000000
9898,0.0000000000,0.3333333333,0.0000000000
9100,0.0000000000,0.3333333333,0.0000000000
6585,0.0000000000,0.3333333333,0.0000000000
9060,0.0000000000,0.3333333333,0.0000000000
9020,0.0000000000,0.3333333333,0.0000000000
8143,0.0000000000,0.3333333333,0.0000000000
9128,0.0000000000,0.3333333333,0.0000000000
9498,0.0000000000,0.3333333333,0.0000000000
7842,0.0000000000,0.3333333333,0.0000000000
4466,0.0000000000,0.3333333333,0.0000000000
9951,0.0000000000,0.3333333333,0.0000000000
9941,0.0000000000,0.3333333333,0.0000000000
9323,0.0000000000,0.3333333333,0.0000000000
3971,0.0000000000,0.3333333333,0.0000000000
9825,0.0000000000,0.3333333333,0.0000000000
9490,0.0000000000,0.3333333333,0.0000000000
7694,0.0000000000,0.3333333333,0.0000000000
9428,0.0000000000,0.3333333333,0.0000000000
6940,0.0000000000,0.3333333333,0.0000000000
8401,0.0000000000,0.3333333333,0.0000000000
4443,0.0000000000,0.3333333333,0.0000000000
7577,0.0000000000,0.3333333333,0.0000000000
6931,0.0000000000,0.3333333333,0.0000000000
1844,0.0000000000,0.3333333333,0.0000000000
6641,0.0000000000,0.3333333333,0.0000000000
3345,0.0000000000,0.3333333333,0.0000000000
6770,0.0000000000,0.3333333333,0.0000000000
9857,0.0000000000,0.3333333333,0.0000000000
9585,0.0000000000,0.3333333333,0.0000000000
8871,0.0000000000,0.3333333333,0.0000000000
8055,0.0000000000,0.3333333333,0.0000000000
4634,0.0000000000,0.3333333333,0.0000000000
2055,0.0000000000,0.3333333333,0.0000000000
1971,0.0000000000,0.3333333333,0.0000000000
4955,0.0000000000,0.3333333333,0.0000000000
4311,0.0000000000,0.3333333333,0.0000000000
9567,0.0000000000,0.3333333333,0.0000000000
3674,0.0000000000,0.3333333333,0.0000000000
4946,0.0000000000,0.3333333333,0.0000000000
9141,0.0000000000,0.3333333333,0.0000000000
9110,0.0000000000,0.3333333333,0.0000000000
3564,0.0000000000,0.3333333333,0.0000000000
7229,0.0000000000,0.3333333333,0.0000000000
7150,0.0000000000,0.3333333333,0.0000000000
6402,0.0000000000,0.3333333333,0.0000000000
7207,0.0000000000,0.3333333333,0.0000000000
9689,0.0000000000,0.3333333333,0.0000000000
9109,0.0000000000,0.3333333333,0.0000000000
4639,0.0000000000,0.3333333333,0.0000000000
8704,0.0000000000,0.3333333333,0.0000000000
7574,0.0000000000,0.3333333333,0.0000000000
7395,0.0000000000,0.3333333333,0.0000000000
9499,0.0000000000,0.3333333333,0.0000000000
9990,0.0000000000,0.3333333333,0.0000000000
8198,0.0000000000,0.3333333333,0.0000000000
7139,0.0000000000,0.3333333333,0.0000000000
8737,0.0000000000,0.3333333333,0.0000000000
4318,0.0000000000,0.3333333333,0.0000000000
9635,0.0000000000,0.3333333333,0.0000000000
5814,0.0000000000,0.3333333333,0.0000000000
9712,0.0000000000,0.3333333333,0.0000000000
7242,0.0000000000,0.3333333333,0.0000000000
6898,0.0000000000,0.3333333333,0.0000000000
6525,0.0000000000,0.3333333333,0.0000000000
5983,0.0000000000,0.3333333333,0.0000000000
4687,0.0000000000,0.3333333333,0.0000000000
4293,0.0000000000,0.3333333333,0.0000000000
1624,0.0000000000,0.3333333333,0.0000000000
9979,0.0000000000,0.3333333333,0.0000000000
1650,0.0000000000,0.3333333333,0.0000000000
9536,0.0000000000,0.3333333333,0.0000000000
9224,0.0000000000,0.3333333333,0.0000000000
5044,0.0000000000,0.3333333333,0.0000000000
3894,0.0000000000,0.3333333333,0.0000000000
9920,0.0000000000,0.3333333333,0.0000000000
4533,0.0000000000,0.3333333333,0.0000000000
4268,0.0000000000,0.3333333333,0.0000000000
9683,0.0000000000,0.3333333333,0.0000000000
8936,0.0000000000,0.3333333333,0.0000000000
8760,0.0000000000,0.3333333333,0.0000000000
4681,0.0000000000,0.3333333333,0.0000000000
3202,0.0000000000,0.3333333333,0.0000000000
2355,0.0000000000,0.3333333333,0.0000000000
1065,0.0000000000,0.3333333333,0.0000000000
8263,0.0000000000,0.3333333333,0.0000000000
2631,0.0000000000,0.3333333333,0.0000000000
9795,0.0000000000,0.3333333333,0.0000000000
9132,0.0000000000,0.3333333333,0.0000000000
7464,0.0000000000,0.3333333333,0.0000000000
6510,0.0000000000,0.3333333333,0.0000000000
3782,0.0000000000,0.3333333333,0.0000000000
3347,0.0000000000,0.3333333333,0.0000000000
1857,0.0000000000,0.3333333333,0.0000000000
4512,0.0000000000,0.3333333333,0.0000000000
9599,0.0000000000,0.3333333333,0.0000000000
7832,0.0000000000,0.3333333333,0.0000000000
6569,0.0000000000,0.3333333333,0.0000000000
4508,0.0000000000,0.3333333333,0.0000000000
8691,0.0000000000,0.3333333333,0.0000000000
3456,0.0000000000,0.3333333333,0.0000000000
1975,0.0000000000,0.3333333333,0.0000000000
8048,0.0000000000,0.3333333333,0.0000000000
7117,0.0000000000,0.3333333333,0.0000000000
5013,0.0000000000,0.3333333333,0.0000000000
