Node,Betweenness,BridgingCoefficient,BridgingCentrality
7987,0.0000000000,0.0238095238,0.0000000000
7986,0.0000000000,0.0238095238,0.0000000000
7985,0.0000000000,0.0238095238,0.0000000000
7983,0.0000000000,0.0238095238,0.0000000000
7982,0.0000000000,0.0238095238,0.0000000000
7980,0.0000000000,0.0238095238,0.0000000000
7979,0.0000000000,0.0238095238,0.0000000000
7978,0.0000000000,0.0238095238,0.0000000000
7977,0.0000000000,0.0238095238,0.0000000000
7975,0.0000000000,0.0238095238,0.0000000000
7973,0.0000000000,0.0238095238,0.0000000000
7972,0.0000000000,0.0238095238,0.0000000000
7971,0.0000000000,0.0238095238,0.0000000000
7970,0.0000000000,0.0238095238,0.0000000000
7968,0.0000000000,0.0238095238,0.0000000000
7967,0.0000000000,0.0238095238,0.0000000000
7966,0.0000000000,0.0238095238,0.0000000000
7946,0.0000000000,0.0370370370,0.0000000000
7944,0.0000000000,0.0370370370,0.0000000000
7943,0.0000000000,0.0370370370,0.0000000000
7931,0.0000000000,0.1250000000,0.0000000000
7917,0.0000000000,0.0833333333,0.0000000000
7893,0.0000000000,0.0909090909,0.0000000000
7892,0.0000000000,0.0909090909,0.0000000000
7891,0.0000000000,0.0909090909,0.0000000000
7890,0.0000000000,0.0909090909,0.0000000000
7884,0.0000000000,0.1666666667,0.0000000000
7883,0.0000000000,0.1666666667,0.0000000000
8153,0.0000000000,0.0416666667,0.0000000000
8152,0.0000000000,0.0416666667,0.0000000000
8151,0.0000000000,0.0416666667,0.0000000000
8150,0.0000000000,0.0416666667,0.0000000000
8149,0.0000000000,0.0416666667,0.0000000000
8148,0.0000000000,0.0416666667,0.0000000000
8147,0.0000000000,0.0416666667,0.0000000000
8146,0.0000000000,0.0416666667,0.0000000000
8145,0.0000000000,0.0416666667,0.0000000000
7881,0.0000000000,0.0625000000,0.0000000000
7880,0.0000000000,0.0625000000,0.0000000000
7878,0.0000000000,0.0625000000,0.0000000000
7862,0.0000000000,0.0588235294,0.0000000000
