Node,Betweenness,BridgingCoefficient,BridgingCentrality
20670,0.0000000000,0.0000000000,0.0000000000
15526,0.0000000000,0.2025580435,0.0000000000
10200,0.0000000000,0.0000000000,0.0000000000
9131,0.0000000000,0.0000000000,0.0000000000
17198,0.0000000000,0.2500000000,0.0000000000
13747,0.0000000000,0.0357142857,0.0000000000
17295,0.0000000000,0.1373737374,0.0000000000
10846,0.0000000000,0.0000000000,0.0000000000
17457,0.0000000000,0.1612529792,0.0000000000
12703,0.0000000000,0.3426363636,0.0000000000
10160,0.0000000000,0.3333333333,0.0000000000
19657,0.0000000000,0.1625000000,0.0000000000
11204,0.0000000000,0.0833333333,0.0000000000
17039,0.0000000000,0.0000000000,0.0000000000
8611,0.0000000000,0.3333333333,0.0000000000
20132,0.0000000000,0.0940170940,0.0000000000
9370,0.0000000000,0.0000000000,0.0000000000
9935,0.0000000000,0.5000000000,0.0000000000
14555,0.0000000000,0.2268518519,0.0000000000
11746,0.0000000000,0.5000000000,0.0000000000
12385,0.0000000000,0.3333333333,0.0000000000
18679,0.0000000000,0.1867724868,0.0000000000
18303,0.0000000000,0.2347378277,0.0000000000
15845,0.0000000000,0.3070261438,0.0000000000
9848,0.0000000000,0.0596230159,0.0000000000
12829,0.0000000000,0.0835317460,0.0000000000
19873,0.0000000000,0.1507936508,0.0000000000
8740,0.0000000000,1.0000000000,0.0000000000
17615,0.0000000000,0.0000000000,0.0000000000
17021,0.0000000000,0.1328197946,0.0000000000
18889,0.0000000000,0.5277777778,0.0000000000
14953,0.0000000000,0.2285714286,0.0000000000
13656,0.0000000000,0.1500000000,0.0000000000
20558,0.0000000000,0.5000000000,0.0000000000
15062,0.0000000000,0.3125000000,0.0000000000
13984,0.0000000000,0.7500000000,0.0000000000
13611,0.0000000000,0.5000000000,0.0000000000
11277,0.0000000000,0.5000000000,0.0000000000
17169,0.0000000000,0.1776276276,0.0000000000
13322,0.0000000000,0.1547619048,0.0000000000
13474,0.0000000000,0.0303030303,0.0000000000
11681,0.0000000000,0.1666666667,0.0000000000
17527,0.0000000000,0.1449795575,0.0000000000
17339,0.0000000000,0.3847142224,0.0000000000
20749,0.0000000000,0.0715847812,0.0000000000
9698,0.0000000000,1.0000000000,0.0000000000
8359,0.0000000000,0.5666666667,0.0000000000
11725,0.0000000000,0.5000000000,0.0000000000
12258,0.0000000000,0.0909090909,0.0000000000
20235,0.0000000000,0.0431235431,0.0000000000
8133,0.0000000000,0.5000000000,0.0000000000
8895,0.0000000000,1.0000000000,0.0000000000
17402,0.0000000000,0.1318164627,0.0000000000
12491,0.0000000000,0.1666666667,0.0000000000
9633,0.0000000000,0.0000000000,0.0000000000
10201,0.0000000000,1.0000000000,0.0000000000
9211,0.0000000000,0.0651260504,0.0000000000
10050,0.0000000000,0.1666666667,0.0000000000
7687,0.0000000000,0.0000000000,0.0000000000
19440,0.0000000000,0.2500000000,0.0000000000
17024,0.0000000000,0.1428571429,0.0000000000
17651,0.0000000000,0.3061224490,0.0000000000
19535,0.0000000000,0.0434782609,0.0000000000
19436,0.0000000000,0.0275530839,0.0000000000
20320,0.0000000000,0.0345060650,0.0000000000
20244,0.0000000000,0.0725545331,0.0000000000
19381,0.0000000000,0.0436371100,0.0000000000
9881,0.0000000000,0.3333333333,0.0000000000
14090,0.0000000000,0.0830208749,0.0000000000
10426,0.0000000000,0.1428571429,0.0000000000
10770,0.0000000000,0.3333333333,0.0000000000
17841,0.0000000000,0.2321428571,0.0000000000
20506,0.0000000000,0.1091985085,0.0000000000
18380,0.0000000000,0.2453703704,0.0000000000
16428,0.0000000000,0.4388888889,0.0000000000
9232,0.0000000000,0.0000000000,0.0000000000
20187,0.0000000000,0.0164022326,0.0000000000
9439,0.0000000000,0.1666666667,0.0000000000
7664,0.0000000000,1.0000000000,0.0000000000
19531,0.0000000000,0.5000000000,0.0000000000
20722,0.0000000000,0.2368055556,0.0000000000
19681,0.0000000000,0.0000000000,0.0000000000
8061,0.0000000000,0.1666666667,0.0000000000
19402,0.0000000000,0.0370759535,0.0000000000
12601,0.0000000000,1.0000000000,0.0000000000
7548,0.0000000000,1.0000000000,0.0000000000
15599,0.0000000000,0.0931049627,0.0000000000
9499,0.0000000000,0.0000000000,0.0000000000
6842,0.0000000000,0.0178571429,0.0000000000
19036,0.0000000000,0.7500000000,0.0000000000
27358,0.0000000000,1.0000000000,0.0000000000
7677,0.0000000000,0.0000000000,0.0000000000
12139,0.0000000000,0.0484848485,0.0000000000
18925,0.0000000000,0.2222222222,0.0000000000
16479,0.0000000000,0.2692307692,0.0000000000
7895,0.0000000000,0.0000000000,0.0000000000
14672,0.0000000000,0.2500000000,0.0000000000
14271,0.0000000000,0.0000000000,0.0000000000
19879,0.0000000000,0.1429813665,0.0000000000
8482,0.0000000000,1.0000000000,0.0000000000
