Node,Betweenness,BridgingCoefficient,BridgingCentrality
1440,0.0000000000,0.0000000000,0.0000000000
2177,0.0000000000,1.0000000000,0.0000000000
1736,0.0000000000,0.0000000000,0.0000000000
2327,0.0000000000,0.5000000000,0.0000000000
2344,0.0000000000,0.0000000000,0.0000000000
1731,0.0000000000,0.0000000000,0.0000000000
2326,0.0000000000,0.0000000000,0.0000000000
1446,0.0000000000,0.3333333333,0.0000000000
1433,0.0000000000,0.0000000000,0.0000000000
2313,0.0000000000,0.5416666667,0.0000000000
1738,0.0000000000,0.0000000000,0.0000000000
1409,0.0000000000,0.0000000000,0.0000000000
2296,0.0000000000,0.5000000000,0.0000000000
1739,0.0000000000,0.0000000000,0.0000000000
1827,0.0000000000,1.0000000000,0.0000000000
1767,0.0000000000,0.0000000000,0.0000000000
2194,0.0000000000,0.1250000000,0.0000000000
1776,0.0000000000,0.3750000000,0.0000000000
1648,0.0000000000,0.0000000000,0.0000000000
2316,0.0000000000,0.3000000000,0.0000000000
1988,0.0000000000,0.0000000000,0.0000000000
2210,0.0000000000,0.5000000000,0.0000000000
1554,0.0000000000,0.0000000000,0.0000000000
1840,0.0000000000,0.0000000000,0.0000000000
1333,0.0000000000,0.0000000000,0.0000000000
1335,0.0000000000,0.7500000000,0.0000000000
2350,0.0000000000,1.0000000000,0.0000000000
1325,0.0000000000,0.0000000000,0.0000000000
2019,0.0000000000,0.0000000000,0.0000000000
2140,0.0000000000,0.0000000000,0.0000000000
1761,0.0000000000,0.7500000000,0.0000000000
1942,0.0000000000,0.0000000000,0.0000000000
2162,0.0000000000,0.6000000000,0.0000000000
1885,0.0000000000,0.2000000000,0.0000000000
1862,0.0000000000,0.0000000000,0.0000000000
1502,0.0000000000,0.0000000000,0.0000000000
1952,0.0000000000,0.0000000000,0.0000000000
1623,0.0000000000,0.0000000000,0.0000000000
1593,0.0000000000,0.0000000000,0.0000000000
1947,0.0000000000,1.0000000000,0.0000000000
1670,0.0000000000,1.0000000000,0.0000000000
1436,0.0000000000,0.0000000000,0.0000000000
1787,0.0000000000,0.2500000000,0.0000000000
2106,0.0000000000,0.0000000000,0.0000000000
1442,0.0000000000,0.1428571429,0.0000000000
2258,0.0000000000,0.6000000000,0.0000000000
1279,0.0000000000,1.0000000000,0.0000000000
1278,0.0000000000,0.5000000000,0.0000000000
1681,0.0000000000,0.0000000000,0.0000000000
1271,0.0000000000,0.3333333333,0.0000000000
1312,0.0000000000,0.3333333333,0.0000000000
2128,0.0000000000,0.6111111111,0.0000000000
2068,0.0000000000,0.0000000000,0.0000000000
1700,0.0000000000,0.0000000000,0.0000000000
1810,0.0000000000,0.0000000000,0.0000000000
2192,0.0000000000,0.0625000000,0.0000000000
1299,0.0000000000,0.0000000000,0.0000000000
1899,0.0000000000,0.0000000000,0.0000000000
1248,0.0000000000,0.0000000000,0.0000000000
1617,0.0000000000,0.3333333333,0.0000000000
1253,0.0000000000,0.6666666667,0.0000000000
2098,0.0000000000,0.1666666667,0.0000000000
1996,0.0000000000,0.1666666667,0.0000000000
1828,0.0000000000,0.1666666667,0.0000000000
1826,0.0000000000,0.1666666667,0.0000000000
1297,0.0000000000,0.5000000000,0.0000000000
2137,0.0000000000,0.5000000000,0.0000000000
1981,0.0000000000,0.3333333333,0.0000000000
1556,0.0000000000,0.3333333333,0.0000000000
1920,0.0000000000,0.0000000000,0.0000000000
1315,0.0000000000,0.0000000000,0.0000000000
2211,0.0000000000,0.0555555556,0.0000000000
1627,0.0000000000,0.5000000000,0.0000000000
1183,0.0000000000,0.0000000000,0.0000000000
1636,0.0000000000,0.5000000000,0.0000000000
2317,0.0000000000,0.5083333333,0.0000000000
2233,0.0000000000,1.0000000000,0.0000000000
2104,0.0000000000,0.5000000000,0.0000000000
1396,0.0000000000,1.0000000000,0.0000000000
1221,0.0000000000,1.0000000000,0.0000000000
1181,0.0000000000,0.5000000000,0.0000000000
1411,0.0000000000,1.0000000000,0.0000000000
1682,0.0000000000,0.0000000000,0.0000000000
2331,0.0000000000,0.1666666667,0.0000000000
1166,0.0000000000,0.0000000000,0.0000000000
1159,0.0000000000,0.0000000000,0.0000000000
1145,0.0000000000,0.5000000000,0.0000000000
1144,0.0000000000,0.0000000000,0.0000000000
1551,0.0000000000,0.5000000000,0.0000000000
1229,0.0000000000,0.0000000000,0.0000000000
1116,0.0000000000,0.0000000000,0.0000000000
1096,0.0000000000,0.0000000000,0.0000000000
1757,0.0000000000,1.0000000000,0.0000000000
1239,0.0000000000,1.0000000000,0.0000000000
1088,0.0000000000,0.6666666667,0.0000000000
1106,0.0000000000,0.0000000000,0.0000000000
2173,0.0000000000,0.2500000000,0.0000000000
1422,0.0000000000,0.0000000000,0.0000000000
1115,0.0000000000,0.0000000000,0.0000000000
1093,0.0000000000,0.0000000000,0.0000000000
1053,0.0000000000,0.7500000000,0.0000000000
1049,0.0000000000,1.0000000000,0.0000000000
1147,0.0000000000,1.0000000000,0.0000000000
2291,0.0000000000,0.0000000000,0.0000000000
1108,0.0000000000,0.0000000000,0.0000000000
1078,0.0000000000,0.0000000000,0.0000000000
1110,0.0000000000,1.0000000000,0.0000000000
1076,0.0000000000,1.0000000000,0.0000000000
1075,0.0000000000,1.0000000000,0.0000000000
1058,0.0000000000,0.0000000000,0.0000000000
1696,0.0000000000,0.6250000000,0.0000000000
1847,0.0000000000,0.2500000000,0.0000000000
2110,0.0000000000,0.0000000000,0.0000000000
2083,0.0000000000,0.0000000000,0.0000000000
1237,0.0000000000,0.0000000000,0.0000000000
1231,0.0000000000,0.2500000000,0.0000000000
1068,0.0000000000,0.0000000000,0.0000000000
1012,0.0000000000,0.0000000000,0.0000000000
1118,0.0000000000,0.2500000000,0.0000000000
1689,0.0000000000,0.0000000000,0.0000000000
2113,0.0000000000,0.3750000000,0.0000000000
1098,0.0000000000,0.0000000000,0.0000000000
1054,0.0000000000,0.0000000000,0.0000000000
977,0.0000000000,1.0000000000,0.0000000000
989,0.0000000000,1.0000000000,0.0000000000
986,0.0000000000,0.5000000000,0.0000000000
1218,0.0000000000,0.0000000000,0.0000000000
2259,0.0000000000,0.0000000000,0.0000000000
1963,0.0000000000,0.1666666667,0.0000000000
2308,0.0000000000,0.0000000000,0.0000000000
2352,0.0000000000,1.0000000000,0.0000000000
1091,0.0000000000,1.0000000000,0.0000000000
1972,0.0000000000,0.4166666667,0.0000000000
1576,0.0000000000,0.2500000000,0.0000000000
1102,0.0000000000,1.0000000000,0.0000000000
3236,0.0000000000,0.0000000000,0.0000000000
879,0.0000000000,0.5000000000,0.0000000000
1966,0.0000000000,0.6166666667,0.0000000000
923,0.0000000000,0.0830564784,0.0000000000
922,0.0000000000,0.0830564784,0.0000000000
866,0.0000000000,1.0000000000,0.0000000000
2349,0.0000000000,0.1000000000,0.0000000000
2351,0.0000000000,0.3333333333,0.0000000000
1780,0.0000000000,0.3333333333,0.0000000000
3239,0.0000000000,0.4642857143,0.0000000000
3210,0.0000000000,0.0000000000,0.0000000000
853,0.0000000000,0.3333333333,0.0000000000
2203,0.0000000000,0.3333333333,0.0000000000
3200,0.0000000000,0.0000000000,0.0000000000
843,0.0000000000,0.3333333333,0.0000000000
1943,0.0000000000,0.5000000000,0.0000000000
2152,0.0000000000,0.3333333333,0.0000000000
3161,0.0000000000,1.0000000000,0.0000000000
3160,0.0000000000,0.3214285714,0.0000000000
822,0.0000000000,0.0833333333,0.0000000000
895,0.0000000000,0.3333333333,0.0000000000
928,0.0000000000,0.1275132275,0.0000000000
925,0.0000000000,0.1111111111,0.0000000000
1970,0.0000000000,0.5000000000,0.0000000000
2213,0.0000000000,0.2616279070,0.0000000000
761,0.0000000000,1.0000000000,0.0000000000
3116,0.0000000000,0.0000000000,0.0000000000
3114,0.0000000000,0.1777777778,0.0000000000
1194,0.0000000000,0.5000000000,0.0000000000
1195,0.0000000000,0.3703703704,0.0000000000
3099,0.0000000000,0.4400000000,0.0000000000
915,0.0000000000,0.1250000000,0.0000000000
918,0.0000000000,0.3750000000,0.0000000000
3076,0.0000000000,0.2857142857,0.0000000000
1121,0.0000000000,1.0000000000,0.0000000000
817,0.0000000000,1.0000000000,0.0000000000
831,0.0000000000,0.5000000000,0.0000000000
751,0.0000000000,0.5000000000,0.0000000000
3050,0.0000000000,0.0000000000,0.0000000000
3045,0.0000000000,0.0000000000,0.0000000000
3038,0.0000000000,0.0000000000,0.0000000000
3037,0.0000000000,0.5000000000,0.0000000000
846,0.0000000000,0.0000000000,0.0000000000
783,0.0000000000,0.0000000000,0.0000000000
3023,0.0000000000,0.0000000000,0.0000000000
3192,0.0000000000,0.6250000000,0.0000000000
3191,0.0000000000,0.5238095238,0.0000000000
834,0.0000000000,0.0000000000,0.0000000000
914,0.0000000000,0.0116279070,0.0000000000
1346,0.0000000000,0.2428571429,0.0000000000
874,0.0000000000,0.0000000000,0.0000000000
777,0.0000000000,0.5000000000,0.0000000000
3208,0.0000000000,0.5000000000,0.0000000000
851,0.0000000000,0.5000000000,0.0000000000
2992,0.0000000000,1.0000000000,0.0000000000
3083,0.0000000000,0.6250000000,0.0000000000
743,0.0000000000,0.0000000000,0.0000000000
3100,0.0000000000,0.3781250000,0.0000000000
657,0.0000000000,0.0000000000,0.0000000000
2971,0.0000000000,1.0000000000,0.0000000000
872,0.0000000000,1.0000000000,0.0000000000
788,0.0000000000,0.4666666667,0.0000000000
740,0.0000000000,0.6666666667,0.0000000000
3010,0.0000000000,0.7500000000,0.0000000000
2964,0.0000000000,0.2500000000,0.0000000000
861,0.0000000000,1.0000000000,0.0000000000
916,0.0000000000,0.5000000000,0.0000000000
3002,0.0000000000,0.2500000000,0.0000000000
2960,0.0000000000,0.1309523810,0.0000000000
2286,0.0000000000,0.0000000000,0.0000000000
2949,0.0000000000,0.0000000000,0.0000000000
1765,0.0000000000,0.5000000000,0.0000000000
2942,0.0000000000,0.4687500000,0.0000000000
1165,0.0000000000,0.0000000000,0.0000000000
2156,0.0000000000,0.5000000000,0.0000000000
579,0.0000000000,0.0000000000,0.0000000000
577,0.0000000000,0.0000000000,0.0000000000
576,0.0000000000,0.0000000000,0.0000000000
2240,0.0000000000,0.5000000000,0.0000000000
2302,0.0000000000,1.0000000000,0.0000000000
3148,0.0000000000,0.0000000000,0.0000000000
791,0.0000000000,1.0000000000,0.0000000000
739,0.0000000000,1.0000000000,0.0000000000
685,0.0000000000,1.0000000000,0.0000000000
903,0.0000000000,0.5000000000,0.0000000000
909,0.0000000000,1.0000000000,0.0000000000
3141,0.0000000000,0.3333333333,0.0000000000
1357,0.0000000000,0.0000000000,0.0000000000
1122,0.0000000000,0.2380952381,0.0000000000
806,0.0000000000,0.1666666667,0.0000000000
2301,0.0000000000,0.3333333333,0.0000000000
2913,0.0000000000,0.3500000000,0.0000000000
1282,0.0000000000,0.0000000000,0.0000000000
949,0.0000000000,1.0000000000,0.0000000000
3250,0.0000000000,0.0000000000,0.0000000000
893,0.0000000000,0.7500000000,0.0000000000
546,0.0000000000,0.0000000000,0.0000000000
1046,0.0000000000,0.5000000000,0.0000000000
1240,0.0000000000,0.0000000000,0.0000000000
2899,0.0000000000,0.3750000000,0.0000000000
2130,0.0000000000,0.0000000000,0.0000000000
1103,0.0000000000,0.0000000000,0.0000000000
1230,0.0000000000,0.0000000000,0.0000000000
1224,0.0000000000,0.0000000000,0.0000000000
1764,0.0000000000,0.0000000000,0.0000000000
2886,0.0000000000,1.0000000000,0.0000000000
2968,0.0000000000,0.0000000000,0.0000000000
1845,0.0000000000,0.0000000000,0.0000000000
1073,0.0000000000,0.0000000000,0.0000000000
1321,0.0000000000,0.0000000000,0.0000000000
3012,0.0000000000,0.0000000000,0.0000000000
1109,0.0000000000,0.0000000000,0.0000000000
3082,0.0000000000,0.0000000000,0.0000000000
746,0.0000000000,0.3333333333,0.0000000000
3103,0.0000000000,0.0000000000,0.0000000000
2154,0.0000000000,0.0000000000,0.0000000000
1384,0.0000000000,0.0000000000,0.0000000000
3133,0.0000000000,0.2738095238,0.0000000000
747,0.0000000000,0.0000000000,0.0000000000
2972,0.0000000000,0.4777777778,0.0000000000
631,0.0000000000,0.3333333333,0.0000000000
2854,0.0000000000,0.0000000000,0.0000000000
1339,0.0000000000,0.2857142857,0.0000000000
2332,0.0000000000,0.0000000000,0.0000000000
2061,0.0000000000,0.5000000000,0.0000000000
2843,0.0000000000,0.6666666667,0.0000000000
1132,0.0000000000,0.0000000000,0.0000000000
616,0.0000000000,0.5000000000,0.0000000000
2853,0.0000000000,0.1964285714,0.0000000000
2838,0.0000000000,0.1666666667,0.0000000000
1936,0.0000000000,0.0000000000,0.0000000000
1233,0.0000000000,0.0000000000,0.0000000000
1504,0.0000000000,0.0000000000,0.0000000000
1979,0.0000000000,0.5000000000,0.0000000000
2825,0.0000000000,0.5000000000,0.0000000000
966,0.0000000000,0.5000000000,0.0000000000
2818,0.0000000000,0.0000000000,0.0000000000
1698,0.0000000000,0.0000000000,0.0000000000
1611,0.0000000000,0.0000000000,0.0000000000
2817,0.0000000000,0.0000000000,0.0000000000
1609,0.0000000000,0.0000000000,0.0000000000
2006,0.0000000000,0.0000000000,0.0000000000
1587,0.0000000000,1.0000000000,0.0000000000
2810,0.0000000000,0.0000000000,0.0000000000
2868,0.0000000000,0.4444444444,0.0000000000
2865,0.0000000000,0.3750000000,0.0000000000
2806,0.0000000000,0.0000000000,0.0000000000
1561,0.0000000000,0.0000000000,0.0000000000
2805,0.0000000000,0.3066666667,0.0000000000
2954,0.0000000000,0.5000000000,0.0000000000
661,0.0000000000,0.3333333333,0.0000000000
