Node,Betweenness,BridgingCoefficient,BridgingCentrality
2334,0.0000000000,0.4583333333,0.0000000000
2205,0.0000000000,0.5000000000,0.0000000000
2106,0.0000000000,0.5000000000,0.0000000000
1540,0.0000000000,1.0000000000,0.0000000000
1596,0.0000000000,0.2500000000,0.0000000000
1904,0.0000000000,0.5000000000,0.0000000000
2257,0.0000000000,1.0000000000,0.0000000000
2286,0.0000000000,0.0000000000,0.0000000000
2061,0.0000000000,0.0000000000,0.0000000000
2059,0.0000000000,1.0000000000,0.0000000000
1764,0.0000000000,0.5000000000,0.0000000000
1642,0.0000000000,0.6666666667,0.0000000000
1148,0.0000000000,0.3333333333,0.0000000000
1885,0.0000000000,0.5000000000,0.0000000000
2057,0.0000000000,1.0000000000,0.0000000000
2211,0.0000000000,0.0000000000,0.0000000000
1485,0.0000000000,0.6666666667,0.0000000000
1498,0.0000000000,1.0000000000,0.0000000000
2052,0.0000000000,0.0000000000,0.0000000000
1883,0.0000000000,0.0000000000,0.0000000000
2266,0.0000000000,0.7500000000,0.0000000000
2049,0.0000000000,0.7500000000,0.0000000000
2147,0.0000000000,0.0000000000,0.0000000000
1464,0.0000000000,0.0000000000,0.0000000000
1281,0.0000000000,0.0000000000,0.0000000000
1739,0.0000000000,0.6333333333,0.0000000000
2046,0.0000000000,0.5000000000,0.0000000000
2316,0.0000000000,0.0000000000,0.0000000000
2235,0.0000000000,0.0000000000,0.0000000000
2068,0.0000000000,0.0000000000,0.0000000000
2065,0.0000000000,0.0000000000,0.0000000000
2273,0.0000000000,1.0000000000,0.0000000000
2161,0.0000000000,0.3333333333,0.0000000000
2039,0.0000000000,0.0000000000,0.0000000000
2038,0.0000000000,0.0000000000,0.0000000000
2301,0.0000000000,0.0000000000,0.0000000000
2231,0.0000000000,0.0000000000,0.0000000000
1395,0.0000000000,0.5000000000,0.0000000000
1795,0.0000000000,0.5625000000,0.0000000000
1376,0.0000000000,0.6111111111,0.0000000000
1589,0.0000000000,0.3333333333,0.0000000000
2031,0.0000000000,1.0000000000,0.0000000000
1915,0.0000000000,0.8333333333,0.0000000000
991,0.0000000000,0.5000000000,0.0000000000
1775,0.0000000000,0.2500000000,0.0000000000
2130,0.0000000000,0.2916666667,0.0000000000
1645,0.0000000000,0.3333333333,0.0000000000
1631,0.0000000000,0.5000000000,0.0000000000
1906,0.0000000000,1.0000000000,0.0000000000
871,0.0000000000,0.5000000000,0.0000000000
868,0.0000000000,0.5000000000,0.0000000000
2098,0.0000000000,1.0000000000,0.0000000000
2176,0.0000000000,0.1666666667,0.0000000000
1267,0.0000000000,0.1666666667,0.0000000000
933,0.0000000000,0.0000000000,0.0000000000
2140,0.0000000000,0.5000000000,0.0000000000
1049,0.0000000000,0.2500000000,0.0000000000
1122,0.0000000000,0.5000000000,0.0000000000
1574,0.0000000000,0.5000000000,0.0000000000
1505,0.0000000000,0.2500000000,0.0000000000
1998,0.0000000000,0.6250000000,0.0000000000
2339,0.0000000000,0.2916666667,0.0000000000
2307,0.0000000000,0.6666666667,0.0000000000
2272,0.0000000000,0.2500000000,0.0000000000
1779,0.0000000000,0.4166666667,0.0000000000
1777,0.0000000000,0.5000000000,0.0000000000
784,0.0000000000,0.0000000000,0.0000000000
2169,0.0000000000,0.1250000000,0.0000000000
2270,0.0000000000,0.4444444444,0.0000000000
2018,0.0000000000,0.1666666667,0.0000000000
1989,0.0000000000,0.1666666667,0.0000000000
2248,0.0000000000,0.0000000000,0.0000000000
1988,0.0000000000,0.7500000000,0.0000000000
1830,0.0000000000,0.4166666667,0.0000000000
1881,0.0000000000,0.0000000000,0.0000000000
2214,0.0000000000,0.5000000000,0.0000000000
1653,0.0000000000,0.2250000000,0.0000000000
1610,0.0000000000,0.0000000000,0.0000000000
1429,0.0000000000,1.0000000000,0.0000000000
2330,0.0000000000,0.1250000000,0.0000000000
2329,0.0000000000,0.0000000000,0.0000000000
2197,0.0000000000,0.6666666667,0.0000000000
989,0.0000000000,0.2777777778,0.0000000000
1506,0.0000000000,0.5000000000,0.0000000000
806,0.0000000000,0.5000000000,0.0000000000
1494,0.0000000000,0.5000000000,0.0000000000
1978,0.0000000000,0.5000000000,0.0000000000
1813,0.0000000000,0.1666666667,0.0000000000
1417,0.0000000000,1.0000000000,0.0000000000
2289,0.0000000000,0.5333333333,0.0000000000
2108,0.0000000000,0.2888888889,0.0000000000
2203,0.0000000000,0.3611111111,0.0000000000
2074,0.0000000000,0.4444444444,0.0000000000
1829,0.0000000000,0.3000000000,0.0000000000
