Node,Betweenness,BridgingCoefficient,BridgingCentrality
978,0.0000000000,0.1481442577,0.0000000000
988,0.0000000000,0.2539073037,0.0000000000
975,0.0000000000,0.2466881101,0.0000000000
981,0.0000000000,0.1756370079,0.0000000000
996,0.0000000000,0.1906834775,0.0000000000
889,0.0000000000,0.2205150997,0.0000000000
971,0.0000000000,0.1614760240,0.0000000000
953,0.0000000000,0.1789375599,0.0000000000
963,0.0000000000,0.1592326012,0.0000000000
979,0.0000000000,0.1378042328,0.0000000000
950,0.0000000000,0.2361320971,0.0000000000
957,0.0000000000,0.2190228073,0.0000000000
856,0.0000000000,0.4202079666,0.0000000000
828,0.0000000000,0.1741820111,0.0000000000
960,0.0000000000,0.1893572198,0.0000000000
916,0.0000000000,0.1303419151,0.0000000000
984,0.0000000000,0.1737179401,0.0000000000
937,0.0000000000,0.2184473883,0.0000000000
983,0.0000000000,0.1317042607,0.0000000000
989,0.0000000000,0.2158675097,0.0000000000
923,0.0000000000,0.1427634865,0.0000000000
982,0.0000000000,0.1922688015,0.0000000000
990,0.0000000000,0.1662048289,0.0000000000
995,0.0000000000,0.1803089016,0.0000000000
948,0.0000000000,0.1908863380,0.0000000000
911,0.0000000000,0.1792839105,0.0000000000
945,0.0000000000,0.2175202249,0.0000000000
997,0.0000000000,0.1315754084,0.0000000000
884,0.0000000000,0.1982004691,0.0000000000
992,0.0000000000,0.1542314362,0.0000000000
987,0.0000000000,0.2105797845,0.0000000000
955,0.0000000000,0.1917033168,0.0000000000
976,0.0000000000,0.1118100368,0.0000000000
998,0.0000000000,0.1725771748,0.0000000000
973,0.0000000000,0.2740706824,0.0000000000
869,0.0000000000,0.1286263340,0.0000000000
966,0.0000000000,0.1534022432,0.0000000000
949,0.0000000000,0.2105820325,0.0000000000
993,0.0000000000,0.2070004858,0.0000000000
890,0.0000000000,0.1827044094,0.0000000000
969,0.0000000000,0.1621592974,0.0000000000
999,0.0000000000,0.1277976190,0.0000000000
980,0.0000000000,0.1133506912,0.0000000000
994,0.0000000000,0.1327090348,0.0000000000
1000,0.0008388388,0.1851219475,0.0001552875
940,0.0000683488,0.1830246565,0.0000125095
942,0.0001481421,0.2412820118,0.0000357440
977,0.0000965259,0.0997076336,0.0000096244
864,0.0000837812,0.2215036658,0.0000185578
959,0.0001134116,0.3097888710,0.0000351337
777,0.0001266546,0.2619737645,0.0000331802
932,0.0002342465,0.1524883209,0.0000357198
947,0.0002236082,0.2019713946,0.0000451625
883,0.0001328502,0.1911700603,0.0000253970
914,0.0003127754,0.2555050790,0.0000799157
964,0.0001085528,0.1833951210,0.0000199081
913,0.0001524209,0.1207829881,0.0000184098
861,0.0000492891,0.2134518260,0.0000105209
946,0.0002090133,0.1217620756,0.0000254499
951,0.0003471641,0.1805115352,0.0000626671
965,0.0000997520,0.1399402681,0.0000139593
968,0.0003377967,0.1507661898,0.0000509283
