Node,Betweenness,BridgingCoefficient,BridgingCentrality
93,0.0000000000,0.5733333333,0.0000000000
44,0.0000000000,0.0000000000,0.0000000000
99,0.0000000000,0.4083333333,0.0000000000
98,0.0000000000,1.0000000000,0.0000000000
61,0.0000000000,0.6250000000,0.0000000000
82,0.0000000000,0.4166666667,0.0000000000
88,0.0000000000,0.5000000000,0.0000000000
74,0.0000000000,0.5666666667,0.0000000000
231,0.0000000000,0.2000000000,0.0000000000
69,0.0000000000,0.5000000000,0.0000000000
94,0.0000000000,0.6666666667,0.0000000000
62,0.0000000000,0.1666666667,0.0000000000
96,0.0000000000,0.4253968254,0.0000000000
83,0.0000000000,0.4895833333,0.0000000000
91,0.0000000000,0.5833333333,0.0000000000
97,0.0000000000,0.6250000000,0.0000000000
42,0.0000000000,0.6250000000,0.0000000000
87,0.0000000000,0.2777777778,0.0000000000
72,0.0001010101,0.0000000000,0.0000000000
77,0.0006397306,0.3333333333,0.0002132435
84,0.0013383838,0.5666666667,0.0007584175
24,0.0000000000,0.0000000000,0.0000000000
51,0.0013804714,0.3472222222,0.0004793303
92,0.0011111111,0.7333333333,0.0008148148
95,0.0011111111,0.5277777778,0.0005864198
73,0.0008585859,0.1111111111,0.0000953984
100,0.0038383838,0.1952380952,0.0007493987
31,0.0000000000,0.0000000000,0.0000000000
85,0.0022895623,0.5833333333,0.0013355780
89,0.0029292929,0.6428571429,0.0018831169
53,0.0007070707,1.0000000000,0.0007070707
6,0.0001010101,0.0000000000,0.0000000000
81,0.0036195286,0.4166666667,0.0015081369
26,0.0006734007,0.5000000000,0.0003367003
16,0.0004545455,1.0000000000,0.0004545455
56,0.0017508418,0.4444444444,0.0007781519
58,0.0017171717,0.6666666667,0.0011447811
75,0.0007070707,0.5277777778,0.0003731762
78,0.0006565657,0.4666666667,0.0003063973
90,0.0017171717,0.5962962963,0.0010239431
59,0.0013131313,0.2500000000,0.0003282828
67,0.0035690236,0.3611111111,0.0012888141
55,0.0027104377,1.0000000000,0.0027104377
38,0.0000000000,0.0000000000,0.0000000000
9,0.0018434343,0.0000000000,0.0000000000
68,0.0092929293,0.4722222222,0.0043883277
14,0.0050000000,1.0000000000,0.0050000000
20,0.0023232323,0.0000000000,0.0000000000
79,0.0005555556,0.6250000000,0.0003472222
45,0.0000000000,0.0000000000,0.0000000000
10,0.0031313131,0.0000000000,0.0000000000
30,0.0017676768,0.0000000000,0.0000000000
36,0.0024074074,0.0000000000,0.0000000000
5,0.0000000000,0.0000000000,0.0000000000
64,0.0005387205,0.5000000000,0.0002693603
19,0.0007070707,1.0000000000,0.0007070707
48,0.0019191919,0.2500000000,0.0004797980
3,0.0000000000,0.0000000000,0.0000000000
33,0.0000000000,0.0000000000,0.0000000000
4,0.0023063973,0.0000000000,0.0000000000
63,0.0029713805,0.8333333333,0.0024761504
2,0.0000000000,0.0000000000,0.0000000000
54,0.0034511785,0.5000000000,0.0017255892
28,0.0000000000,0.0000000000,0.0000000000
21,0.0013468013,0.0000000000,0.0000000000
80,0.0003030303,0.5000000000,0.0001515152
41,0.0064141414,0.5000000000,0.0032070707
12,0.0066750842,0.5000000000,0.0033375421
71,0.0012121212,0.4444444444,0.0005387205
70,0.0017508418,1.0000000000,0.0017508418
11,0.0000000000,0.0000000000,0.0000000000
8,0.0015656566,0.0000000000,0.0000000000
66,0.0000000000,0.0000000000,0.0000000000
7,0.0000000000,0.0000000000,0.0000000000
40,0.0015656566,0.5000000000,0.0007828283
17,0.0000000000,0.0000000000,0.0000000000
76,0.0047474747,0.5416666667,0.0025715488
46,0.0000000000,0.0000000000,0.0000000000
18,0.0079629630,1.0000000000,0.0079629630
47,0.0023569024,0.5000000000,0.0011784512
43,0.0000000000,0.0000000000,0.0000000000
29,0.0005723906,0.0000000000,0.0000000000
27,0.0003703704,1.0000000000,0.0003703704
86,0.0013131313,0.6250000000,0.0008207071
25,0.0020202020,1.0000000000,0.0020202020
32,0.0068350168,0.8750000000,0.0059806397
13,0.0020707071,1.0000000000,0.0020707071
39,0.0033333333,1.0000000000,0.0033333333
50,0.0008080808,0.0000000000,0.0000000000
35,0.0083501684,0.3125000000,0.0026094276
49,0.0077946128,0.6666666667,0.0051964085
34,0.0008417508,1.0000000000,0.0008417508
1,0.0000000000,0.0000000000,0.0000000000
60,0.0059090909,0.7333333333,0.0043333333
52,0.0058417508,0.1666666667,0.0009736251
22,0.0028619529,0.5000000000,0.0014309764
37,0.0015151515,1.0000000000,0.0015151515
15,0.0000000000,0.0000000000,0.0000000000
23,0.0040909091,0.5000000000,0.0020454545
57,0.0002020202,0.0000000000,0.0000000000
65,0.0003030303,0.5000000000,0.0001515152
