Node,Betweenness,BridgingCoefficient,BridgingCentrality
9793,0.0000000000,0.2033653846,0.0000000000
9967,0.0000000000,0.2514123377,0.0000000000
9112,0.0000000000,0.4494949495,0.0000000000
8965,0.0000000000,0.3670634921,0.0000000000
9790,0.0000000000,0.1896103896,0.0000000000
7185,0.0000000000,0.1750000000,0.0000000000
9946,0.0000000000,0.1920138889,0.0000000000
8559,0.0000000000,0.3638888889,0.0000000000
7426,0.0000000000,0.4305555556,0.0000000000
9933,0.0000000000,0.3156704407,0.0000000000
8195,0.0000000000,0.1492063492,0.0000000000
9813,0.0000000000,0.2958333333,0.0000000000
9834,0.0000000000,0.2611111111,0.0000000000
9739,0.0000000000,0.1805158730,0.0000000000
9001,0.0000000000,0.2994708995,0.0000000000
9761,0.0000000000,0.4801587302,0.0000000000
9969,0.0000000000,0.3065157065,0.0000000000
9904,0.0000000000,0.2611399711,0.0000000000
9450,0.0000000000,0.2880952381,0.0000000000
8502,0.0000000000,0.1438492063,0.0000000000
9420,0.0000000000,0.2731601732,0.0000000000
8508,0.0000000000,0.3399470899,0.0000000000
9888,0.0000000000,0.1641564454,0.0000000000
9870,0.0000000000,0.2075757576,0.0000000000
7656,0.0000000000,0.1326388889,0.0000000000
8839,0.0000000000,0.4000000000,0.0000000000
9765,0.0000000000,0.2840476190,0.0000000000
9302,0.0000000000,0.4280864198,0.0000000000
9623,0.0000000000,0.2949735450,0.0000000000
7090,0.0000000000,0.2977777778,0.0000000000
9212,0.0000000000,0.4225681726,0.0000000000
6857,0.0000000000,0.4145833333,0.0000000000
9464,0.0000000000,0.2880158730,0.0000000000
7706,0.0000000000,0.1808333333,0.0000000000
9971,0.0000000000,0.3699865791,0.0000000000
8378,0.0000000000,0.2870535714,0.0000000000
9810,0.0000000000,0.1918650794,0.0000000000
9509,0.0000000000,0.2093073593,0.0000000000
8638,0.0000000000,0.4565476190,0.0000000000
9177,0.0000000000,0.2722222222,0.0000000000
9881,0.0000000000,0.2236471861,0.0000000000
9270,0.0000000000,0.3399659864,0.0000000000
7814,0.0000000000,0.3750000000,0.0000000000
4886,0.0000000000,0.2976190476,0.0000000000
8776,0.0000000000,0.3359890110,0.0000000000
9595,0.0000000000,0.2951190476,0.0000000000
9428,0.0000000000,0.2615384615,0.0000000000
9335,0.0000000000,0.1237301587,0.0000000000
9501,0.0000000000,0.3433766234,0.0000000000
9170,0.0000000000,0.3639971140,0.0000000000
9017,0.0000000000,0.2066666667,0.0000000000
6225,0.0000000000,0.4814814815,0.0000000000
9911,0.0000000000,0.1547341547,0.0000000000
9295,0.0000000000,0.3545634921,0.0000000000
9963,0.0000000000,0.3897546898,0.0000000000
9438,0.0000000000,0.2011937557,0.0000000000
9795,0.0000000000,0.1780423280,0.0000000000
9723,0.0000000000,0.2037414966,0.0000000000
7685,0.0000000000,0.2160714286,0.0000000000
9616,0.0000000000,0.2760582011,0.0000000000
9155,0.0000000000,0.4108225108,0.0000000000
9048,0.0000000000,0.3277777778,0.0000000000
8131,0.0000000000,0.2116071429,0.0000000000
7016,0.0000000000,0.2238095238,0.0000000000
8539,0.0000000000,0.3418650794,0.0000000000
9044,0.0000000000,0.3636621315,0.0000000000
8039,0.0000000000,0.1666666667,0.0000000000
9067,0.0000000000,0.3985930736,0.0000000000
8988,0.0000000000,0.2309523810,0.0000000000
9224,0.0000000000,0.3162393162,0.0000000000
9821,0.0000000000,0.2903968254,0.0000000000
8159,0.0000000000,0.1122222222,0.0000000000
7837,0.0000000000,0.5333333333,0.0000000000
6744,0.0000000000,0.4126488095,0.0000000000
9803,0.0000000000,0.2818742369,0.0000000000
8432,0.0000000000,0.5086805556,0.0000000000
8704,0.0000000000,0.1200000000,0.0000000000
9958,0.0000000000,0.1851851852,0.0000000000
