Node,Betweenness,BridgingCoefficient,BridgingCentrality
4691,0.0000000000,0.7222222222,0.0000000000
4427,0.0000000000,0.6250000000,0.0000000000
4235,0.0000000000,0.5138888889,0.0000000000
4439,0.0000000000,0.5226190476,0.0000000000
3737,0.0000000000,0.2500000000,0.0000000000
3846,0.0000000000,0.2500000000,0.0000000000
4416,0.0000000000,0.5500000000,0.0000000000
4137,0.0000000000,0.7083333333,0.0000000000
4443,0.0000000000,0.4166666667,0.0000000000
3389,0.0000000000,0.3333333333,0.0000000000
799,0.0000000000,0.5000000000,0.0000000000
4098,0.0000000000,0.4791666667,0.0000000000
4051,0.0000000000,0.7500000000,0.0000000000
3696,0.0000000000,0.5500000000,0.0000000000
3055,0.0000000000,0.4166666667,0.0000000000
2336,0.0000000000,0.0000000000,0.0000000000
3491,0.0000000000,0.1666666667,0.0000000000
4297,0.0000000000,0.3333333333,0.0000000000
4574,0.0000000000,0.2976190476,0.0000000000
4188,0.0000000000,0.4444444444,0.0000000000
2827,0.0000000000,0.1000000000,0.0000000000
3174,0.0000000000,0.5000000000,0.0000000000
3836,0.0000000000,0.7666666667,0.0000000000
4539,0.0000000000,0.5833333333,0.0000000000
2250,0.0000000000,0.3333333333,0.0000000000
3434,0.0000000000,0.4500000000,0.0000000000
3830,0.0000000000,0.5000000000,0.0000000000
4616,0.0000000000,0.4166666667,0.0000000000
3775,0.0000000000,0.5000000000,0.0000000000
3475,0.0000000000,0.2833333333,0.0000000000
3138,0.0000000000,0.0833333333,0.0000000000
4712,0.0000000000,0.5083333333,0.0000000000
4489,0.0000000000,0.2185714286,0.0000000000
4642,0.0000000000,0.6666666667,0.0000000000
3900,0.0000000000,0.3888888889,0.0000000000
4690,0.0000000000,0.4500000000,0.0000000000
4647,0.0000000000,0.4668367347,0.0000000000
4310,0.0000000000,0.5000000000,0.0000000000
1534,0.0000000000,0.0000000000,0.0000000000
4511,0.0000000000,0.3690476190,0.0000000000
4535,0.0000000000,0.4166666667,0.0000000000
4605,0.0000000000,0.1875000000,0.0000000000
4234,0.0000000000,0.2611111111,0.0000000000
4240,0.0000000000,0.5000000000,0.0000000000
4383,0.0000000000,1.0000000000,0.0000000000
3623,0.0000000000,0.6000000000,0.0000000000
4521,0.0000000000,0.4583333333,0.0000000000
4581,0.0000000000,0.3750000000,0.0000000000
3661,0.0000000000,0.1666666667,0.0000000000
3428,0.0000000000,0.6666666667,0.0000000000
3950,0.0000000000,0.3333333333,0.0000000000
4519,0.0000000000,0.3666666667,0.0000000000
3928,0.0000000000,0.1666666667,0.0000000000
3716,0.0000000000,0.2166666667,0.0000000000
2923,0.0000000000,0.4444444444,0.0000000000
4280,0.0000000000,0.2833333333,0.0000000000
4469,0.0000000000,0.3000000000,0.0000000000
3762,0.0000000000,0.5666666667,0.0000000000
4141,0.0000000000,0.3750000000,0.0000000000
3563,0.0000000000,0.3333333333,0.0000000000
3899,0.0000000000,0.5095238095,0.0000000000
4335,0.0000000000,0.2972222222,0.0000000000
3931,0.0000000000,0.5000000000,0.0000000000
3476,0.0000000000,0.2777777778,0.0000000000
4073,0.0000000000,0.1000000000,0.0000000000
4603,0.0000000000,0.3400000000,0.0000000000
3730,0.0000000000,0.2812500000,0.0000000000
4600,0.0000000000,0.2500000000,0.0000000000
4696,0.0000000000,0.5416666667,0.0000000000
4387,0.0000000000,0.7500000000,0.0000000000
3748,0.0000000000,0.6666666667,0.0000000000
