Node,Betweenness,BridgingCoefficient,BridgingCentrality
17,0.0000000000,1.0000000000,0.0000000000
18,0.0000000000,1.0000000000,0.0000000000
19,0.0000000000,1.0000000000,0.0000000000
20,0.0421052632,1.0000000000,0.0421052632
16,0.1973684211,0.5000000000,0.0986842105
15,0.2210526316,1.0000000000,0.2210526316
11,0.2631578947,0.3333333333,0.0877192982
5,0.0000000000,0.4583333333,0.0000000000
4,0.0000000000,0.5000000000,0.0000000000
3,0.0000000000,0.5000000000,0.0000000000
2,0.0000000000,0.0000000000,0.0000000000
1,0.0000000000,0.0000000000,0.0000000000
14,0.0368421053,0.5000000000,0.0184210526
35,0.0000000000,1.0000000000,0.0000000000
6,0.1973684211,0.4166666667,0.0822368421
12,0.0000000000,1.0000000000,0.0000000000
9,0.0000000000,0.7500000000,0.0000000000
8,0.1026315789,0.6000000000,0.0615789474
7,0.1026315789,0.2000000000,0.0205263158
13,0.0500000000,1.0000000000,0.0500000000
10,0.2605263158,0.6666666667,0.1736842105
