Node,Betweenness,BridgingCoefficient,BridgingCentrality
5000,0.0002000000,0.3690476190,0.0000738095
4997,0.0003457083,0.3416666667,0.0001181170
4998,0.0000284423,0.2222222222,0.0000063205
4999,0.0000509525,0.4027777778,0.0000205225
4996,0.0002589632,0.2611111111,0.0000676182
4993,0.0005814593,0.3958333333,0.0002301610
4994,0.0006280463,0.4000000000,0.0002512185
4995,0.0001802443,0.3166666667,0.0000570774
4520,0.0009355721,0.3333333333,0.0003118574
4990,0.0004522238,0.3333333333,0.0001507413
4991,0.0008433072,0.3958333333,0.0003338091
4992,0.0001742662,0.4166666667,0.0000726109
119,0.0006596201,0.4166666667,0.0002748417
1881,0.0003149513,0.4166666667,0.0001312297
4517,0.0014138824,0.4166666667,0.0005891177
4518,0.0030251227,0.4166666667,0.0012604678
4519,0.0014289473,0.3958333333,0.0005656250
4987,0.0008819265,0.3888888889,0.0003429714
4989,0.0002748017,0.3611111111,0.0000992339
4462,0.0010600115,0.3333333333,0.0003533372
4988,0.0006294898,0.3750000000,0.0002360587
116,0.0004665849,0.7500000000,0.0003499386
117,0.0011031466,0.6111111111,0.0006741451
1879,0.0015284915,0.3333333333,0.0005094972
1880,0.0076455463,0.5000000000,0.0038227731
4514,0.0023432813,0.2888888889,0.0006769479
4516,0.0007267495,0.3333333333,0.0002422498
2508,0.0010378252,0.3611111111,0.0003747702
4515,0.0041061460,0.2888888889,0.0011862200
2452,0.0002701465,0.3333333333,0.0000900488
4984,0.0012313189,0.2500000000,0.0003078297
4985,0.0010952509,0.2777777778,0.0003042363
4986,0.0002311896,0.3333333333,0.0000770632
4459,0.0013261852,0.3333333333,0.0004420617
4461,0.0022694824,0.3055555556,0.0006934530
15,0.0004190215,0.3333333333,0.0001396738
113,0.0004929269,0.3333333333,0.0001643090
115,0.0000656439,0.5000000000,0.0000328220
114,0.0020494703,0.4444444444,0.0009108757
1876,0.0035622079,0.4166666667,0.0014842533
1877,0.0022139207,0.4444444444,0.0009839648
1852,0.0077110317,0.4166666667,0.0032129299
1878,0.0022839111,0.3333333333,0.0007613037
4511,0.0018466026,0.3611111111,0.0006668287
4512,0.0007957798,0.3888888889,0.0003094699
4513,0.0041562790,0.3500000000,0.0014546977
2505,0.0009725768,0.6666666667,0.0006483846
2506,0.0006090785,0.5416666667,0.0003299175
2507,0.0012702386,0.4166666667,0.0005292661
2449,0.0004226234,0.3333333333,0.0001408745
2450,0.0020363866,0.3333333333,0.0006787955
2451,0.0017284605,0.3333333333,0.0005761535
4981,0.0011942592,0.3541666667,0.0004229668
4982,0.0008714193,0.3611111111,0.0003146792
4983,0.0007993757,0.3194444444,0.0002553561
4456,0.0015157032,0.3333333333,0.0005052344
4457,0.0003598200,0.3611111111,0.0001299350
4458,0.0023582986,0.3055555556,0.0007205912
4460,0.0003149555,0.3333333333,0.0001049852
12,0.0005415176,0.5555555556,0.0003008431
13,0.0005135062,0.3333333333,0.0001711687
14,0.0004392791,0.3333333333,0.0001464264
110,0.0005332197,0.3888888889,0.0002073632
111,0.0015360693,0.3333333333,0.0005120231
112,0.0018929054,0.3333333333,0.0006309685
1873,0.0030612242,0.3333333333,0.0010204081
1874,0.0022391798,0.3333333333,0.0007463933
1875,0.0002777208,0.4166666667,0.0001157170
1850,0.0060346822,0.4166666667,0.0025144509
1851,0.0041886292,0.3444444444,0.0014427501
4508,0.0020039717,0.3541666667,0.0007097400
4509,0.0006294916,0.3333333333,0.0002098305
4510,0.0006543867,0.2916666667,0.0001908628
3426,0.0015237881,0.3750000000,0.0005714206
4372,0.0047396692,0.3055555556,0.0014482322
2502,0.0013714951,0.6666666667,0.0009143301
2503,0.0002282062,0.5000000000,0.0001141031
2504,0.0017715242,0.4166666667,0.0007381351
596,0.0021128705,0.3888888889,0.0008216719
2446,0.0005527320,0.3888888889,0.0002149513
2447,0.0013447536,0.3888888889,0.0005229597
2448,0.0022665946,0.3333333333,0.0007555315
3724,0.0024980992,0.3611111111,0.0009020914
4978,0.0009568775,0.3750000000,0.0003588291
4979,0.0012435983,0.3888888889,0.0004836216
4980,0.0001147837,0.4166666667,0.0000478266
2396,0.0009289872,0.4166666667,0.0003870780
2795,0.0008072233,0.4166666667,0.0003363430
2883,0.0007299128,0.3333333333,0.0002433043
4074,0.0022090957,0.2916666667,0.0006443196
2068,0.0022211310,0.3333333333,0.0007403770
4453,0.0015359826,0.2916666667,0.0004479949
4455,0.0026599686,0.3333333333,0.0008866562
4454,0.0028324320,0.2916666667,0.0008261260
1118,0.0006377527,0.3888888889,0.0002480149
9,0.0000495084,0.3333333333,0.0000165028
10,0.0005051900,0.5555555556,0.0002806611
11,0.0007057942,0.5555555556,0.0003921079
107,0.0001917011,0.4166666667,0.0000798755
108,0.0013057796,0.4444444444,0.0005803465
109,0.0017815197,0.4444444444,0.0007917865
747,0.0027818123,0.3888888889,0.0010818159
1870,0.0018373977,0.3333333333,0.0006124659
1871,0.0025133483,0.3333333333,0.0008377828
1872,0.0012464371,0.3333333333,0.0004154790
1847,0.0061044608,0.2888888889,0.0017635109
1848,0.0001543899,0.3333333333,0.0000514633
937,0.0043088943,0.3888888889,0.0016756811
1849,0.0030687704,0.3666666667,0.0011252158
150,0.0040021220,0.3333333333,0.0013340407
4505,0.0023081351,0.3888888889,0.0008976081
4506,0.0003121189,0.3333333333,0.0001040396
4507,0.0012845535,0.3541666667,0.0004549460
864,0.0023104600,0.3333333333,0.0007701533
3423,0.0055455197,0.3444444444,0.0019101235
3424,0.0002785656,0.4166666667,0.0001160690
3425,0.0014416836,0.4444444444,0.0006407483
4369,0.0051672632,0.5277777778,0.0027271667
