Dataset: ba_5k_m3
Vertices: 5000
Edges: 14991
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 16.376979
Runtime (seconds): 0.010000
Memory Usage (MB): 0.27

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	8	1.000000
2	6	0.749548
3	3	0.615837
4	1	0.587373
5	2	0.504396
6	10	0.441554
7	14	0.425428
8	9	0.403304
9	7	0.395618
10	20	0.393891
11	12	0.350387
12	11	0.289572
13	16	0.279158
14	28	0.275754
15	5	0.260976
16	22	0.260327
17	13	0.246225
18	23	0.229055
19	17	0.224281
20	4	0.215014
21	15	0.213215
22	46	0.203201
23	18	0.192366
24	19	0.178289
25	38	0.163015
26	25	0.160608
27	35	0.160480
28	1234	0.159935
29	73	0.156948
30	29	0.154259
31	92	0.154043
32	42	0.153931
33	153	0.153121
34	2140	0.149421
35	26	0.148847
36	192	0.147698
37	1036	0.143325
38	66	0.140364
39	33	0.139704
40	37	0.139386
41	136	0.139337
42	32	0.139283
43	71	0.138296
44	55	0.135876
45	60	0.135605
46	169	0.134829
47	53	0.134748
48	24	0.129777
49	93	0.127478
50	36	0.126853
51	88	0.126180
52	81	0.122134
53	27	0.122060
54	267	0.120049
55	104	0.119819
56	67	0.119000
57	70	0.117632
58	61	0.117157
59	652	0.115526
60	118	0.113977
61	868	0.113903
62	97	0.113797
63	762	0.112402
64	54	0.111495
65	149	0.110996
66	57	0.110968
67	188	0.110315
68	58	0.110269
69	34	0.110207
70	320	0.110108
71	433	0.109992
72	277	0.109956
73	119	0.109840
74	1542	0.109427
75	2494	0.109267
76	282	0.109024
77	101	0.107452
78	339	0.105878
79	123	0.105777
80	30	0.104531
81	366	0.103962
82	1069	0.102827
83	47	0.102661
84	75	0.102541
85	397	0.100723
86	154	0.098677
87	453	0.098464
88	572	0.098166
89	100	0.098016
90	21	0.097162
91	3566	0.096372
92	99	0.096272
93	1683	0.096024
94	40	0.095937
95	62	0.095735
96	68	0.095330
97	351	0.094450
98	416	0.093235
99	423	0.092892
100	74	0.092214
