Dataset: cit-DBLP
Vertices: 12592
Edges: 49621
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 42.818686
Runtime (seconds): 0.047000
Memory Usage (MB): 0.76

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	62	1.000000
2	203	0.884269
3	107	0.493919
4	1477	0.345173
5	700	0.306770
6	630	0.303804
7	37	0.278698
8	58	0.276847
9	439	0.265420
10	119	0.264936
11	138	0.249575
12	61	0.237952
13	169	0.219989
14	433	0.217657
15	10700	0.209158
16	170	0.198934
17	703	0.196401
18	87	0.194668
19	125	0.183941
20	484	0.182263
21	95	0.178836
22	29	0.172746
23	146	0.172680
24	4380	0.161954
25	1393	0.159329
26	4478	0.157140
27	144	0.157083
28	2756	0.156861
29	1575	0.156281
30	2747	0.155772
31	896	0.155103
32	881	0.152123
33	515	0.152033
34	1405	0.146667
35	118	0.141721
36	820	0.138939
37	184	0.135287
38	3644	0.135164
39	98	0.134186
40	108	0.133721
41	2748	0.133310
42	1702	0.131186
43	249	0.130439
44	578	0.128097
45	3073	0.127876
46	964	0.126655
47	1265	0.126620
48	397	0.125944
49	519	0.124700
50	3810	0.124164
51	305	0.123700
52	1312	0.123642
53	100	0.121754
54	6370	0.121092
55	2577	0.121036
56	595	0.120747
57	145	0.120298
58	261	0.120133
59	172	0.118863
60	1383	0.117993
61	3699	0.117728
62	1662	0.117650
63	822	0.117373
64	91	0.116976
65	1890	0.116502
66	7231	0.114571
67	6818	0.114279
68	376	0.114011
69	304	0.113987
70	952	0.113177
71	6416	0.113098
72	1889	0.112714
73	696	0.111405
74	2190	0.111075
75	2654	0.108280
76	102	0.108221
77	4848	0.107505
78	1229	0.107219
79	171	0.106966
80	2757	0.106140
81	2749	0.106034
82	4477	0.105575
83	3079	0.105100
84	1392	0.104740
85	1317	0.103535
86	6720	0.102961
87	1953	0.102813
88	893	0.101125
89	1460	0.101101
90	6337	0.100958
91	132	0.100735
92	3646	0.099387
93	63	0.099179
94	7428	0.099132
95	702	0.099026
96	8304	0.098662
97	1459	0.097836
98	183	0.097719
99	94	0.097118
100	216	0.097063
