Dataset: cit-HepTh
Vertices: 27769
Edges: 352285
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 111.251864
Runtime (seconds): 0.175000
Memory Usage (MB): 3.54

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	22153	1.000000
2	22743	0.799656
3	22709	0.770182
4	25991	0.659905
5	16726	0.463754
6	15603	0.426070
7	19155	0.416331
8	16838	0.339796
9	19400	0.325457
10	14724	0.316996
11	22923	0.291293
12	17389	0.284224
13	14159	0.276051
14	16907	0.248952
15	17578	0.228069
16	1642	0.218866
17	14350	0.218242
18	17225	0.213386
19	26699	0.210516
20	18733	0.210153
21	21761	0.209988
22	17550	0.205399
23	17852	0.200276
24	22645	0.197862
25	23111	0.196262
26	22797	0.194842
27	22653	0.193144
28	5338	0.190465
29	22668	0.187834
30	3159	0.186824
31	22774	0.185946
32	26167	0.185857
33	17208	0.180668
34	23655	0.179573
35	17569	0.177947
36	22116	0.177742
37	15270	0.177646
38	22403	0.177199
39	16520	0.174334
40	21339	0.172328
41	16870	0.172053
42	8544	0.171128
43	23361	0.170138
44	16963	0.169324
45	597	0.167441
46	17211	0.167237
47	6349	0.164807
48	24152	0.164582
49	20240	0.162285
50	22796	0.162268
51	20080	0.160936
52	15156	0.160180
53	27040	0.158158
54	14487	0.157574
55	20363	0.156538
56	17658	0.151297
57	25689	0.150938
58	23778	0.150046
59	21937	0.149798
60	15793	0.148165
61	22581	0.148008
62	19576	0.145752
63	27644	0.143807
64	21726	0.142083
65	18675	0.141632
66	15960	0.140162
67	20230	0.139496
68	23544	0.139211
69	18702	0.138918
70	17398	0.136882
71	17145	0.136877
72	16340	0.135745
73	6386	0.135325
74	20842	0.135097
75	24579	0.134099
76	23867	0.133695
77	23136	0.132785
78	19392	0.132719
79	22809	0.127635
80	22119	0.126980
81	16790	0.126785
82	26564	0.126028
83	20496	0.125087
84	1661	0.125040
85	23561	0.124699
86	17921	0.124328
87	21709	0.124305
88	19694	0.123959
89	13240	0.123729
90	17577	0.123512
91	22092	0.123362
92	6615	0.122245
93	24135	0.121469
94	23359	0.120330
95	23021	0.119020
96	23531	0.118265
97	17920	0.116783
98	22844	0.115542
99	367	0.115329
100	9950	0.115291
