Dataset: citeseer
Vertices: 3264
Edges: 4536
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 13.744249
Runtime (seconds): 0.006000
Memory Usage (MB): 0.13

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	2907	1.000000
2	2039	0.461308
3	181	0.456757
4	2041	0.354524
5	3222	0.353346
6	2507	0.342973
7	2134	0.326240
8	1352	0.300216
9	3087	0.273654
10	1978	0.256380
11	3064	0.250998
12	2209	0.244710
13	2218	0.243938
14	3062	0.242225
15	3060	0.241652
16	2686	0.236798
17	2630	0.234484
18	1973	0.226141
19	2517	0.223494
20	371	0.222673
21	196	0.217923
22	199	0.215552
23	2641	0.212734
24	190	0.211263
25	3065	0.205366
26	291	0.200261
27	36	0.191555
28	1547	0.189160
29	1563	0.181426
30	2912	0.180377
31	2149	0.179161
32	2307	0.179016
33	2362	0.177880
34	484	0.177415
35	1289	0.177415
36	2502	0.177415
37	1474	0.173406
38	2979	0.170671
39	3063	0.170589
40	2197	0.166181
41	1200	0.164907
42	289	0.164611
43	2956	0.161726
44	2689	0.159918
45	2691	0.159918
46	1560	0.157279
47	2862	0.152624
48	3102	0.150055
49	2708	0.148213
50	3015	0.147299
51	2304	0.146958
52	3206	0.145015
53	2187	0.142813
54	1558	0.141014
55	363	0.140787
56	2070	0.139638
57	3	0.139636
58	2127	0.138662
59	18	0.137442
60	2852	0.136088
61	1793	0.134173
62	3066	0.134017
63	1343	0.133318
64	2073	0.132608
65	1569	0.131278
66	2959	0.130019
67	2863	0.129441
68	2059	0.128802
69	2216	0.127756
70	2220	0.122726
71	2198	0.118414
72	652	0.117590
73	2499	0.117450
74	3036	0.115128
75	2147	0.114080
76	1919	0.113481
77	1128	0.112767
78	1449	0.111083
79	491	0.110921
80	1983	0.110560
81	1760	0.107801
82	3231	0.106896
83	3053	0.105992
84	1872	0.103486
85	188	0.100136
86	1975	0.100016
87	1341	0.098554
88	1544	0.098554
89	2861	0.098554
90	3101	0.098554
91	3167	0.098355
92	2508	0.097413
93	848	0.097305
94	3098	0.096305
95	1914	0.095700
96	2360	0.095070
97	892	0.095059
98	2857	0.090920
99	2930	0.090774
100	1580	0.090765
