Dataset: cora
Vertices: 2708
Edges: 5278
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 14.390924
Runtime (seconds): 0.013000
Memory Usage (MB): 0.12

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	1	1.000000
2	810	0.180195
3	823	0.151686
4	1218	0.140364
5	14	0.139528
6	32	0.137987
7	241	0.133096
8	1345	0.130629
9	818	0.117725
10	499	0.114292
11	907	0.110825
12	644	0.110751
13	558	0.110466
14	713	0.109697
15	489	0.105526
16	1563	0.103218
17	1503	0.102348
18	525	0.101641
19	738	0.100036
20	1306	0.099863
21	1054	0.099479
22	1330	0.098256
23	2234	0.097940
24	1510	0.097068
25	1350	0.097041
26	2607	0.096025
27	2656	0.096025
28	2703	0.096025
29	1611	0.095492
30	2337	0.095086
31	2682	0.094767
32	1219	0.093422
33	2144	0.092701
34	1461	0.092245
35	1554	0.092152
36	1351	0.091536
37	654	0.091283
38	1201	0.090888
39	1863	0.090680
40	2402	0.090572
41	1693	0.090358
42	643	0.090312
43	884	0.090192
44	1367	0.089813
45	1655	0.088740
46	1011	0.088380
47	1862	0.088261
48	1558	0.088144
49	1755	0.088049
50	572	0.087920
51	423	0.087851
52	1504	0.087110
53	1697	0.086969
54	1590	0.086824
55	1941	0.086821
56	187	0.086597
57	714	0.086559
58	2571	0.086411
59	2403	0.086173
60	606	0.086045
61	2658	0.085442
62	1174	0.085301
63	1587	0.085270
64	1029	0.085200
65	1557	0.084922
66	1690	0.084846
67	1691	0.084846
68	2354	0.084793
69	1349	0.084733
70	1571	0.084708
71	1322	0.084580
72	791	0.084510
73	488	0.084487
74	1692	0.084434
75	2427	0.084434
76	1288	0.083583
77	881	0.083458
78	739	0.082605
79	2118	0.082335
80	1213	0.082181
81	1620	0.082123
82	1176	0.081275
83	2397	0.081250
84	2196	0.081052
85	1572	0.081012
86	2123	0.080976
87	1747	0.080550
88	1197	0.080517
89	1315	0.080157
90	1531	0.080030
91	1561	0.080030
92	2325	0.080030
93	2381	0.080030
94	1626	0.079956
95	2470	0.079936
96	1251	0.079893
97	22	0.079796
98	1055	0.079768
99	2667	0.079636
100	1318	0.079463
