Dataset: er_1000_dense
Vertices: 1000
Edges: 10019
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 21.014055
Runtime (seconds): 0.001000
Memory Usage (MB): 0.11

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	824	1.000000
2	116	0.822023
3	593	0.814663
4	253	0.812253
5	677	0.808097
6	185	0.802589
7	153	0.800106
8	845	0.798116
9	58	0.796325
10	712	0.793543
11	56	0.792541
12	64	0.791706
13	513	0.790148
14	469	0.778597
15	697	0.772255
16	646	0.764780
17	301	0.763898
18	670	0.761617
19	657	0.761508
20	231	0.757544
21	416	0.755353
22	636	0.755010
23	864	0.751840
24	742	0.751385
25	870	0.748095
26	981	0.747943
27	280	0.745739
28	244	0.740540
29	55	0.738060
30	307	0.737800
31	218	0.734436
32	860	0.727741
33	163	0.723445
34	763	0.723217
35	599	0.717939
36	471	0.716335
37	629	0.713851
38	382	0.713140
39	586	0.712791
40	738	0.712530
41	172	0.711748
42	802	0.708460
43	848	0.708071
44	198	0.708050
45	200	0.707630
46	383	0.707204
47	900	0.706993
48	537	0.706107
49	722	0.705010
50	9	0.704144
51	210	0.701115
52	909	0.698290
53	396	0.697376
54	424	0.696575
55	239	0.695766
56	264	0.695740
57	749	0.695145
58	477	0.694996
59	755	0.694053
60	128	0.691989
61	409	0.691577
62	88	0.691005
63	998	0.689238
64	649	0.687079
65	17	0.686014
66	189	0.685639
67	668	0.685464
68	497	0.685384
69	564	0.684085
70	921	0.683321
71	568	0.682813
72	454	0.682722
73	708	0.682358
74	119	0.681099
75	879	0.679361
76	61	0.678993
77	709	0.678021
78	606	0.677570
79	256	0.677553
80	810	0.675969
81	990	0.672872
82	916	0.672643
83	3	0.670495
84	996	0.670383
85	927	0.669504
86	333	0.667810
87	452	0.667263
88	816	0.667100
89	734	0.664205
90	249	0.664138
91	314	0.663835
92	669	0.663128
93	853	0.663098
94	275	0.662703
95	520	0.662395
96	830	0.662084
97	363	0.661433
98	632	0.661114
99	344	0.660797
100	726	0.660593
