Dataset: er_1000_sparse
Vertices: 1000
Edges: 2477
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 6.187964
Runtime (seconds): 0.000000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	196	1.000000
2	123	0.951805
3	121	0.923615
4	489	0.907078
5	364	0.886077
6	427	0.866177
7	953	0.862475
8	844	0.858110
9	555	0.815094
10	463	0.796180
11	702	0.752283
12	868	0.729309
13	434	0.720899
14	112	0.717299
15	753	0.709935
16	551	0.709000
17	211	0.699127
18	820	0.691270
19	614	0.689449
20	160	0.677217
21	454	0.673262
22	515	0.671234
23	499	0.667938
24	532	0.661719
25	872	0.648912
26	249	0.646453
27	831	0.641900
28	814	0.640397
29	912	0.636077
30	583	0.635961
31	491	0.631514
32	851	0.628641
33	67	0.628452
34	973	0.625638
35	365	0.625405
36	836	0.617842
37	438	0.615299
38	206	0.613420
39	749	0.606681
40	142	0.605364
41	156	0.598984
42	924	0.594727
43	522	0.593481
44	528	0.590217
45	141	0.587528
46	299	0.586100
47	860	0.585969
48	722	0.584844
49	935	0.574637
50	430	0.569194
51	579	0.569090
52	340	0.566334
53	232	0.563316
54	536	0.563157
55	618	0.561675
56	881	0.557928
57	83	0.557556
58	145	0.556369
59	51	0.552053
60	549	0.544570
61	510	0.544164
62	971	0.541506
63	607	0.535517
64	575	0.533303
65	815	0.532094
66	838	0.529202
67	381	0.528555
68	507	0.528361
69	525	0.526612
70	369	0.523570
71	339	0.522389
72	738	0.518291
73	537	0.516818
74	177	0.515550
75	282	0.514924
76	446	0.514472
77	687	0.512056
78	255	0.505843
79	216	0.505607
80	524	0.501689
81	257	0.499681
82	132	0.497555
83	685	0.494602
84	847	0.494078
85	358	0.490987
86	318	0.490768
87	25	0.486568
88	568	0.486147
89	644	0.485682
90	559	0.478693
91	656	0.477838
92	917	0.477559
93	668	0.475357
94	320	0.474756
95	164	0.474061
96	948	0.473705
97	49	0.472930
98	497	0.471253
99	790	0.468297
100	680	0.468239
