Dataset: er_10k_dense
Vertices: 10000
Edges: 50066
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 11.126464
Runtime (seconds): 0.017000
Memory Usage (MB): 0.69

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	8812	1.000000
2	3911	0.972814
3	2334	0.935300
4	2232	0.891180
5	3044	0.887263
6	6997	0.853034
7	2207	0.843778
8	7412	0.831859
9	8118	0.824242
10	2820	0.823238
11	1992	0.821615
12	2658	0.810023
13	2352	0.803954
14	6164	0.799121
15	9369	0.797837
16	2686	0.795974
17	8299	0.794176
18	8689	0.792491
19	4188	0.788612
20	2577	0.779645
21	1133	0.777213
22	3207	0.772140
23	3788	0.759072
24	325	0.758231
25	6461	0.758091
26	4619	0.748880
27	2127	0.748262
28	4926	0.747726
29	4489	0.744815
30	5576	0.744698
31	5073	0.740118
32	5459	0.738148
33	8637	0.737802
34	8342	0.736856
35	3499	0.732158
36	8674	0.720929
37	6707	0.719208
38	3496	0.718621
39	3450	0.714913
40	1907	0.707117
41	258	0.706384
42	7536	0.705763
43	9530	0.705696
44	1244	0.705435
45	7815	0.702804
46	1221	0.702289
47	3674	0.701999
48	2890	0.701481
49	6964	0.700389
50	4980	0.698974
51	7572	0.698100
52	9416	0.697835
53	7725	0.697297
54	8435	0.697221
55	2900	0.696221
56	4508	0.695463
57	4380	0.695401
58	4193	0.695383
59	1087	0.695254
60	6446	0.693819
61	1451	0.691976
62	2776	0.691477
63	6714	0.690670
64	5927	0.688045
65	3516	0.687106
66	9107	0.686480
67	2606	0.685529
68	4514	0.684633
69	3456	0.684088
70	6160	0.683542
71	3924	0.682222
72	6619	0.681758
73	9169	0.679855
74	882	0.679617
75	141	0.679105
76	3739	0.678867
77	6092	0.678449
78	5327	0.678134
79	7519	0.677718
80	6114	0.677491
81	2970	0.675828
82	4371	0.675492
83	6123	0.675372
84	7284	0.674871
85	6476	0.674118
86	3833	0.673832
87	1246	0.673414
88	9212	0.672504
89	818	0.672177
90	1865	0.672058
91	2907	0.670762
92	8807	0.670559
93	2693	0.670482
94	8369	0.670293
95	3543	0.669950
96	5556	0.668665
97	1755	0.668537
98	9489	0.668137
99	5872	0.667797
100	7127	0.666754
