Dataset: er_5k_sparse
Vertices: 5000
Edges: 12677
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 6.220722
Runtime (seconds): 0.016000
Memory Usage (MB): 0.25

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	3016	1.000000
2	2886	0.568754
3	550	0.566139
4	3523	0.561903
5	4079	0.557848
6	3867	0.554233
7	2343	0.549167
8	3546	0.545310
9	3015	0.529863
10	1158	0.523783
11	4745	0.520598
12	1589	0.518466
13	4923	0.518437
14	3490	0.516107
15	4138	0.516047
16	1808	0.510833
17	2122	0.510746
18	2141	0.506854
19	4157	0.501652
20	3383	0.501337
21	2188	0.498871
22	4767	0.490251
23	738	0.489408
24	2920	0.487184
25	4451	0.486962
26	1367	0.484940
27	2748	0.477378
28	1810	0.476471
29	1528	0.476058
30	4949	0.476053
31	3401	0.474843
32	1650	0.473148
33	138	0.470020
34	931	0.468905
35	4283	0.463605
36	2599	0.458253
37	472	0.458142
38	1541	0.453501
39	191	0.450623
40	2099	0.449836
41	3577	0.445568
42	2780	0.445427
43	935	0.444478
44	2747	0.444035
45	1182	0.443191
46	441	0.442783
47	3555	0.442200
48	1755	0.442011
49	3326	0.441069
50	889	0.438667
51	264	0.438654
52	1672	0.436534
53	1457	0.433708
54	3156	0.432875
55	2818	0.430279
56	2165	0.430054
57	496	0.429635
58	339	0.429633
59	1988	0.427973
60	4545	0.427261
61	2221	0.421063
62	3160	0.419413
63	1386	0.415286
64	3378	0.415053
65	1623	0.414877
66	634	0.414836
67	2028	0.413997
68	4379	0.412314
69	4988	0.411354
70	139	0.409525
71	4274	0.409143
72	1608	0.408694
73	3292	0.408324
74	3140	0.408268
75	1615	0.408231
76	3256	0.408157
77	2730	0.408095
78	4042	0.407889
79	2380	0.407494
80	1830	0.406738
81	4293	0.406268
82	1088	0.402413
83	3116	0.402350
84	4404	0.402087
85	1167	0.401092
86	366	0.400028
87	1100	0.399718
88	4599	0.399379
89	2338	0.398938
90	2716	0.398773
91	1032	0.398323
92	1788	0.395050
93	3905	0.394350
94	694	0.393440
95	4657	0.392675
96	97	0.392649
97	912	0.392264
98	4502	0.390201
99	673	0.388819
100	1162	0.388239
