Dataset: verify_known_structure
Vertices: 20
Edges: 35
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 5.117167
Runtime (seconds): 0.000000
Memory Usage (MB): 0.00

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	6	1.000000
2	1	0.895115
3	2	0.895115
4	3	0.895115
5	4	0.895115
6	5	0.895115
7	7	0.320793
8	8	0.320793
9	10	0.163413
10	9	0.157319
11	11	0.037279
12	13	0.009777
13	12	0.009197
14	15	0.008356
15	14	0.003545
16	16	0.001929
17	17	0.000377
18	18	0.000377
19	19	0.000377
20	20	0.000377
