Dataset: ws_5k_k6_p01
Vertices: 5000
Edges: 15000
Max Eigenvector Centrality: 1.000000
Largest Eigenvalue (Lambda): 6.147364
Runtime (seconds): 0.040000
Memory Usage (MB): 0.27

=== Top 100 Vertices by Eigenvector Centrality ===
Rank	Vertex_ID	Eigen_Centrality
1	1225	1.000000
2	300	0.955517
3	299	0.921786
4	1222	0.870040
5	2323	0.858087
6	1313	0.835981
7	1831	0.833330
8	1835	0.827569
9	1251	0.826612
10	1224	0.810544
11	296	0.809786
12	298	0.809059
13	1223	0.803979
14	301	0.800823
15	3053	0.798039
16	1830	0.789440
17	297	0.789432
18	1226	0.786687
19	381	0.786496
20	2326	0.780642
21	1227	0.773709
22	4343	0.767220
23	302	0.765056
24	1828	0.751630
25	1228	0.749415
26	1221	0.748419
27	1832	0.746176
28	3056	0.744883
29	1219	0.738529
30	304	0.737120
31	1833	0.734630
32	303	0.734619
33	383	0.734517
34	1315	0.732818
35	4749	0.731101
36	4747	0.727417
37	1220	0.726790
38	1311	0.722028
39	2324	0.719815
40	690	0.714395
41	1230	0.711219
42	2419	0.709639
43	1829	0.708365
44	306	0.704227
45	2325	0.700771
46	1229	0.698526
47	1314	0.696792
48	295	0.696454
49	2321	0.696388
50	1312	0.694598
51	1834	0.693725
52	3055	0.693232
53	4746	0.687749
54	692	0.685602
55	2421	0.684404
56	2328	0.683650
57	2181	0.681474
58	2424	0.677111
59	4752	0.669837
60	1653	0.669597
61	3066	0.665831
62	2322	0.664478
63	1310	0.662158
64	3054	0.662157
65	1655	0.661649
66	294	0.660537
67	1253	0.660112
68	2420	0.660094
69	3057	0.660090
70	4748	0.658678
71	1123	0.657992
72	1217	0.655948
73	2422	0.654299
74	3630	0.652226
75	1218	0.651043
76	695	0.650056
77	1317	0.649134
78	1316	0.648906
79	688	0.648618
80	57	0.647830
81	687	0.644793
82	4750	0.644540
83	4743	0.642370
84	1170	0.642067
85	689	0.641850
86	1827	0.640858
87	384	0.640347
88	691	0.640220
89	2329	0.639379
90	309	0.637216
91	1231	0.636898
92	1232	0.636265
93	693	0.634489
94	4745	0.632502
95	981	0.628777
96	3059	0.627213
97	1836	0.625844
98	4751	0.625840
99	293	0.625830
100	380	0.624827
