Dataset: ba_5k_m3
Vertices: 5000
Edges: 14991
Max Katz Centrality: 1.000000
Alpha Parameter: 0.046269
Runtime (seconds): 0.040000
Memory Usage (MB): 0.27

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	6	1.000000
2	9	0.673250
3	1	0.452824
4	7	0.398837
5	5	0.344656
6	14	0.325500
7	26	0.323839
8	13	0.296408
9	3	0.277343
10	12	0.267940
11	10	0.255521
12	8	0.254955
13	15	0.247612
14	19	0.238728
15	22	0.225539
16	24	0.200660
17	16	0.192296
18	31	0.190128
19	29	0.184465
20	21	0.183708
21	62	0.182248
22	18	0.173137
23	20	0.169939
24	4	0.169345
25	17	0.166105
26	37	0.163336
27	54	0.162629
28	81	0.161427
29	11	0.156056
30	84	0.152272
31	33	0.148542
32	35	0.144651
33	41	0.142427
34	96	0.141748
35	77	0.141218
36	59	0.139585
37	60	0.137693
38	183	0.136142
39	72	0.135192
40	75	0.129485
41	27	0.128666
42	74	0.127219
43	43	0.126763
44	143	0.126754
45	44	0.123698
46	28	0.122414
47	87	0.120950
48	40	0.120488
49	148	0.119098
50	39	0.119046
51	112	0.117183
52	46	0.115664
53	180	0.114796
54	50	0.113578
55	34	0.112659
56	25	0.111615
57	102	0.110697
58	279	0.109169
59	287	0.107129
60	205	0.105593
61	64	0.105227
62	95	0.104103
63	66	0.102700
64	90	0.102113
65	98	0.101909
66	88	0.100361
67	228	0.099568
68	42	0.099465
69	101	0.099306
70	135	0.099055
71	70	0.098652
72	136	0.098374
73	116	0.098347
74	639	0.097660
75	665	0.097343
76	36	0.096934
77	76	0.096745
78	196	0.096555
79	93	0.096337
80	56	0.096176
81	969	0.095988
82	134	0.095486
83	771	0.095455
84	61	0.095250
85	71	0.095197
86	727	0.094836
87	2575	0.094510
88	2992	0.094144
89	1615	0.094045
90	226	0.093968
91	58	0.092767
92	317	0.092128
93	1283	0.091171
94	51	0.090454
95	236	0.090065
96	103	0.089658
97	55	0.089483
98	128	0.088981
99	169	0.088704
100	229	0.087657
