Dataset: cit-DBLP
Vertices: 12592
Edges: 49621
Max Katz Centrality: 1.000000
Alpha Parameter: 0.019851
Runtime (seconds): 0.090000
Memory Usage (MB): 0.76

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	62	1.000000
2	203	0.884795
3	107	0.490867
4	1477	0.438978
5	439	0.391379
6	630	0.339776
7	700	0.328458
8	58	0.324051
9	10700	0.303623
10	37	0.286986
11	119	0.279306
12	138	0.275175
13	61	0.265361
14	433	0.263920
15	703	0.222085
16	169	0.215397
17	87	0.214410
18	484	0.211578
19	125	0.208769
20	95	0.203247
21	4380	0.202391
22	170	0.202252
23	146	0.199667
24	397	0.189434
25	144	0.188594
26	249	0.181563
27	29	0.172741
28	964	0.171804
29	896	0.170790
30	881	0.168220
31	1312	0.165812
32	1575	0.165570
33	515	0.163700
34	1393	0.156715
35	2190	0.156201
36	4478	0.153825
37	1265	0.153329
38	2756	0.151001
39	2747	0.149616
40	820	0.149140
41	1405	0.146965
42	3073	0.143844
43	578	0.139834
44	3644	0.139577
45	261	0.139348
46	145	0.138184
47	118	0.138062
48	184	0.137544
49	98	0.136542
50	376	0.135993
51	2748	0.134467
52	1702	0.133862
53	1889	0.133069
54	442	0.131618
55	108	0.131468
56	1662	0.130814
57	1383	0.130109
58	262	0.129179
59	4848	0.129119
60	2577	0.128835
61	395	0.128800
62	595	0.128490
63	8304	0.128052
64	1317	0.127556
65	519	0.127286
66	375	0.127179
67	172	0.127056
68	3699	0.126214
69	822	0.125706
70	3810	0.125487
71	7320	0.125464
72	305	0.124478
73	839	0.124237
74	100	0.123487
75	1066	0.123474
76	132	0.122725
77	7231	0.122005
78	2815	0.121259
79	6370	0.121112
80	6818	0.121030
81	1890	0.119081
82	696	0.119049
83	91	0.118024
84	1953	0.117087
85	304	0.116668
86	702	0.115421
87	486	0.115280
88	952	0.114320
89	141	0.114010
90	1392	0.113967
91	756	0.113786
92	6228	0.112871
93	6416	0.112474
94	320	0.111681
95	6720	0.111429
96	374	0.111042
97	36	0.111009
98	2654	0.110139
99	893	0.109722
100	149	0.109609
