Dataset: cit-HepTh
Vertices: 27769
Edges: 352285
Max Katz Centrality: 1.000000
Alpha Parameter: 0.007640
Runtime (seconds): 0.853000
Memory Usage (MB): 3.54

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	22153	1.000000
2	22743	0.776178
3	22709	0.741953
4	25991	0.651453
5	16726	0.515443
6	15603	0.483337
7	19155	0.475213
8	14159	0.395214
9	16838	0.372865
10	19400	0.360406
11	14724	0.356749
12	26699	0.327898
13	14350	0.313311
14	16907	0.305198
15	17389	0.304500
16	22923	0.280495
17	26167	0.265919
18	22116	0.255075
19	17578	0.250883
20	17550	0.241675
21	1642	0.238338
22	21761	0.237704
23	17225	0.233168
24	18733	0.231201
25	17852	0.228220
26	22668	0.216482
27	22653	0.210941
28	5338	0.210820
29	3159	0.202641
30	15270	0.200169
31	16870	0.198828
32	17208	0.198642
33	22645	0.197470
34	16520	0.197262
35	16963	0.194187
36	23655	0.191830
37	20363	0.191712
38	15156	0.190500
39	17569	0.190094
40	27040	0.189618
41	17211	0.189517
42	8544	0.189159
43	22797	0.188510
44	22774	0.185918
45	23111	0.185634
46	22403	0.184895
47	24152	0.182762
48	19576	0.180403
49	15793	0.175527
50	22119	0.174569
51	597	0.174156
52	14487	0.173030
53	15960	0.172937
54	23361	0.169173
55	18675	0.165472
56	21339	0.165281
57	21937	0.164982
58	22581	0.164812
59	13240	0.164372
60	17398	0.164177
61	6349	0.162433
62	20230	0.162267
63	17829	0.160226
64	17145	0.158691
65	22796	0.158239
66	21726	0.157254
67	16340	0.157162
68	20240	0.157018
69	6386	0.155482
70	20080	0.154412
71	23778	0.153832
72	25689	0.153095
73	19392	0.152569
74	18702	0.149733
75	17658	0.147947
76	20842	0.146531
77	23867	0.146064
78	17920	0.146037
79	4345	0.145642
80	27644	0.145467
81	16790	0.144986
82	20496	0.143853
83	19694	0.143031
84	23544	0.141609
85	17847	0.141479
86	6922	0.140466
87	19538	0.140449
88	24493	0.139744
89	17921	0.139673
90	21709	0.139490
91	25870	0.138820
92	17638	0.138735
93	23136	0.136677
94	16376	0.136436
95	24579	0.135575
96	14908	0.134161
97	18219	0.134031
98	1661	0.133354
99	22809	0.132721
100	17577	0.132207
