Dataset: citeseer
Vertices: 3264
Edges: 4536
Max Katz Centrality: 1.000000
Alpha Parameter: 0.061844
Runtime (seconds): 0.013000
Memory Usage (MB): 0.13

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	2907	1.000000
2	2039	0.453002
3	181	0.447556
4	3222	0.388131
5	2041	0.372803
6	2507	0.333751
7	2134	0.318284
8	1352	0.309971
9	1978	0.279059
10	2686	0.277039
11	3087	0.272422
12	3064	0.268302
13	2218	0.263408
14	3060	0.256221
15	3062	0.255868
16	2630	0.250237
17	2209	0.249952
18	190	0.243293
19	2517	0.242646
20	371	0.242104
21	291	0.231757
22	2641	0.229562
23	1973	0.227162
24	196	0.225986
25	3065	0.221582
26	199	0.221293
27	1200	0.205539
28	36	0.202530
29	2307	0.201274
30	1547	0.201093
31	2092	0.194722
32	3063	0.194184
33	1563	0.193542
34	870	0.193076
35	1474	0.190905
36	2362	0.189835
37	289	0.189197
38	2149	0.188727
39	2912	0.186310
40	484	0.184694
41	1289	0.184694
42	2502	0.184694
43	2979	0.182517
44	1560	0.180729
45	2197	0.180515
46	2862	0.178735
47	1558	0.176945
48	2689	0.175751
49	2691	0.175751
50	2956	0.174391
51	3102	0.173803
52	2070	0.173080
53	2708	0.172098
54	2220	0.170863
55	2187	0.167817
56	2852	0.165146
57	363	0.163743
58	18	0.162445
59	3206	0.161721
60	3	0.160832
61	2366	0.160571
62	2073	0.160004
63	3015	0.159350
64	2127	0.158879
65	2304	0.158295
66	3066	0.157456
67	1793	0.153941
68	2059	0.153795
69	1343	0.150499
70	2216	0.150451
71	1872	0.149768
72	2959	0.143829
73	3036	0.142885
74	1569	0.142455
75	2863	0.142002
76	2499	0.141572
77	1919	0.140609
78	652	0.139827
79	1975	0.139678
80	1983	0.136687
81	2147	0.135663
82	491	0.133086
83	2198	0.132978
84	2508	0.131931
85	2360	0.131283
86	1128	0.131003
87	1760	0.129187
88	1449	0.127673
89	3231	0.124559
90	848	0.124310
91	2090	0.123349
92	188	0.121942
93	2201	0.121875
94	3053	0.121478
95	3098	0.120937
96	3075	0.119954
97	2930	0.118407
98	1351	0.118117
99	1914	0.117570
100	1341	0.116855
