Dataset: er_1000_dense
Vertices: 1000
Edges: 10019
Max Katz Centrality: 1.000000
Alpha Parameter: 0.040449
Runtime (seconds): 0.011000
Memory Usage (MB): 0.11

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	824	1.000000
2	253	0.838518
3	116	0.837135
4	593	0.832561
5	677	0.831254
6	185	0.828020
7	58	0.826612
8	153	0.825292
9	64	0.817416
10	845	0.815959
11	513	0.814142
12	56	0.812370
13	712	0.812369
14	469	0.805568
15	657	0.796594
16	697	0.795365
17	301	0.793090
18	670	0.792257
19	646	0.789889
20	416	0.787153
21	870	0.778689
22	636	0.778128
23	231	0.778121
24	742	0.776578
25	280	0.776308
26	864	0.775815
27	307	0.775539
28	981	0.772675
29	218	0.771560
30	55	0.767012
31	244	0.763327
32	860	0.760861
33	763	0.756763
34	163	0.754782
35	471	0.748696
36	629	0.748285
37	198	0.747908
38	599	0.747685
39	586	0.745960
40	802	0.743891
41	172	0.742220
42	382	0.742076
43	900	0.741703
44	722	0.741530
45	424	0.739520
46	738	0.739202
47	200	0.738264
48	537	0.736471
49	9	0.736117
50	848	0.735509
51	396	0.734902
52	909	0.734849
53	210	0.734690
54	383	0.734289
55	239	0.731711
56	668	0.730208
57	477	0.728657
58	998	0.728560
59	755	0.728509
60	497	0.727121
61	189	0.726815
62	264	0.726690
63	749	0.725278
64	454	0.723696
65	708	0.723482
66	606	0.723469
67	88	0.722879
68	921	0.720669
69	568	0.719904
70	649	0.719865
71	128	0.719005
72	256	0.717851
73	409	0.717204
74	564	0.717075
75	709	0.716441
76	17	0.715052
77	927	0.714111
78	879	0.713973
79	119	0.713866
80	61	0.713191
81	990	0.712851
82	810	0.710062
83	916	0.707489
84	249	0.707320
85	996	0.706583
86	734	0.705946
87	333	0.705109
88	830	0.704875
89	816	0.703812
90	726	0.701318
91	3	0.701152
92	853	0.701001
93	452	0.700282
94	632	0.699639
95	275	0.699462
96	344	0.698734
97	286	0.698307
98	617	0.697870
99	429	0.697454
100	167	0.697074
