Dataset: er_1000_sparse
Vertices: 1000
Edges: 2501
Max Katz Centrality: 1.000000
Alpha Parameter: 0.136936
Runtime (seconds): 0.006000
Memory Usage (MB): 0.05

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	682	1.000000
2	996	0.980154
3	1	0.980052
4	161	0.969525
5	800	0.962791
6	995	0.924187
7	833	0.922057
8	870	0.836929
9	85	0.824985
10	782	0.821414
11	901	0.816467
12	667	0.800702
13	462	0.793787
14	776	0.768249
15	962	0.760121
16	591	0.756164
17	621	0.755073
18	872	0.748738
19	282	0.736400
20	443	0.728858
21	537	0.719906
22	676	0.718720
23	503	0.712799
24	819	0.711899
25	924	0.707283
26	440	0.707191
27	799	0.706122
28	207	0.704933
29	770	0.704464
30	766	0.697911
31	383	0.690680
32	386	0.690226
33	828	0.687164
34	628	0.686281
35	869	0.683067
36	420	0.679145
37	286	0.674137
38	343	0.673487
39	572	0.671386
40	149	0.666337
41	855	0.663566
42	408	0.662306
43	308	0.660527
44	711	0.655617
45	896	0.655505
46	844	0.646472
47	151	0.644835
48	193	0.644046
49	738	0.641820
50	224	0.637999
51	598	0.637983
52	952	0.637711
53	600	0.636561
54	55	0.634404
55	5	0.634348
56	202	0.632604
57	217	0.631312
58	567	0.631286
59	368	0.629673
60	849	0.628630
61	406	0.628601
62	146	0.625815
63	292	0.623928
64	715	0.622185
65	653	0.621570
66	850	0.619335
67	675	0.618848
68	878	0.617056
69	98	0.616992
70	942	0.616364
71	350	0.612239
72	820	0.611486
73	206	0.611202
74	557	0.608665
75	505	0.608404
76	925	0.607692
77	733	0.602675
78	311	0.602176
79	560	0.601339
80	582	0.600974
81	298	0.600187
82	359	0.600007
83	708	0.599404
84	581	0.598817
85	790	0.595525
86	534	0.594301
87	39	0.594208
88	490	0.593467
89	78	0.592851
90	385	0.592515
91	137	0.591457
92	917	0.591230
93	12	0.587516
94	472	0.584565
95	500	0.584394
96	752	0.583786
97	330	0.582356
98	135	0.582014
99	822	0.580994
100	680	0.576302
