Dataset: er_10k_dense
Vertices: 10000
Edges: 49791
Max Katz Centrality: 1.000000
Alpha Parameter: 0.076807
Runtime (seconds): 0.072000
Memory Usage (MB): 0.69

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	34	1.000000
2	7334	0.992167
3	3912	0.953597
4	4692	0.950672
5	3833	0.943923
6	1145	0.941793
7	1949	0.929328
8	3646	0.923440
9	7691	0.918015
10	5331	0.914496
11	531	0.901898
12	8034	0.891831
13	7455	0.882958
14	9026	0.882190
15	4889	0.875680
16	5146	0.870978
17	2582	0.869453
18	1770	0.868456
19	8168	0.865698
20	3595	0.865642
21	2256	0.863710
22	6345	0.862988
23	2515	0.860613
24	543	0.858549
25	9097	0.857532
26	8404	0.855369
27	5138	0.853853
28	3366	0.848387
29	8710	0.848089
30	7798	0.846896
31	5681	0.844174
32	1051	0.844164
33	3891	0.842280
34	6145	0.839803
35	7104	0.836550
36	1591	0.835622
37	6024	0.835369
38	4587	0.834489
39	3255	0.834162
40	7681	0.831209
41	8964	0.828631
42	5421	0.825988
43	3729	0.823753
44	1985	0.821807
45	3245	0.821170
46	7086	0.819059
47	1966	0.814791
48	9006	0.813046
49	8843	0.812579
50	3004	0.809427
51	9679	0.807066
52	5361	0.806740
53	5960	0.805995
54	309	0.805241
55	5906	0.804828
56	5152	0.804132
57	8493	0.801605
58	6840	0.800782
59	9688	0.800252
60	232	0.799460
61	4278	0.799350
62	2199	0.797450
63	9007	0.796698
64	5261	0.796584
65	7261	0.795562
66	6492	0.795093
67	9689	0.792974
68	6626	0.792777
69	2639	0.792767
70	6984	0.792638
71	4637	0.792100
72	3039	0.791726
73	2674	0.791531
74	2823	0.790854
75	4917	0.790558
76	9121	0.786690
77	8486	0.786345
78	6658	0.785731
79	4595	0.785103
80	7868	0.784796
81	6355	0.784756
82	7190	0.783743
83	1551	0.783549
84	3770	0.783455
85	3084	0.783085
86	8121	0.782954
87	1692	0.782852
88	7875	0.780413
89	4710	0.779656
90	1373	0.779520
91	3614	0.777604
92	3726	0.777557
93	9490	0.777279
94	9321	0.776413
95	7677	0.775077
96	3854	0.774625
97	9484	0.774383
98	8449	0.773946
99	5683	0.773696
100	2857	0.770889
