Dataset: er_10k_sparse
Vertices: 10000
Edges: 25140
Max Katz Centrality: 1.000000
Alpha Parameter: 0.135800
Runtime (seconds): 0.060000
Memory Usage (MB): 0.50

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	1239	1.000000
2	1832	0.995296
3	3293	0.957591
4	2849	0.917036
5	2929	0.909420
6	1169	0.909385
7	2386	0.907730
8	3819	0.873544
9	5300	0.867824
10	7367	0.861378
11	3916	0.830556
12	9671	0.815553
13	3049	0.807013
14	546	0.800226
15	6713	0.795828
16	4543	0.795576
17	1780	0.790804
18	7446	0.783714
19	8007	0.779793
20	19	0.778182
21	8352	0.772399
22	9432	0.754809
23	7384	0.748521
24	96	0.744085
25	2868	0.742191
26	3152	0.738192
27	3298	0.735400
28	7103	0.730030
29	648	0.728764
30	9216	0.726679
31	8207	0.726016
32	2787	0.725380
33	7767	0.719608
34	9455	0.718982
35	4462	0.718373
36	2115	0.716040
37	2030	0.711262
38	5961	0.711114
39	2233	0.710859
40	6762	0.709568
41	5546	0.706048
42	244	0.696485
43	3434	0.694579
44	2612	0.694397
45	5373	0.682177
46	8621	0.682150
47	473	0.681133
48	4881	0.678850
49	5239	0.677427
50	7366	0.672620
51	7203	0.671752
52	2331	0.669306
53	2150	0.666868
54	8061	0.666838
55	4856	0.666135
56	3523	0.665339
57	3847	0.663494
58	6932	0.662392
59	6567	0.661731
60	9777	0.661388
61	6998	0.661132
62	3946	0.656749
63	7570	0.654626
64	4953	0.654313
65	8545	0.648017
66	137	0.646999
67	1512	0.646209
68	1974	0.644543
69	3597	0.643088
70	3708	0.642856
71	4038	0.641339
72	4912	0.641324
73	7349	0.640948
74	5049	0.639684
75	8415	0.639389
76	1687	0.638314
77	1785	0.638114
78	551	0.636700
79	3642	0.636006
80	2637	0.634504
81	8873	0.632729
82	8099	0.632449
83	6946	0.630389
84	7651	0.629197
85	6041	0.628710
86	4206	0.627523
87	8147	0.627151
88	5332	0.626053
89	4790	0.625692
90	9096	0.624649
91	6420	0.624594
92	6872	0.623930
93	8401	0.623292
94	8659	0.621546
95	8269	0.621207
96	2187	0.620968
97	1252	0.617795
98	8909	0.616720
99	3875	0.616093
100	7608	0.613542
