Dataset,Vertices,Edges,MaxKatz,Runtime_sec,Memory_MB,AvgDegree,Density,Alpha
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,0.141667
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,0.425000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,0.166108
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,0.495833
verify_star_9,9,8,-nan,0.001000,0.00,1.7778,2.222222e-01,0.478125
er_1000_dense,1000,9865,1.000000,0.006000,0.11,19.7300,1.974975e-02,0.040846
er_1000_sparse,1000,2492,1.000000,0.004000,0.05,4.9840,4.988989e-03,0.138296
er_100_dense,100,1046,1.000000,0.000000,0.01,20.9200,2.113131e-01,0.039231
er_100_sparse,100,253,1.000000,0.000000,0.00,5.0600,5.111111e-02,0.141488
er_10k_dense,10000,49722,1.000000,0.022000,0.68,9.9444,9.945395e-04,0.076924
er_10k_sparse,10000,24850,1.000000,0.031000,0.49,4.9700,4.970497e-04,0.137481
er_500_dense,500,6364,1.000000,0.002000,0.06,25.4560,5.101403e-02,0.032046
er_500_sparse,500,1280,1.000000,0.000000,0.03,5.1200,1.026052e-02,0.135846
er_5k_dense,5000,37714,1.000000,0.013000,0.44,15.0856,3.017724e-03,0.052755
er_5k_sparse,5000,12660,1.000000,0.009000,0.25,5.0640,1.013003e-03,0.135334
ba_1k_m3,1000,2991,1.000000,0.001000,0.05,5.9820,5.987988e-03,0.063801
ba_1k_m5,1000,4975,1.000000,0.002000,0.07,9.9500,9.959960e-03,0.042485
ws_1k_k10_p03,1000,5000,1.000000,0.006000,0.07,10.0000,1.001001e-02,0.082579
ws_1k_k6_p01,1000,3000,1.000000,0.007000,0.05,6.0000,6.006006e-03,0.138154
er_5k_dense,5000,37714,1.000000,0.014000,0.44,15.0856,3.017724e-03,0.052755
er_5k_sparse,5000,12660,1.000000,0.012000,0.25,5.0640,1.013003e-03,0.135334
er_10k_dense,10000,49722,1.000000,0.024000,0.68,9.9444,9.945395e-04,0.076924
er_10k_sparse,10000,24850,1.000000,0.024000,0.49,4.9700,4.970497e-04,0.137481
ba_5k_m3,5000,14991,1.000000,0.013000,0.27,5.9964,1.199520e-03,0.047145
ba_5k_m5,5000,24975,1.000000,0.017000,0.34,9.9900,1.998400e-03,0.033027
ba_10k_m3,10000,29991,1.000000,0.035000,0.53,5.9982,5.998800e-04,0.040024
ws_5k_k6_p01,5000,15000,1.000000,0.030000,0.27,6.0000,1.200240e-03,0.138312
cit-DBLP,12592,49621,1.000000,0.033000,0.76,7.8814,6.259513e-04,0.019851
cit-HepTh,27769,352285,1.000000,0.351000,3.54,25.3725,9.137330e-04,0.007640
citeseer,3264,4536,1.000000,0.003000,0.13,2.7794,8.517964e-04,0.061844
cora,2708,5278,1.000000,0.007000,0.12,3.8981,1.440000e-03,0.059065
