Dataset: verify_known_structure
Vertices: 20
Edges: 35
Max Katz Centrality: 1.000000
Alpha Parameter: 0.166108
Runtime (seconds): 0.000000
Memory Usage (MB): 0.00

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	6	1.000000
2	1	0.859063
3	2	0.859063
4	3	0.859063
5	4	0.859063
6	5	0.859063
7	7	0.494704
8	8	0.494704
9	10	0.395780
10	9	0.352258
11	11	0.305533
12	16	0.275744
13	15	0.252672
14	13	0.242277
15	12	0.213163
16	14	0.204383
17	17	0.167971
18	18	0.167971
19	19	0.167971
20	20	0.167971
