Dataset: ws_5k_k6_p01
Vertices: 5000
Edges: 15000
Max Katz Centrality: 1.000000
Alpha Parameter: 0.138271
Runtime (seconds): 0.056000
Memory Usage (MB): 0.27

=== Top 100 Vertices by Katz Centrality ===
Rank	Vertex_ID	Katz_Centrality
1	1251	1.000000
2	4343	0.950863
3	1225	0.926960
4	3630	0.906574
5	1835	0.898103
6	981	0.897059
7	4104	0.892207
8	1313	0.881943
9	2367	0.881887
10	2323	0.878367
11	2419	0.877528
12	2424	0.872871
13	1653	0.869430
14	3053	0.868181
15	3363	0.860672
16	1655	0.858050
17	1831	0.856423
18	2421	0.838790
19	282	0.837970
20	2949	0.837686
21	381	0.836297
22	300	0.831081
23	1123	0.829931
24	2948	0.827247
25	2422	0.827101
26	269	0.826248
27	3702	0.825998
28	1760	0.825548
29	2181	0.819567
30	2326	0.818723
31	2272	0.815919
32	106	0.810650
33	1112	0.808595
34	2420	0.808237
35	3833	0.807045
36	4571	0.804256
37	2582	0.802783
38	2173	0.802319
39	1997	0.798048
40	4238	0.797074
41	4663	0.796957
42	3459	0.796421
43	2398	0.795735
44	1830	0.794787
45	57	0.792891
46	2089	0.791275
47	383	0.788664
48	1828	0.785754
49	1253	0.785411
50	1222	0.783014
51	548	0.782776
52	4103	0.782462
53	375	0.782441
54	3188	0.780415
55	3632	0.779379
56	47	0.778725
57	3863	0.778313
58	3066	0.777416
59	4747	0.777268
60	2366	0.776944
61	3571	0.776807
62	1086	0.776191
63	550	0.776156
64	2324	0.776013
65	1302	0.775663
66	1654	0.774273
67	227	0.774159
68	2838	0.772304
69	4749	0.771190
70	1874	0.769471
71	1315	0.769393
72	2328	0.769295
73	3056	0.768949
74	4330	0.768126
75	4021	0.768112
76	1191	0.767475
77	2745	0.765444
78	3377	0.765166
79	690	0.763623
80	2329	0.763535
81	4164	0.763023
82	1766	0.762102
83	913	0.761173
84	59	0.760443
85	299	0.759717
86	1179	0.758483
87	2197	0.758474
88	371	0.758182
89	601	0.757914
90	1170	0.757421
91	466	0.756219
92	602	0.755901
93	1765	0.755688
94	2401	0.755522
95	1613	0.755217
96	1311	0.754918
97	4102	0.754530
98	1768	0.753755
99	1908	0.753349
100	1122	0.752912
