Dataset: ba_5k_m3
Vertices: 5000
Edges: 14991
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.006000
Memory Usage (MB): 0.27

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	1	1.000000
2	2	0.906175
3	7	0.796833
4	5	0.728572
5	4	0.631774
6	10	0.566492
7	60	0.536897
8	8	0.502173
9	21	0.500580
10	15	0.486337
11	27	0.482782
12	54	0.453228
13	25	0.425409
14	62	0.418988
15	9	0.414140
16	14	0.413860
17	11	0.389718
18	12	0.366293
19	35	0.321898
20	57	0.313610
21	22	0.312420
22	169	0.309226
23	146	0.302413
24	32	0.301400
25	6	0.290733
26	30	0.285454
27	26	0.285195
28	19	0.277843
29	38	0.272987
30	28	0.256518
31	39	0.254078
32	94	0.245176
33	49	0.243087
34	23	0.242136
35	86	0.240764
36	440	0.239106
37	45	0.238135
38	98	0.236249
39	139	0.235922
40	112	0.232721
41	33	0.232055
42	66	0.228336
43	56	0.227845
44	74	0.219563
45	87	0.218748
46	137	0.216536
47	81	0.208108
48	53	0.207357
49	55	0.202895
50	13	0.202627
51	114	0.195325
52	147	0.194005
53	18	0.191596
54	3	0.189790
55	41	0.186682
56	121	0.185299
57	239	0.183826
58	77	0.181332
59	115	0.181270
60	42	0.180245
61	192	0.178915
62	198	0.169774
63	131	0.169768
64	29	0.165901
65	48	0.165580
66	100	0.163865
67	123	0.163653
68	150	0.163437
69	24	0.161080
70	486	0.159707
71	144	0.159192
72	343	0.158482
73	307	0.157629
74	64	0.157245
75	63	0.155182
76	281	0.155129
77	102	0.154751
78	152	0.154626
79	52	0.153695
80	170	0.152552
81	264	0.152012
82	99	0.151914
83	120	0.149019
84	186	0.147497
85	538	0.146253
86	92	0.144194
87	390	0.143762
88	271	0.143463
89	528	0.142539
90	834	0.141585
91	477	0.141464
92	73	0.141379
93	40	0.140314
94	199	0.139095
95	256	0.138081
96	331	0.136940
97	177	0.136879
98	156	0.136817
99	165	0.136533
100	236	0.136079
