Dataset: cit-DBLP
Vertices: 12592
Edges: 49621
Max PageRank Centrality (normalized): 1.000000
Damping Factor: 0.850000
Runtime (seconds): 0.056000
Memory Usage (MB): 0.76

=== Top 100 Vertices by PageRank Centrality ===
Rank	Vertex_ID	PageRank
1	62	1.000000
2	203	0.954135
3	439	0.697554
4	10700	0.607031
5	1477	0.511147
6	10786	0.477741
7	107	0.403934
8	630	0.378192
9	433	0.323758
10	61	0.310090
11	700	0.298028
12	964	0.297776
13	8685	0.286072
14	58	0.272238
15	4380	0.267651
16	37	0.266169
17	2815	0.262163
18	10581	0.252658
19	4730	0.250722
20	138	0.237124
21	2190	0.236287
22	397	0.234697
23	119	0.224845
24	11974	0.217003
25	484	0.215926
26	7320	0.201585
27	9785	0.194184
28	144	0.190727
29	249	0.190152
30	8462	0.182212
31	2358	0.181369
32	95	0.178078
33	8304	0.173063
34	745	0.171720
35	12267	0.170718
36	703	0.169641
37	1312	0.167733
38	376	0.165218
39	1265	0.164214
40	10070	0.162602
41	839	0.161517
42	8876	0.160640
43	395	0.158349
44	2925	0.156246
45	262	0.154094
46	143	0.149929
47	87	0.144311
48	146	0.143995
49	125	0.142567
50	441	0.139881
51	11846	0.137001
52	261	0.133665
53	11112	0.133149
54	170	0.132685
55	551	0.132542
56	375	0.131872
57	7965	0.126570
58	1889	0.125607
59	515	0.124807
60	169	0.124260
61	881	0.120099
62	793	0.118719
63	6969	0.118687
64	8707	0.117641
65	740	0.117047
66	4725	0.116505
67	442	0.116091
68	6720	0.113803
69	4325	0.113782
70	4848	0.113731
71	2236	0.112965
72	7019	0.112324
73	8679	0.110453
74	2349	0.108628
75	10958	0.107464
76	10682	0.105459
77	4879	0.105453
78	132	0.104999
79	3993	0.104876
80	29	0.104424
81	6295	0.103917
82	930	0.102027
83	4939	0.101593
84	11505	0.100357
85	3338	0.100268
86	36	0.100125
87	1392	0.099781
88	9201	0.099355
89	266	0.099206
90	3644	0.099050
91	2700	0.098740
92	3252	0.098558
93	8076	0.097242
94	145	0.096557
95	1066	0.096238
96	820	0.096232
97	486	0.095937
98	141	0.095869
99	3952	0.095807
100	11309	0.094915
